,ds,region,market,account_type,funnel,Identifier,X,new_funnel,generic_cost,competitor_cost,generic_cost_split,competitor_cost_split,Weekend,Month,Year,Canada_-_Brand_Apr_2024,Canada_-_Brand_Aug_2024,Canada_-_Brand_Dec_2024,Canada_-_Brand_Feb_2024,Canada_-_Brand_Jan_2024,Canada_-_Brand_Jul_2024,Canada_-_Brand_Jun_2024,Canada_-_Brand_Mar_2024,Canada_-_Brand_May_2024,Canada_-_Brand_Nov_2024,Canada_-_Brand_Oct_2024,Canada_-_Brand_Sep_2024,Canada_-_Non_Brand_Apr_2024,Canada_-_Non_Brand_Aug_2024,Canada_-_Non_Brand_Dec_2024,Canada_-_Non_Brand_Feb_2024,Canada_-_Non_Brand_Jan_2024,Canada_-_Non_Brand_Jul_2024,Canada_-_Non_Brand_Jun_2024,Canada_-_Non_Brand_Mar_2024,Canada_-_Non_Brand_May_2024,Canada_-_Non_Brand_Nov_2024,Canada_-_Non_Brand_Oct_2024,Canada_-_Non_Brand_Sep_2024,AOV,ROAS
0,2024-01-01,Canada,Canada,-,Brand,L,1090.74,0,0.0,0.0,0.5,0.5,0,Jan,2024,0.0,0.0,0.0,0.0,1090.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
1,2024-01-02,Canada,Canada,-,Brand,L,2131.6899999999996,0,0.0,0.0,0.5,0.5,0,Jan,2024,0.0,0.0,0.0,0.0,2131.6899999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2,2024-01-03,Canada,Canada,-,Brand,L,1648.6399999999999,0,0.0,0.0,0.5,0.5,1,Jan,2024,0.0,0.0,0.0,0.0,1648.6399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
3,2024-01-04,Canada,Canada,-,Brand,L,1347.1199999999997,0,0.0,0.0,0.5,0.5,1,Jan,2024,0.0,0.0,0.0,0.0,1347.1199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
4,2024-01-05,Canada,Canada,-,Brand,L,1370.9499999999996,0,0.0,0.0,0.5,0.5,1,Jan,2024,0.0,0.0,0.0,0.0,1370.9499999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
5,2024-01-06,Canada,Canada,-,Brand,L,585.02,0,0.0,0.0,0.5,0.5,1,Jan,2024,0.0,0.0,0.0,0.0,585.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
6,2024-01-07,Canada,Canada,-,Brand,L,619.97,0,0.0,0.0,0.5,0.5,1,Jan,2024,0.0,0.0,0.0,0.0,619.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
7,2024-01-08,Canada,Canada,-,Brand,L,1754.8500000000004,0,0.0,0.0,0.5,0.5,0,Jan,2024,0.0,0.0,0.0,0.0,1754.8500000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
8,2024-01-09,Canada,Canada,-,Brand,L,1823.9500000000003,0,0.0,0.0,0.5,0.5,0,Jan,2024,0.0,0.0,0.0,0.0,1823.9500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
9,2024-01-10,Canada,Canada,-,Brand,L,1334.2099999999998,0,0.0,0.0,0.5,0.5,1,Jan,2024,0.0,0.0,0.0,0.0,1334.2099999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
