,market,account_type,funnel,Month,Year,variable_splits,Constrain_Variable_Name,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,growth,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,periods,periods_for_acc_cal,cutoff_month,MinWeight,MaxWeight
0,Canada,-,Brand,Oct,2023,Canada_-_Brand_Oct_2023,cost,0.001,0.1,1,linear,additive,additive,na,na,na,na,na,na,na,na,na,458,183,10/1/2023,0.8,1.2
1,Canada,-,Brand,Nov,2023,Canada_-_Brand_Nov_2023,cost,0.001,0.1,1,linear,additive,additive,na,na,na,na,na,na,na,na,na,458,183,10/1/2023,0.9,1.5
2,Canada,-,Brand,Dec,2023,Canada_-_Brand_Dec_2023,cost,0.001,0.1,1,linear,additive,additive,na,na,na,na,na,na,na,na,na,458,183,10/1/2023,0.8,1.2
3,Canada,-,Brand,Jan,2024,Canada_-_Brand_Jan_2024,cost,0.001,0.1,1,linear,additive,additive,na,na,na,na,na,na,na,na,na,458,183,10/1/2023,0.8,1.2
4,Canada,-,Brand,Feb,2024,Canada_-_Brand_Feb_2024,cost,0.001,0.1,1,linear,additive,additive,na,na,na,na,na,na,na,na,na,458,183,10/1/2023,0.8,1.2
5,Canada,-,Brand,Mar,2024,Canada_-_Brand_Mar_2024,cost,0.001,0.1,1,linear,additive,additive,na,na,na,na,na,na,na,na,na,458,183,10/1/2023,0.8,1.2
6,Canada,-,Brand,Apr,2024,Canada_-_Brand_Apr_2024,cost,0.001,0.1,1,linear,additive,additive,na,na,na,na,na,na,na,na,na,458,183,10/1/2023,0.8,1.2
7,Canada,-,Brand,May,2024,Canada_-_Brand_May_2024,cost,0.001,0.1,1,linear,additive,additive,na,na,na,na,na,na,na,na,na,458,183,10/1/2023,0.8,1.2
8,Canada,-,Brand,Jun,2024,Canada_-_Brand_Jun_2024,cost,0.001,0.1,1,linear,additive,additive,na,na,na,na,na,na,na,na,na,458,183,10/1/2023,0.8,1.2
9,Canada,-,Brand,Jul,2024,Canada_-_Brand_Jul_2024,cost,0.001,0.1,1,linear,additive,additive,na,na,na,na,na,na,na,na,na,458,183,10/1/2023,0.8,1.2
10,Canada,-,Brand,Aug,2024,Canada_-_Brand_Aug_2024,cost,0.001,0.1,1,linear,additive,additive,na,na,na,na,na,na,na,na,na,458,183,10/1/2023,0.8,1.2
11,Canada,-,Brand,Sep,2024,Canada_-_Brand_Sep_2024,cost,0.001,0.1,1,linear,additive,additive,na,na,na,na,na,na,na,na,na,458,183,10/1/2023,0.8,1.2
12,Canada,-,Brand,Oct,2024,Canada_-_Brand_Oct_2024,cost,0.001,0.1,1,linear,additive,additive,na,na,na,na,na,na,na,na,na,458,183,10/1/2023,0.8,1.2
13,Canada,-,Brand,Nov,2024,Canada_-_Brand_Nov_2024,cost,0.001,0.1,1,linear,additive,additive,na,na,na,na,na,na,na,na,na,458,183,10/1/2023,0.9,1.5
14,Canada,-,Brand,Dec,2024,Canada_-_Brand_Dec_2024,cost,0.001,0.1,1,linear,additive,additive,na,na,na,na,na,na,na,na,na,458,183,10/1/2023,0.8,1.2
15,Canada,-,Non_Brand,Oct,2023,Canada_-_Non_Brand_Oct_2023,cost,0.001,1,10,linear,additive,multiplicative,additive,na,na,na,na,na,na,na,na,458,183,10/1/2023,0.8,1.2
