,decisionVariableArray,Input Weight,totay_yhat,iter,Date
0,Canada_-_Brand_Jan_2024,1.000728965315037,-75302.0,1,01.17.2024 19:59:07
1,Canada_-_Brand_Feb_2024,0.9754666926510787,-75302.0,1,01.17.2024 19:59:07
2,Canada_-_Brand_Mar_2024,0.9754666926510787,-75302.0,1,01.17.2024 19:59:07
3,Canada_-_Brand_Apr_2024,0.9754666926510787,-75302.0,1,01.17.2024 19:59:07
4,Canada_-_Brand_May_2024,0.9754666926510787,-75302.0,1,01.17.2024 19:59:07
5,Canada_-_Brand_Jun_2024,0.9754666926510787,-75302.0,1,01.17.2024 19:59:07
6,Canada_-_Brand_Jul_2024,0.9754666926510787,-75302.0,1,01.17.2024 19:59:07
7,Canada_-_Brand_Aug_2024,0.9754666926510787,-75302.0,1,01.17.2024 19:59:07
8,Canada_-_Brand_Sep_2024,0.9754666926510787,-75302.0,1,01.17.2024 19:59:07
9,Canada_-_Brand_Oct_2024,0.9754666926510787,-75302.0,1,01.17.2024 19:59:07
10,Canada_-_Brand_Nov_2024,0.9754666926510787,-75302.0,1,01.17.2024 19:59:07
11,Canada_-_Brand_Dec_2024,0.9754666926510787,-75302.0,1,01.17.2024 19:59:07
12,Canada_-_Non_Brand_Jan_2024,1.000728965315037,-75302.0,1,01.17.2024 19:59:07
13,Canada_-_Non_Brand_Feb_2024,0.9754666926510787,-75302.0,1,01.17.2024 19:59:07
14,Canada_-_Non_Brand_Mar_2024,0.9754666926510787,-75302.0,1,01.17.2024 19:59:07
15,Canada_-_Non_Brand_Apr_2024,0.9754666926510787,-75302.0,1,01.17.2024 19:59:07
16,Canada_-_Non_Brand_May_2024,0.9754666926510787,-75302.0,1,01.17.2024 19:59:07
17,Canada_-_Non_Brand_Jun_2024,0.9754666926510787,-75302.0,1,01.17.2024 19:59:07
18,Canada_-_Non_Brand_Jul_2024,0.9754666926510787,-75302.0,1,01.17.2024 19:59:07
19,Canada_-_Non_Brand_Aug_2024,0.9754666926510787,-75302.0,1,01.17.2024 19:59:07
20,Canada_-_Non_Brand_Sep_2024,0.9754666926510787,-75302.0,1,01.17.2024 19:59:07
21,Canada_-_Non_Brand_Oct_2024,0.9754666926510787,-75302.0,1,01.17.2024 19:59:07
22,Canada_-_Non_Brand_Nov_2024,0.9754666926510787,-75302.0,1,01.17.2024 19:59:07
23,Canada_-_Non_Brand_Dec_2024,0.9754666926510787,-75302.0,1,01.17.2024 19:59:07
0,Canada_-_Brand_Jan_2024,0.9880622605329826,-75296.0,2,01.17.2024 19:59:24
1,Canada_-_Brand_Feb_2024,1.0879633668885713,-75296.0,2,01.17.2024 19:59:24
2,Canada_-_Brand_Mar_2024,1.0377179625981654,-75296.0,2,01.17.2024 19:59:24
3,Canada_-_Brand_Apr_2024,0.8969617344759353,-75296.0,2,01.17.2024 19:59:24
