,iteration,Conversion Quantity
0,1,251864.0
1,2,256232.0
2,3,256232.0
3,4,256232.0
4,5,257450.0
5,6,258923.0
6,7,258923.0
7,8,258923.0
8,9,258923.0
9,10,258996.0
10,11,258996.0
11,12,258996.0
12,13,258996.0
13,14,258996.0
14,15,258996.0
15,16,258996.0
16,17,258996.0
17,18,258996.0
18,19,258996.0
19,20,259045.0
20,21,259045.0
21,22,259045.0
22,23,259045.0
23,24,259045.0
24,25,259045.0
25,26,259045.0
26,27,259045.0
27,28,259045.0
28,29,259045.0
29,30,259045.0
30,31,259045.0
31,32,259045.0
32,33,259045.0
33,34,259045.0
34,35,259045.0
35,36,259071.0
36,37,259071.0
37,38,259071.0
38,39,259637.0
39,40,259637.0
40,41,259637.0
41,42,259637.0
42,43,259637.0
43,44,259637.0
44,45,259637.0
45,46,259637.0
46,47,259637.0
47,48,259637.0
48,49,259637.0
49,50,259637.0
50,51,259637.0
51,52,259637.0
52,53,259637.0
53,54,259645.0
54,55,259645.0
55,56,259645.0
56,57,259645.0
57,58,259645.0
58,59,259645.0
59,60,259999.0
60,61,259999.0
61,62,259999.0
62,63,259999.0
63,64,259999.0
64,65,259999.0
65,66,260053.0
66,67,260053.0
67,68,260053.0
68,69,260130.0
69,70,260130.0
70,71,260130.0
71,72,260130.0
72,73,260280.0
73,74,260280.0
74,75,260280.0
75,76,260280.0
76,77,260280.0
77,78,260280.0
78,79,260280.0
79,80,260280.0
80,81,260280.0
81,82,260280.0
82,83,260280.0
83,84,260280.0
84,85,260280.0
85,86,260280.0
86,87,260280.0
87,88,260280.0
88,89,260280.0
89,90,260280.0
90,91,260280.0
91,92,260280.0
92,93,260280.0
93,94,260280.0
94,95,260280.0
95,96,260280.0
96,97,260280.0
97,98,260280.0
98,99,260280.0
99,100,260280.0
100,101,260599.0
101,102,260599.0
102,103,260599.0
103,104,260599.0
104,105,260599.0
105,106,260599.0
106,107,260599.0
107,108,260599.0
108,109,260599.0
109,110,260599.0
110,111,260599.0
111,112,260599.0
112,113,260599.0
113,114,260599.0
114,115,260599.0
115,116,260599.0
116,117,260599.0
117,118,260599.0
118,119,260599.0
119,120,260599.0
120,121,260599.0
121,122,260599.0
122,123,260599.0
123,124,260599.0
124,125,260599.0
125,126,260599.0
126,127,260599.0
127,128,260599.0
128,129,260599.0
129,130,260681.0
130,131,260681.0
131,132,260681.0
132,133,260681.0
133,134,260681.0
134,135,260681.0
135,136,260681.0
136,137,260681.0
137,138,260681.0
138,139,260779.0
139,140,260779.0
140,141,260779.0
141,142,260779.0
142,143,260779.0
143,144,260779.0
144,145,260779.0
145,146,260779.0
146,147,260779.0
147,148,260779.0
148,149,260779.0
149,150,260779.0
