,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,na,na,na,na,na,na,na,na,na,linear,33.88,27.229999999999997
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,na,default,na,na,na,na,na,na,na,linear,33.88,27.229999999999997
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,na,customized,na,na,na,na,na,na,na,linear,33.88,27.229999999999997
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,na,na,na,na,na,na,na,na,na,logistic,16.11,9.24
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,additive,na,na,na,na,na,na,na,na,linear,33.96,27.310000000000002
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,na,default,na,na,na,na,na,na,na,logistic,16.11,9.24
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,additive,default,na,na,na,na,na,na,na,linear,33.96,27.310000000000002
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,na,customized,na,na,na,na,na,na,na,logistic,16.11,9.24
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,additive,customized,na,na,na,na,na,na,na,linear,33.96,27.310000000000002
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,additive,na,na,na,na,na,na,na,na,logistic,15.94,9.69
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,multiplicative,na,na,na,na,na,na,na,na,linear,34.75,28.34
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,additive,default,na,na,na,na,na,na,na,logistic,15.94,9.69
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,multiplicative,default,na,na,na,na,na,na,na,linear,34.75,28.34
0,Canada,-,Brand,183,0.05,10.0,0.01,additive,na,additive,customized,na,na,na,na,na,na,na,logistic,15.94,9.69
