,decisionVariableArray,Input Weight,totay_yhat,iter,Date
0,Canada_-_Brand_Apr_2024,1.1252770902916922,-153616.0,1,06.04.2024 21:19:17
1,Canada_-_Non_Brand_Apr_2024,1.1252770902916922,-153616.0,1,06.04.2024 21:19:17
2,Canada_-_Brand_May_2024,1.1252770902916922,-153616.0,1,06.04.2024 21:19:17
3,Canada_-_Non_Brand_May_2024,1.1252770902916922,-153616.0,1,06.04.2024 21:19:17
4,Canada_-_Brand_Jun_2024,0.8784923612555264,-153616.0,1,06.04.2024 21:19:17
5,Canada_-_Non_Brand_Jun_2024,0.8784923612555264,-153616.0,1,06.04.2024 21:19:17
6,Canada_-_Brand_Jul_2024,0.8784923612555264,-153616.0,1,06.04.2024 21:19:17
7,Canada_-_Non_Brand_Jul_2024,0.8784923612555264,-153616.0,1,06.04.2024 21:19:17
8,Canada_-_Brand_Aug_2024,0.8784923612555264,-153616.0,1,06.04.2024 21:19:17
9,Canada_-_Non_Brand_Aug_2024,0.8784923612555264,-153616.0,1,06.04.2024 21:19:17
10,Canada_-_Brand_Sep_2024,0.8784923612555264,-153616.0,1,06.04.2024 21:19:17
11,Canada_-_Non_Brand_Sep_2024,0.8784923612555264,-153616.0,1,06.04.2024 21:19:17
12,Canada_-_Brand_Oct_2024,0.7686808160985856,-153616.0,1,06.04.2024 21:19:17
13,Canada_-_Non_Brand_Oct_2024,0.8784923612555264,-153616.0,1,06.04.2024 21:19:17
14,Canada_-_Brand_Nov_2024,0.729148659842087,-153616.0,1,06.04.2024 21:19:17
15,Canada_-_Non_Brand_Nov_2024,0.729148659842087,-153616.0,1,06.04.2024 21:19:17
16,Canada_-_Brand_Dec_2024,0.8784923612555264,-153616.0,1,06.04.2024 21:19:17
17,Canada_-_Non_Brand_Dec_2024,0.8784923612555264,-153616.0,1,06.04.2024 21:19:17
0,Canada_-_Brand_Apr_2024,1.1252770902916922,-153616.0,2,06.04.2024 21:19:23
1,Canada_-_Non_Brand_Apr_2024,1.1252770902916922,-153616.0,2,06.04.2024 21:19:23
2,Canada_-_Brand_May_2024,1.1252770902916922,-153616.0,2,06.04.2024 21:19:23
3,Canada_-_Non_Brand_May_2024,1.1252770902916922,-153616.0,2,06.04.2024 21:19:23
4,Canada_-_Brand_Jun_2024,0.8784923612555264,-153616.0,2,06.04.2024 21:19:23
5,Canada_-_Non_Brand_Jun_2024,0.8784923612555264,-153616.0,2,06.04.2024 21:19:23
6,Canada_-_Brand_Jul_2024,0.8784923612555264,-153616.0,2,06.04.2024 21:19:23
7,Canada_-_Non_Brand_Jul_2024,0.8784923612555264,-153616.0,2,06.04.2024 21:19:23
8,Canada_-_Brand_Aug_2024,0.8784923612555264,-153616.0,2,06.04.2024 21:19:23
9,Canada_-_Non_Brand_Aug_2024,0.8784923612555264,-153616.0,2,06.04.2024 21:19:23
10,Canada_-_Brand_Sep_2024,0.8784923612555264,-153616.0,2,06.04.2024 21:19:23
11,Canada_-_Non_Brand_Sep_2024,0.8784923612555264,-153616.0,2,06.04.2024 21:19:23
12,Canada_-_Brand_Oct_2024,0.7686808160985856,-153616.0,2,06.04.2024 21:19:23
13,Canada_-_Non_Brand_Oct_2024,0.8784923612555264,-153616.0,2,06.04.2024 21:19:23
14,Canada_-_Brand_Nov_2024,0.729148659842087,-153616.0,2,06.04.2024 21:19:23
15,Canada_-_Non_Brand_Nov_2024,0.729148659842087,-153616.0,2,06.04.2024 21:19:23
16,Canada_-_Brand_Dec_2024,0.8784923612555264,-153616.0,2,06.04.2024 21:19:23
17,Canada_-_Non_Brand_Dec_2024,0.8784923612555264,-153616.0,2,06.04.2024 21:19:23
0,Canada_-_Brand_Apr_2024,1.1252770902916922,-153616.0,3,06.04.2024 21:19:30
1,Canada_-_Non_Brand_Apr_2024,1.1252770902916922,-153616.0,3,06.04.2024 21:19:30
2,Canada_-_Brand_May_2024,1.1252770902916922,-153616.0,3,06.04.2024 21:19:30
3,Canada_-_Non_Brand_May_2024,1.1252770902916922,-153616.0,3,06.04.2024 21:19:30
4,Canada_-_Brand_Jun_2024,0.8784923612555264,-153616.0,3,06.04.2024 21:19:30
5,Canada_-_Non_Brand_Jun_2024,0.8784923612555264,-153616.0,3,06.04.2024 21:19:30
6,Canada_-_Brand_Jul_2024,0.8784923612555264,-153616.0,3,06.04.2024 21:19:30
7,Canada_-_Non_Brand_Jul_2024,0.8784923612555264,-153616.0,3,06.04.2024 21:19:30
8,Canada_-_Brand_Aug_2024,0.8784923612555264,-153616.0,3,06.04.2024 21:19:30
9,Canada_-_Non_Brand_Aug_2024,0.8784923612555264,-153616.0,3,06.04.2024 21:19:30
10,Canada_-_Brand_Sep_2024,0.8784923612555264,-153616.0,3,06.04.2024 21:19:30
11,Canada_-_Non_Brand_Sep_2024,0.8784923612555264,-153616.0,3,06.04.2024 21:19:30
12,Canada_-_Brand_Oct_2024,0.7686808160985856,-153616.0,3,06.04.2024 21:19:30
13,Canada_-_Non_Brand_Oct_2024,0.8784923612555264,-153616.0,3,06.04.2024 21:19:30
14,Canada_-_Brand_Nov_2024,0.729148659842087,-153616.0,3,06.04.2024 21:19:30
15,Canada_-_Non_Brand_Nov_2024,0.729148659842087,-153616.0,3,06.04.2024 21:19:30
16,Canada_-_Brand_Dec_2024,0.8784923612555264,-153616.0,3,06.04.2024 21:19:30
17,Canada_-_Non_Brand_Dec_2024,0.8784923612555264,-153616.0,3,06.04.2024 21:19:30
0,Canada_-_Brand_Apr_2024,1.1252770902916922,-153616.0,4,06.04.2024 21:19:36
1,Canada_-_Non_Brand_Apr_2024,1.1252770902916922,-153616.0,4,06.04.2024 21:19:36
2,Canada_-_Brand_May_2024,1.1252770902916922,-153616.0,4,06.04.2024 21:19:36
3,Canada_-_Non_Brand_May_2024,1.1252770902916922,-153616.0,4,06.04.2024 21:19:36
4,Canada_-_Brand_Jun_2024,0.8784923612555264,-153616.0,4,06.04.2024 21:19:36
5,Canada_-_Non_Brand_Jun_2024,0.8784923612555264,-153616.0,4,06.04.2024 21:19:36
6,Canada_-_Brand_Jul_2024,0.8784923612555264,-153616.0,4,06.04.2024 21:19:36
7,Canada_-_Non_Brand_Jul_2024,0.8784923612555264,-153616.0,4,06.04.2024 21:19:36
8,Canada_-_Brand_Aug_2024,0.8784923612555264,-153616.0,4,06.04.2024 21:19:36
9,Canada_-_Non_Brand_Aug_2024,0.8784923612555264,-153616.0,4,06.04.2024 21:19:36
10,Canada_-_Brand_Sep_2024,0.8784923612555264,-153616.0,4,06.04.2024 21:19:36
11,Canada_-_Non_Brand_Sep_2024,0.8784923612555264,-153616.0,4,06.04.2024 21:19:36
12,Canada_-_Brand_Oct_2024,0.7686808160985856,-153616.0,4,06.04.2024 21:19:36
13,Canada_-_Non_Brand_Oct_2024,0.8784923612555264,-153616.0,4,06.04.2024 21:19:36
14,Canada_-_Brand_Nov_2024,0.729148659842087,-153616.0,4,06.04.2024 21:19:36
15,Canada_-_Non_Brand_Nov_2024,0.729148659842087,-153616.0,4,06.04.2024 21:19:36
16,Canada_-_Brand_Dec_2024,0.8784923612555264,-153616.0,4,06.04.2024 21:19:36
17,Canada_-_Non_Brand_Dec_2024,0.8784923612555264,-153616.0,4,06.04.2024 21:19:36
0,Canada_-_Brand_Apr_2024,1.1252770902916922,-153616.0,5,06.04.2024 21:19:43
1,Canada_-_Non_Brand_Apr_2024,1.1252770902916922,-153616.0,5,06.04.2024 21:19:43
2,Canada_-_Brand_May_2024,1.1252770902916922,-153616.0,5,06.04.2024 21:19:43
3,Canada_-_Non_Brand_May_2024,1.1252770902916922,-153616.0,5,06.04.2024 21:19:43
4,Canada_-_Brand_Jun_2024,0.8784923612555264,-153616.0,5,06.04.2024 21:19:43
5,Canada_-_Non_Brand_Jun_2024,0.8784923612555264,-153616.0,5,06.04.2024 21:19:43
6,Canada_-_Brand_Jul_2024,0.8784923612555264,-153616.0,5,06.04.2024 21:19:43
7,Canada_-_Non_Brand_Jul_2024,0.8784923612555264,-153616.0,5,06.04.2024 21:19:43
8,Canada_-_Brand_Aug_2024,0.8784923612555264,-153616.0,5,06.04.2024 21:19:43
9,Canada_-_Non_Brand_Aug_2024,0.8784923612555264,-153616.0,5,06.04.2024 21:19:43
10,Canada_-_Brand_Sep_2024,0.8784923612555264,-153616.0,5,06.04.2024 21:19:43
11,Canada_-_Non_Brand_Sep_2024,0.8784923612555264,-153616.0,5,06.04.2024 21:19:43
12,Canada_-_Brand_Oct_2024,0.7686808160985856,-153616.0,5,06.04.2024 21:19:43
13,Canada_-_Non_Brand_Oct_2024,0.8784923612555264,-153616.0,5,06.04.2024 21:19:43
14,Canada_-_Brand_Nov_2024,0.729148659842087,-153616.0,5,06.04.2024 21:19:43
15,Canada_-_Non_Brand_Nov_2024,0.729148659842087,-153616.0,5,06.04.2024 21:19:43
16,Canada_-_Brand_Dec_2024,0.8784923612555264,-153616.0,5,06.04.2024 21:19:43
17,Canada_-_Non_Brand_Dec_2024,0.8784923612555264,-153616.0,5,06.04.2024 21:19:43
0,Canada_-_Brand_Apr_2024,1.1252770902916922,-153616.0,6,06.04.2024 21:19:49
1,Canada_-_Non_Brand_Apr_2024,1.1252770902916922,-153616.0,6,06.04.2024 21:19:49
2,Canada_-_Brand_May_2024,1.1252770902916922,-153616.0,6,06.04.2024 21:19:49
3,Canada_-_Non_Brand_May_2024,1.1252770902916922,-153616.0,6,06.04.2024 21:19:49
4,Canada_-_Brand_Jun_2024,0.8784923612555264,-153616.0,6,06.04.2024 21:19:49
5,Canada_-_Non_Brand_Jun_2024,0.8784923612555264,-153616.0,6,06.04.2024 21:19:49
6,Canada_-_Brand_Jul_2024,0.8784923612555264,-153616.0,6,06.04.2024 21:19:49
7,Canada_-_Non_Brand_Jul_2024,0.8784923612555264,-153616.0,6,06.04.2024 21:19:49
8,Canada_-_Brand_Aug_2024,0.8784923612555264,-153616.0,6,06.04.2024 21:19:49
9,Canada_-_Non_Brand_Aug_2024,0.8784923612555264,-153616.0,6,06.04.2024 21:19:49
10,Canada_-_Brand_Sep_2024,0.8784923612555264,-153616.0,6,06.04.2024 21:19:49
11,Canada_-_Non_Brand_Sep_2024,0.8784923612555264,-153616.0,6,06.04.2024 21:19:49
12,Canada_-_Brand_Oct_2024,0.7686808160985856,-153616.0,6,06.04.2024 21:19:49
13,Canada_-_Non_Brand_Oct_2024,0.8784923612555264,-153616.0,6,06.04.2024 21:19:49
14,Canada_-_Brand_Nov_2024,0.729148659842087,-153616.0,6,06.04.2024 21:19:49
15,Canada_-_Non_Brand_Nov_2024,0.729148659842087,-153616.0,6,06.04.2024 21:19:49
16,Canada_-_Brand_Dec_2024,0.8784923612555264,-153616.0,6,06.04.2024 21:19:49
17,Canada_-_Non_Brand_Dec_2024,0.8784923612555264,-153616.0,6,06.04.2024 21:19:49
0,Canada_-_Brand_Apr_2024,1.1252770902916922,-153616.0,7,06.04.2024 21:19:56
1,Canada_-_Non_Brand_Apr_2024,1.1252770902916922,-153616.0,7,06.04.2024 21:19:56
2,Canada_-_Brand_May_2024,1.1252770902916922,-153616.0,7,06.04.2024 21:19:56
3,Canada_-_Non_Brand_May_2024,1.1252770902916922,-153616.0,7,06.04.2024 21:19:56
4,Canada_-_Brand_Jun_2024,0.8784923612555264,-153616.0,7,06.04.2024 21:19:56
5,Canada_-_Non_Brand_Jun_2024,0.8784923612555264,-153616.0,7,06.04.2024 21:19:56
6,Canada_-_Brand_Jul_2024,0.8784923612555264,-153616.0,7,06.04.2024 21:19:56
7,Canada_-_Non_Brand_Jul_2024,0.8784923612555264,-153616.0,7,06.04.2024 21:19:56
8,Canada_-_Brand_Aug_2024,0.8784923612555264,-153616.0,7,06.04.2024 21:19:56
9,Canada_-_Non_Brand_Aug_2024,0.8784923612555264,-153616.0,7,06.04.2024 21:19:56
10,Canada_-_Brand_Sep_2024,0.8784923612555264,-153616.0,7,06.04.2024 21:19:56
11,Canada_-_Non_Brand_Sep_2024,0.8784923612555264,-153616.0,7,06.04.2024 21:19:56
12,Canada_-_Brand_Oct_2024,0.7686808160985856,-153616.0,7,06.04.2024 21:19:56
13,Canada_-_Non_Brand_Oct_2024,0.8784923612555264,-153616.0,7,06.04.2024 21:19:56
14,Canada_-_Brand_Nov_2024,0.729148659842087,-153616.0,7,06.04.2024 21:19:56
15,Canada_-_Non_Brand_Nov_2024,0.729148659842087,-153616.0,7,06.04.2024 21:19:56
16,Canada_-_Brand_Dec_2024,0.8784923612555264,-153616.0,7,06.04.2024 21:19:56
17,Canada_-_Non_Brand_Dec_2024,0.8784923612555264,-153616.0,7,06.04.2024 21:19:56
0,Canada_-_Brand_Apr_2024,1.1252770902916922,-153616.0,8,06.04.2024 21:20:02
1,Canada_-_Non_Brand_Apr_2024,1.1252770902916922,-153616.0,8,06.04.2024 21:20:02
2,Canada_-_Brand_May_2024,1.1252770902916922,-153616.0,8,06.04.2024 21:20:02
3,Canada_-_Non_Brand_May_2024,1.1252770902916922,-153616.0,8,06.04.2024 21:20:02
4,Canada_-_Brand_Jun_2024,0.8784923612555264,-153616.0,8,06.04.2024 21:20:02
5,Canada_-_Non_Brand_Jun_2024,0.8784923612555264,-153616.0,8,06.04.2024 21:20:02
6,Canada_-_Brand_Jul_2024,0.8784923612555264,-153616.0,8,06.04.2024 21:20:02
7,Canada_-_Non_Brand_Jul_2024,0.8784923612555264,-153616.0,8,06.04.2024 21:20:02
8,Canada_-_Brand_Aug_2024,0.8784923612555264,-153616.0,8,06.04.2024 21:20:02
9,Canada_-_Non_Brand_Aug_2024,0.8784923612555264,-153616.0,8,06.04.2024 21:20:02
10,Canada_-_Brand_Sep_2024,0.8784923612555264,-153616.0,8,06.04.2024 21:20:02
11,Canada_-_Non_Brand_Sep_2024,0.8784923612555264,-153616.0,8,06.04.2024 21:20:02
12,Canada_-_Brand_Oct_2024,0.7686808160985856,-153616.0,8,06.04.2024 21:20:02
13,Canada_-_Non_Brand_Oct_2024,0.8784923612555264,-153616.0,8,06.04.2024 21:20:02
14,Canada_-_Brand_Nov_2024,0.729148659842087,-153616.0,8,06.04.2024 21:20:02
15,Canada_-_Non_Brand_Nov_2024,0.729148659842087,-153616.0,8,06.04.2024 21:20:02
16,Canada_-_Brand_Dec_2024,0.8784923612555264,-153616.0,8,06.04.2024 21:20:02
17,Canada_-_Non_Brand_Dec_2024,0.8784923612555264,-153616.0,8,06.04.2024 21:20:02
0,Canada_-_Brand_Apr_2024,1.1252770902916922,-153616.0,9,06.04.2024 21:20:09
1,Canada_-_Non_Brand_Apr_2024,1.1252770902916922,-153616.0,9,06.04.2024 21:20:09
2,Canada_-_Brand_May_2024,1.1252770902916922,-153616.0,9,06.04.2024 21:20:09
3,Canada_-_Non_Brand_May_2024,1.1252770902916922,-153616.0,9,06.04.2024 21:20:09
4,Canada_-_Brand_Jun_2024,0.8784923612555264,-153616.0,9,06.04.2024 21:20:09
