Region,Market,Account_type,Funnel,WeekStart,Ds,OptimalConversionQuantity,OptimalSpendValue,Month,Year,BaseConversionQuantity,BaseSpend,SavedDate
Canada,Canada,-,Brand,2024-05-26,2024-06-01,145.0,598.53,Jun,2024,118.0,533.18,2024-06-01
Canada,Canada,-,Brand,2024-05-26,2024-06-02,167.0,598.81,Jun,2024,140.0,533.43,2024-06-01
Canada,Canada,-,Brand,2024-06-02,2024-06-03,934.0,2050.43,Jun,2024,880.0,1826.54,2024-06-01
Canada,Canada,-,Brand,2024-06-02,2024-06-04,930.0,1903.56,Jun,2024,876.0,1695.7,2024-06-01
Canada,Canada,-,Brand,2024-06-02,2024-06-05,921.0,1789.77,Jun,2024,867.0,1594.34,2024-06-01
Canada,Canada,-,Brand,2024-06-02,2024-06-06,935.0,1828.61,Jun,2024,881.0,1628.94,2024-06-01
Canada,Canada,-,Brand,2024-06-02,2024-06-07,727.0,1410.6,Jun,2024,678.0,1256.58,2024-06-01
Canada,Canada,-,Brand,2024-06-02,2024-06-08,127.0,562.34,Jun,2024,102.0,500.94,2024-06-01
Canada,Canada,-,Brand,2024-06-02,2024-06-09,144.0,560.15,Jun,2024,118.0,498.99,2024-06-01
Canada,Canada,-,Brand,2024-06-09,2024-06-10,912.0,2011.26,Jun,2024,858.0,1791.64,2024-06-01
Canada,Canada,-,Brand,2024-06-09,2024-06-11,754.0,1344.16,Jun,2024,706.0,1197.38,2024-06-01
Canada,Canada,-,Brand,2024-06-09,2024-06-12,731.0,1227.19,Jun,2024,686.0,1093.19,2024-06-01
Canada,Canada,-,Brand,2024-06-09,2024-06-13,836.0,1565.28,Jun,2024,785.0,1394.36,2024-06-01
Canada,Canada,-,Brand,2024-06-09,2024-06-14,783.0,1704.87,Jun,2024,730.0,1518.71,2024-06-01
Canada,Canada,-,Brand,2024-06-09,2024-06-15,185.0,790.14,Jun,2024,152.0,703.86,2024-06-01
Canada,Canada,-,Brand,2024-06-09,2024-06-16,134.0,621.22,Jun,2024,106.0,553.38,2024-06-01
Canada,Canada,-,Brand,2024-06-16,2024-06-17,945.0,2331.54,Jun,2024,891.0,2076.95,2024-06-01
Canada,Canada,-,Brand,2024-06-16,2024-06-18,808.0,1653.3,Jun,2024,756.0,1472.77,2024-06-01
Canada,Canada,-,Brand,2024-06-16,2024-06-19,888.0,1903.08,Jun,2024,834.0,1695.28,2024-06-01
Canada,Canada,-,Brand,2024-06-16,2024-06-20,932.0,2089.02,Jun,2024,877.0,1860.91,2024-06-01
Canada,Canada,-,Brand,2024-06-16,2024-06-21,821.0,2005.98,Jun,2024,766.0,1786.94,2024-06-01
Canada,Canada,-,Brand,2024-06-16,2024-06-22,218.0,979.18,Jun,2024,178.0,872.26,2024-06-01
Canada,Canada,-,Brand,2024-06-16,2024-06-23,202.0,892.22,Jun,2024,165.0,794.8,2024-06-01
Canada,Canada,-,Brand,2024-06-23,2024-06-24,1027.0,3119.27,Jun,2024,985.0,2778.67,2024-06-01
Canada,Canada,-,Brand,2024-06-23,2024-06-25,1069.0,3286.59,Jun,2024,1032.0,2927.72,2024-06-01
Canada,Canada,-,Brand,2024-06-23,2024-06-26,1047.0,2915.79,Jun,2024,1000.0,2597.4,2024-06-01
