,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
0,Canada,-,Brand,183,0.5,0.075,10.0,additive,additive,na,na,na,na,na,na,na,na,na,linear,35.52,35.57
0,Canada,-,Brand,183,0.5,0.075,10.0,additive,additive,na,Default,na,na,na,na,na,na,na,linear,36.33,36.25
0,Canada,-,Brand,183,0.5,0.075,10.0,additive,additive,na,na,na,na,na,na,na,na,na,logistic,65.08,66.09
0,Canada,-,Brand,183,0.5,0.075,10.0,additive,additive,na,Custom,na,na,na,na,na,na,na,linear,35.37,35.24
0,Canada,-,Brand,183,0.5,0.075,10.0,additive,additive,na,Default,na,na,na,na,na,na,na,logistic,64.09,65.01
0,Canada,-,Brand,183,0.5,0.075,10.0,additive,additive,additive,na,na,na,na,na,na,na,na,linear,35.51,35.55
0,Canada,-,Brand,183,0.5,0.075,10.0,additive,additive,additive,Default,na,na,na,na,na,na,na,linear,36.2,36.120000000000005
0,Canada,-,Brand,183,0.5,0.075,10.0,additive,additive,na,Custom,na,na,na,na,na,na,na,logistic,62.98,63.89
0,Canada,-,Brand,183,0.5,0.075,10.0,additive,additive,additive,na,na,na,na,na,na,na,na,logistic,69.09,70.15
0,Canada,-,Brand,183,0.5,0.075,10.0,additive,additive,additive,Custom,na,na,na,na,na,na,na,linear,35.73,35.589999999999996
0,Canada,-,Brand,183,0.5,0.075,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,linear,35.71,35.75
0,Canada,-,Brand,183,0.5,0.075,10.0,additive,additive,additive,Default,na,na,na,na,na,na,na,logistic,69.86,70.83
0,Canada,-,Brand,183,0.5,0.075,10.0,additive,additive,multiplicative,Default,na,na,na,na,na,na,na,linear,35.81,35.76
0,Canada,-,Brand,183,0.5,0.075,10.0,additive,additive,additive,Custom,na,na,na,na,na,na,na,logistic,70.3,71.24000000000001
0,Canada,-,Brand,183,0.5,0.075,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,logistic,54.91,55.720000000000006
0,Canada,-,Brand,183,0.5,0.075,10.0,additive,additive,multiplicative,Default,na,na,na,na,na,na,na,logistic,54.36,55.08
0,Canada,-,Brand,183,0.5,0.075,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,linear,36.39,37.09
0,Canada,-,Brand,183,0.5,0.075,10.0,additive,additive,multiplicative,Custom,na,na,na,na,na,na,na,linear,35.56,35.46
0,Canada,-,Brand,183,0.5,0.075,10.0,additive,multiplicative,na,Default,na,na,na,na,na,na,na,linear,36.88,37.43
0,Canada,-,Brand,183,0.5,0.075,10.0,additive,additive,multiplicative,Custom,na,na,na,na,na,na,na,logistic,53.67,54.39000000000001
