,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,na,linear,20.86,20.47
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,additive,na,na,linear,21.51,21.11
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,na,logistic,11.96,9.24
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,additive,na,na,logistic,22.17,21.349999999999998
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,multiplicative,na,na,linear,12.66,12.27
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,multiplicative,na,na,logistic,53.53,54.54
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,na,na,na,linear,21.51,21.11
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,additive,na,na,linear,21.14,20.75
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,na,na,na,logistic,22.17,21.349999999999998
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,additive,na,na,logistic,21.81,20.89
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,multiplicative,na,na,linear,12.68,12.33
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,multiplicative,na,na,logistic,44.18,43.61
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,na,na,na,linear,12.66,12.27
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,na,na,na,logistic,53.53,54.54
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,additive,na,na,logistic,44.18,43.61
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,additive,na,na,linear,12.32,12.0
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,na,na,na,linear,23.46,22.96
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,multiplicative,na,na,linear,12.3,11.959999999999999
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,multiplicative,na,na,logistic,26.7,26.43
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,additive,na,na,linear,23.57,23.07
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,na,na,na,logistic,11.94,7.41
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,na,na,na,linear,23.57,23.07
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,additive,na,na,logistic,25.39,25.27
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,multiplicative,na,na,linear,16.23,15.740000000000002
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,multiplicative,na,na,logistic,54.02,55.059999999999995
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,additive,na,na,linear,23.8,23.3
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,na,na,na,logistic,25.39,25.27
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,additive,na,na,logistic,25.35,25.21
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,multiplicative,na,na,logistic,47.85,47.25
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,multiplicative,na,na,linear,16.42,15.93
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,na,na,na,linear,16.23,15.740000000000002
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,na,na,na,logistic,54.02,55.059999999999995
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,additive,na,na,linear,16.38,15.879999999999999
0,Poland,-,Brand,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,additive,na,na,logistic,48.66,48.07
