,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,dec_2022,power,growth,MAPE,period_AE
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,additive,na,linear,47.61,48.309999999999995
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,na,na,linear,50.0,50.67
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,multiplicative,na,linear,48.03,48.730000000000004
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,na,na,logistic,67.29,68.55
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,additive,na,logistic,64.68,65.92
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,additive,na,na,na,linear,49.4,50.07
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,multiplicative,na,logistic,64.63,65.86999999999999
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,additive,na,additive,na,linear,48.05,48.74
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,additive,na,na,na,logistic,61.46,62.41
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,additive,na,multiplicative,na,linear,47.6,48.3
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,additive,na,additive,na,logistic,60.4,61.35
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,additive,na,multiplicative,na,logistic,61.47,62.419999999999995
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,multiplicative,na,na,na,logistic,48.22,49.370000000000005
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,multiplicative,na,na,na,linear,47.51,47.599999999999994
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,multiplicative,na,additive,na,linear,46.14,46.27
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,multiplicative,na,additive,na,logistic,47.32,48.44
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,na,na,na,na,linear,49.4,50.07
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,multiplicative,na,multiplicative,na,logistic,47.21,48.309999999999995
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,na,na,additive,na,linear,48.05,48.74
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,na,na,na,na,logistic,61.46,62.41
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,multiplicative,na,multiplicative,na,linear,46.0,46.089999999999996
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,na,na,multiplicative,na,linear,47.6,48.3
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,additive,na,na,na,linear,49.6,50.27
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,na,na,additive,na,logistic,60.4,61.35
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,additive,na,additive,na,linear,48.36,49.059999999999995
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,na,na,multiplicative,na,logistic,61.47,62.419999999999995
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,additive,na,na,na,logistic,61.47,62.419999999999995
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,additive,na,multiplicative,na,linear,47.84,48.53
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,additive,na,additive,na,logistic,60.65,61.59
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,additive,na,multiplicative,na,logistic,61.44,62.39
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,multiplicative,na,na,na,logistic,61.58,62.529999999999994
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,multiplicative,na,na,na,linear,47.34,47.39
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,multiplicative,na,additive,na,linear,44.71,44.75
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,multiplicative,na,additive,na,logistic,60.77,61.71
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,multiplicative,na,multiplicative,na,logistic,61.61,62.56
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,multiplicative,na,multiplicative,na,linear,45.72,45.76
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,na,na,na,na,logistic,48.22,49.370000000000005
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,na,na,na,na,linear,47.51,47.599999999999994
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,na,na,additive,na,logistic,47.32,48.44
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,na,na,additive,na,linear,46.14,46.27
