market,account_type,funnel,Month,Year,variable_splits,Constrain_Variable_Name,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,Nov_Dec_2018,Jul_Dec_2019,dec_2022,power,growth,MAPE,period_AE,periods,periods_for_acc_cal,cutoff_month,MinWeight,MaxWeight
France,-,Brand,Apr,2024,France_-_Brand_Apr_2024,cost,0.001,0.01,10.0,additive,multiplicative,na,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,12.6,1.72,252.0,183,24/04/24,0.8,1.2
France,-,Non_Brand,Apr,2024,France_-_Non_Brand_Apr_2024,cost,0.0001,0.01,1.0,multiplicative,multiplicative,multiplicative,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,23.42,21.990.000.000.000.000,252.0,183,24/04/24,0.8,1.2
Germany,-,Brand,Apr,2024,Germany_-_Brand_Apr_2024,cost,0.05,1.0,10.0,multiplicative,multiplicative,additive,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,6.4,1.96,252.0,183,24/04/24,0.8,1.2
Germany,-,Non_Brand,Apr,2024,Germany_-_Non_Brand_Apr_2024,cost,0.001,0.01,1.0,additive,additive,multiplicative,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,13.54,13.78,252.0,183,24/04/24,0.8,1.2
India,-,Brand,Apr,2024,India_-_Brand_Apr_2024,cost,0.1,0.01,1.0,multiplicative,multiplicative,multiplicative,default,FALSE,na,na,multiplicative,additive,na,na,na,na,na,logistic,17.03,13.54,252.0,183,24/04/24,0.8,1.2
India,-,Non_Brand,Apr,2024,India_-_Non_Brand_Apr_2024,cost,0.05,0.01,0.1,multiplicative,additive,na,na,FALSE,na,na,multiplicative,additive,na,na,na,na,na,linear,20.47,18.04,252.0,183,24/04/24,0.8,1.2
Italy,-,Brand,Apr,2024,Italy_-_Brand_Apr_2024,cost,0.001,0.01,0.1,multiplicative,multiplicative,multiplicative,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,5.11,1.42,252.0,183,24/04/24,0.8,1.2
Italy,-,Non_Brand,Apr,2024,Italy_-_Non_Brand_Apr_2024,cost,0.05,10.0,10.0,additive,multiplicative,multiplicative,default,FALSE,na,na,na,na,na,na,na,na,na,linear,10.78,2.59,252.0,183,24/04/24,0.8,1.2
Poland,-,Brand,Apr,2024,Poland_-_Brand_Apr_2024,cost,0.1,0.01,10.0,additive,additive,multiplicative,na,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,6.07,0.36,252.0,183,24/04/24,0.8,1.2
Poland,-,Non_Brand,Apr,2024,Poland_-_Non_Brand_Apr_2024,cost,0.1,0.01,0.1,multiplicative,additive,na,na,FALSE,na,na,na,na,na,na,na,na,na,linear,27.96,20.830.000.000.000.000,252.0,183,24/04/24,0.8,1.2
SM,-,-,Apr,2024,SM_-_-_Apr_2024,cost,0.001,0.01,0.01,additive,multiplicative,na,default,FALSE,na,na,additive,additive,na,na,na,multiplicative,na,logistic,11.42,3.37,252.0,183,24/04/24,0.8,1.2
UK,-,Brand,Apr,2024,UK_-_Brand_Apr_2024,cost,0.05,0.01,1.0,multiplicative,multiplicative,additive,default,FALSE,na,na,na,additive,na,na,na,na,na,logistic,19.26,9.87,252.0,183,24/04/24,0.8,1.2
UK,-,Non_Brand,Apr,2024,UK_-_Non_Brand_Apr_2024,cost,0.1,0.01,1.0,multiplicative,additive,na,default,FALSE,na,na,multiplicative,additive,na,na,na,na,na,logistic,28.25,31.290.000.000.000.000,252.0,183,24/04/24,0.8,1.2
