,iteration,Conversion Quantity
0,1,911788.0
1,2,926590.0
2,3,926590.0
3,4,926590.0
4,5,926590.0
5,6,926590.0
6,7,926590.0
7,8,926590.0
8,9,926590.0
9,10,926590.0
10,11,926590.0
11,12,926590.0
12,13,926590.0
13,14,926590.0
14,15,926590.0
15,16,926590.0
16,17,926590.0
17,18,926590.0
18,19,926590.0
19,20,926590.0
20,21,926590.0
21,22,926590.0
22,23,926590.0
23,24,926590.0
24,25,926590.0
25,26,926776.0
26,27,926776.0
27,28,926776.0
28,29,926776.0
29,30,926996.0
30,31,926996.0
31,32,926996.0
32,33,926996.0
33,34,927807.0
34,35,927807.0
35,36,927807.0
36,37,928874.0
37,38,928874.0
38,39,928874.0
39,40,929839.0
40,41,929839.0
41,42,930327.0
42,43,930327.0
43,44,930327.0
44,45,930327.0
45,46,930327.0
46,47,930327.0
47,48,930327.0
48,49,930327.0
49,50,930327.0
50,51,930327.0
51,52,930327.0
52,53,930327.0
53,54,930327.0
54,55,930327.0
55,56,930327.0
56,57,930327.0
57,58,930327.0
58,59,930327.0
59,60,930327.0
60,61,930327.0
61,62,930327.0
62,63,930327.0
63,64,930327.0
64,65,930327.0
65,66,930327.0
66,67,930327.0
67,68,930327.0
68,69,930327.0
69,70,930327.0
70,71,930626.0
71,72,930626.0
72,73,930626.0
73,74,930626.0
74,75,930626.0
75,76,930626.0
76,77,930626.0
77,78,930745.0
78,79,930745.0
79,80,930745.0
80,81,930745.0
81,82,930745.0
82,83,930919.0
83,84,930919.0
84,85,930919.0
85,86,930919.0
86,87,930971.0
87,88,930971.0
88,89,930971.0
89,90,930971.0
90,91,930971.0
91,92,930971.0
92,93,930971.0
93,94,930971.0
94,95,930971.0
95,96,930971.0
96,97,930971.0
97,98,930971.0
98,99,930971.0
99,100,930971.0
