,iteration,Conversion Quantity
0,1,911788.0
1,2,922358.0
2,3,922358.0
3,4,925873.0
4,5,925873.0
5,6,926809.0
6,7,926809.0
7,8,927583.0
8,9,927583.0
9,10,927583.0
10,11,927583.0
11,12,927583.0
12,13,927583.0
13,14,927583.0
14,15,927583.0
15,16,927583.0
16,17,927583.0
17,18,927583.0
18,19,927583.0
19,20,928004.0
20,21,928004.0
21,22,928004.0
22,23,928735.0
23,24,928735.0
24,25,928735.0
25,26,928735.0
26,27,928735.0
27,28,928735.0
28,29,928735.0
29,30,928735.0
30,31,928735.0
31,32,928735.0
32,33,928735.0
33,34,928735.0
34,35,928735.0
35,36,928735.0
36,37,928735.0
37,38,928735.0
38,39,928735.0
39,40,928735.0
40,41,928920.0
41,42,928920.0
42,43,928920.0
43,44,928920.0
44,45,928920.0
45,46,928920.0
46,47,930423.0
47,48,930423.0
48,49,930423.0
49,50,930423.0
