,variable_splits,pos
0,France_-_Brand_Apr_2024,0.960110748
1,France_-_Non_Brand_Apr_2024,0.82731245
2,Germany_-_Brand_Apr_2024,0.941224612
3,Germany_-_Non_Brand_Apr_2024,1.051833632
4,India_-_Brand_Apr_2024,1.167986325
5,India_-_Non_Brand_Apr_2024,1.11190375
6,Italy_-_Brand_Apr_2024,0.946675665
7,Italy_-_Non_Brand_Apr_2024,1.023728694
8,Poland_-_Brand_Apr_2024,1.067104369
9,Poland_-_Non_Brand_Apr_2024,0.974252488
10,SM_-_-_Apr_2024,1.071743951
11,UK_-_Brand_Apr_2024,0.914873385
12,UK_-_Non_Brand_Apr_2024,1.068951043
13,France_-_Brand_May_2024,0.944508027
14,France_-_Non_Brand_May_2024,0.979949108
15,Germany_-_Brand_May_2024,1.080278138
16,Germany_-_Non_Brand_May_2024,1.160381065
17,India_-_Brand_May_2024,0.969611254
18,India_-_Non_Brand_May_2024,0.937615903
19,Italy_-_Brand_May_2024,0.883577893
20,Italy_-_Non_Brand_May_2024,0.984161482
21,Poland_-_Brand_May_2024,0.994203911
22,Poland_-_Non_Brand_May_2024,1.036129447
23,SM_-_-_May_2024,1.138080186
24,UK_-_Brand_May_2024,0.967194619
25,UK_-_Non_Brand_May_2024,1.029279226
26,France_-_Brand_Jun_2024,0.812841074
27,France_-_Non_Brand_Jun_2024,1.072940409
28,Germany_-_Brand_Jun_2024,0.878019307
29,Germany_-_Non_Brand_Jun_2024,0.917661855
30,India_-_Brand_Jun_2024,1.074929964
31,India_-_Non_Brand_Jun_2024,0.932540371
32,Italy_-_Brand_Jun_2024,1.178863668
33,Italy_-_Non_Brand_Jun_2024,1.031436026
34,Poland_-_Brand_Jun_2024,0.946627099
35,Poland_-_Non_Brand_Jun_2024,1.059155882
36,SM_-_-_Jun_2024,1.152076693
37,UK_-_Brand_Jun_2024,0.817998034
38,UK_-_Non_Brand_Jun_2024,1.053159136
39,France_-_Brand_Jul_2024,1.126355629
40,France_-_Non_Brand_Jul_2024,1.047600988
41,Germany_-_Brand_Jul_2024,0.971882205
42,Germany_-_Non_Brand_Jul_2024,0.919567723
43,India_-_Brand_Jul_2024,0.899132382
44,India_-_Non_Brand_Jul_2024,1.052577284
45,Italy_-_Brand_Jul_2024,1.045800526
46,Italy_-_Non_Brand_Jul_2024,0.924873189
47,Poland_-_Brand_Jul_2024,1.184222918
48,Poland_-_Non_Brand_Jul_2024,0.898983665
49,SM_-_-_Jul_2024,1.109603421
50,UK_-_Brand_Jul_2024,0.866928376
51,UK_-_Non_Brand_Jul_2024,1.050569592
52,France_-_Brand_Aug_2024,0.927154863
53,France_-_Non_Brand_Aug_2024,0.874146889
54,Germany_-_Brand_Aug_2024,0.991587208
55,Germany_-_Non_Brand_Aug_2024,1.197338233
56,India_-_Brand_Aug_2024,0.827941792
57,India_-_Non_Brand_Aug_2024,1.070878261
58,Italy_-_Brand_Aug_2024,0.969322622
59,Italy_-_Non_Brand_Aug_2024,0.981113436
60,Poland_-_Brand_Aug_2024,1.062092993
61,Poland_-_Non_Brand_Aug_2024,1.080202641
62,SM_-_-_Aug_2024,1.025615624
63,UK_-_Brand_Aug_2024,1.010827391
64,UK_-_Non_Brand_Aug_2024,0.94228405
65,France_-_Brand_Sep_2024,1.004304271
66,France_-_Non_Brand_Sep_2024,0.848953098
67,Germany_-_Brand_Sep_2024,0.988548098
68,Germany_-_Non_Brand_Sep_2024,1.05866167
69,India_-_Brand_Sep_2024,1.073432836
70,India_-_Non_Brand_Sep_2024,1.111245545
71,Italy_-_Brand_Sep_2024,0.970767661
72,Italy_-_Non_Brand_Sep_2024,1.00603622
73,Poland_-_Brand_Sep_2024,0.894479901
74,Poland_-_Non_Brand_Sep_2024,1.132418066
75,SM_-_-_Sep_2024,1.137609405
76,UK_-_Brand_Sep_2024,1.013841633
77,UK_-_Non_Brand_Sep_2024,1.012397285
78,France_-_Brand_Oct_2024,1.000929695
79,France_-_Non_Brand_Oct_2024,1.120620339
80,Germany_-_Brand_Oct_2024,1.029855287
81,Germany_-_Non_Brand_Oct_2024,0.941648189
82,India_-_Brand_Oct_2024,0.841552004
83,India_-_Non_Brand_Oct_2024,0.878677836
84,Italy_-_Brand_Oct_2024,0.936698097
85,Italy_-_Non_Brand_Oct_2024,1.198539687
86,Poland_-_Brand_Oct_2024,1.027966448
87,Poland_-_Non_Brand_Oct_2024,1.037440579
88,SM_-_-_Oct_2024,1.150407344
89,UK_-_Brand_Oct_2024,1.059739659
90,UK_-_Non_Brand_Oct_2024,1.161998613
91,France_-_Brand_Nov_2024,0.891703744
92,France_-_Non_Brand_Nov_2024,0.856425007
93,Germany_-_Brand_Nov_2024,0.869739006
94,Germany_-_Non_Brand_Nov_2024,0.902531701
95,India_-_Brand_Nov_2024,0.974800063
96,India_-_Non_Brand_Nov_2024,0.928779469
97,Italy_-_Brand_Nov_2024,0.830984425
98,Italy_-_Non_Brand_Nov_2024,0.819260259
99,Poland_-_Brand_Nov_2024,0.813087171
100,Poland_-_Non_Brand_Nov_2024,0.798332881
101,SM_-_-_Nov_2024,0.911715722
102,UK_-_Brand_Nov_2024,0.862367087
103,UK_-_Non_Brand_Nov_2024,0.851157722
104,France_-_Brand_Dec_2024,0.882764268
105,France_-_Non_Brand_Dec_2024,0.994348042
106,Germany_-_Brand_Dec_2024,1.025792608
107,Germany_-_Non_Brand_Dec_2024,1.18880665
108,India_-_Brand_Dec_2024,0.959368199
109,India_-_Non_Brand_Dec_2024,1.071554741
110,Italy_-_Brand_Dec_2024,0.97558668
111,Italy_-_Non_Brand_Dec_2024,0.940400708
112,Poland_-_Brand_Dec_2024,1.133014631
113,Poland_-_Non_Brand_Dec_2024,0.94489324
114,SM_-_-_Dec_2024,1.152739647
115,UK_-_Brand_Dec_2024,0.959648025
116,UK_-_Non_Brand_Dec_2024,0.853271045
