,ds,market,new_confirmed
0,2020-01-01,Austria,0
1,2020-01-01,UK,0
2,2020-01-01,Turkey,0
3,2020-01-01,Switzerland,0
4,2020-01-01,Spain,1
5,2020-01-01,Poland,0
6,2020-01-01,Sweden,0
7,2020-01-01,Italy,0
8,2020-01-01,Ireland,0
9,2020-01-01,Germany,0
10,2020-01-01,France,0
11,2020-01-01,Belgium,0
12,2020-01-01,Netherlands,0
13,2020-01-02,Poland,0
14,2020-01-02,UK,0
15,2020-01-02,Turkey,0
16,2020-01-02,Switzerland,0
17,2020-01-02,Spain,0
18,2020-01-02,Netherlands,0
19,2020-01-02,Sweden,0
20,2020-01-02,Ireland,0
21,2020-01-02,Germany,3
22,2020-01-02,France,0
23,2020-01-02,Belgium,0
24,2020-01-02,Austria,0
25,2020-01-02,Italy,0
26,2020-01-03,UK,0
27,2020-01-03,Turkey,0
28,2020-01-03,Switzerland,0
29,2020-01-03,Sweden,0
30,2020-01-03,Spain,0
31,2020-01-03,Poland,0
32,2020-01-03,Netherlands,0
33,2020-01-03,Ireland,0
34,2020-01-03,Germany,0
35,2020-01-03,France,0
36,2020-01-03,Belgium,0
37,2020-01-03,Austria,0
38,2020-01-03,Italy,0
39,2020-01-04,Poland,0
40,2020-01-04,UK,0
41,2020-01-04,Turkey,0
42,2020-01-04,Switzerland,0
43,2020-01-04,Spain,1
44,2020-01-04,Netherlands,0
45,2020-01-04,Sweden,0
46,2020-01-04,Ireland,0
47,2020-01-04,Austria,0
48,2020-01-04,Belgium,0
49,2020-01-04,Italy,0
50,2020-01-04,Germany,0
51,2020-01-04,France,0
52,2020-01-05,Spain,0
53,2020-01-05,UK,0
54,2020-01-05,Turkey,0
55,2020-01-05,Switzerland,0
56,2020-01-05,Sweden,0
57,2020-01-05,Poland,0
58,2020-01-05,Netherlands,0
59,2020-01-05,Italy,0
60,2020-01-05,Ireland,0
61,2020-01-05,Germany,0
62,2020-01-05,France,0
63,2020-01-05,Belgium,0
64,2020-01-05,Austria,0
65,2020-01-06,Turkey,0
66,2020-01-06,Switzerland,0
67,2020-01-06,Sweden,0
68,2020-01-06,Spain,0
69,2020-01-06,Poland,0
70,2020-01-06,UK,0
71,2020-01-06,Netherlands,0
72,2020-01-06,Ireland,0
73,2020-01-06,Germany,0
74,2020-01-06,France,0
75,2020-01-06,Belgium,0
76,2020-01-06,Austria,0
77,2020-01-06,Italy,0
78,2020-01-07,UK,0
79,2020-01-07,Turkey,0
80,2020-01-07,Switzerland,0
81,2020-01-07,Sweden,0
82,2020-01-07,Spain,0
83,2020-01-07,Poland,0
84,2020-01-07,Netherlands,0
85,2020-01-07,Ireland,0
86,2020-01-07,Germany,0
87,2020-01-07,France,0
88,2020-01-07,Belgium,0
89,2020-01-07,Austria,0
90,2020-01-07,Italy,0
91,2020-01-08,Poland,0
92,2020-01-08,UK,0
93,2020-01-08,Turkey,0
94,2020-01-08,Switzerland,0
95,2020-01-08,Spain,0
96,2020-01-08,Netherlands,0
97,2020-01-08,Sweden,0
98,2020-01-08,Ireland,0
99,2020-01-08,Austria,0
100,2020-01-08,Belgium,0
101,2020-01-08,Italy,0
102,2020-01-08,Germany,0
103,2020-01-08,France,0
104,2020-01-09,Spain,2
105,2020-01-09,UK,0
106,2020-01-09,Turkey,0
107,2020-01-09,Switzerland,0
108,2020-01-09,Sweden,0
109,2020-01-09,Poland,0
110,2020-01-09,Netherlands,0
111,2020-01-09,Italy,0
112,2020-01-09,Ireland,0
113,2020-01-09,Germany,0
114,2020-01-09,France,0
115,2020-01-09,Belgium,0
116,2020-01-09,Austria,0
117,2020-01-10,Sweden,0
118,2020-01-10,Switzerland,0
119,2020-01-10,Spain,2
120,2020-01-10,UK,0
121,2020-01-10,Turkey,0
122,2020-01-10,Poland,0
123,2020-01-10,Netherlands,0
124,2020-01-10,Italy,0
125,2020-01-10,Ireland,0
126,2020-01-10,Germany,0
127,2020-01-10,France,0
128,2020-01-10,Belgium,0
129,2020-01-10,Austria,0
130,2020-01-11,UK,0
131,2020-01-11,Turkey,0
132,2020-01-11,Switzerland,0
133,2020-01-11,Sweden,0
134,2020-01-11,Spain,0
135,2020-01-11,Poland,0
136,2020-01-11,Netherlands,0
137,2020-01-11,Italy,0
138,2020-01-11,Ireland,0
139,2020-01-11,Germany,0
140,2020-01-11,France,0
141,2020-01-11,Belgium,0
142,2020-01-11,Austria,0
143,2020-01-12,Turkey,0
144,2020-01-12,Switzerland,0
145,2020-01-12,Sweden,0
146,2020-01-12,Spain,0
147,2020-01-12,Poland,0
148,2020-01-12,UK,0
149,2020-01-12,Netherlands,0
150,2020-01-12,Ireland,0
151,2020-01-12,Austria,0
152,2020-01-12,Belgium,0
153,2020-01-12,Italy,0
154,2020-01-12,Germany,0
155,2020-01-12,France,0
156,2020-01-13,UK,0
157,2020-01-13,Turkey,0
158,2020-01-13,Switzerland,0
159,2020-01-13,Sweden,0
160,2020-01-13,Poland,0
161,2020-01-13,Spain,0
162,2020-01-13,Ireland,0
163,2020-01-13,Germany,0
164,2020-01-13,France,0
165,2020-01-13,Belgium,0
166,2020-01-13,Austria,0
167,2020-01-13,Italy,0
168,2020-01-13,Netherlands,0
169,2020-01-14,Poland,0
170,2020-01-14,UK,0
171,2020-01-14,Turkey,0
172,2020-01-14,Switzerland,0
173,2020-01-14,Sweden,0
174,2020-01-14,Spain,0
175,2020-01-14,Netherlands,0
176,2020-01-14,Ireland,0
177,2020-01-14,Germany,0
178,2020-01-14,France,0
179,2020-01-14,Belgium,0
180,2020-01-14,Austria,0
181,2020-01-14,Italy,0
182,2020-01-15,UK,0
183,2020-01-15,Turkey,0
184,2020-01-15,Switzerland,0
185,2020-01-15,Sweden,0
186,2020-01-15,Spain,0
187,2020-01-15,Poland,0
188,2020-01-15,Netherlands,0
189,2020-01-15,Ireland,0
190,2020-01-15,Germany,2
191,2020-01-15,France,0
192,2020-01-15,Belgium,0
193,2020-01-15,Austria,0
194,2020-01-15,Italy,0
195,2020-01-16,Spain,0
196,2020-01-16,UK,0
197,2020-01-16,Turkey,0
198,2020-01-16,Switzerland,0
199,2020-01-16,Sweden,0
200,2020-01-16,Poland,0
201,2020-01-16,France,0
202,2020-01-16,Italy,0
203,2020-01-16,Ireland,0
204,2020-01-16,Germany,0
205,2020-01-16,Netherlands,0
206,2020-01-16,Belgium,0
207,2020-01-16,Austria,0
208,2020-01-17,Turkey,0
209,2020-01-17,Switzerland,0
210,2020-01-17,Sweden,0
211,2020-01-17,Spain,0
212,2020-01-17,Poland,0
213,2020-01-17,Netherlands,0
214,2020-01-17,UK,0
215,2020-01-17,Ireland,0
216,2020-01-17,Germany,0
217,2020-01-17,France,0
218,2020-01-17,Belgium,0
219,2020-01-17,Austria,0
220,2020-01-17,Italy,0
221,2020-01-18,UK,0
222,2020-01-18,Turkey,0
223,2020-01-18,Switzerland,0
224,2020-01-18,Sweden,0
