,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
0,India,-,Brand,183,0.1,0.01,1.0,multiplicative,multiplicative,multiplicative,default,False,na,na,multiplicative,additive,na,na,logistic,17.03,13.54
0,India,-,Brand,183,0.1,0.01,1.0,multiplicative,multiplicative,multiplicative,default,False,na,na,multiplicative,additive,na,na,logistic,17.03,13.54
0,India,-,Non_Brand,183,0.05,0.01,0.1,multiplicative,additive,na,na,False,na,na,multiplicative,additive,na,na,linear,20.47,18.04
0,India,-,Brand,183,0.1,0.01,1.0,multiplicative,multiplicative,multiplicative,default,False,na,na,multiplicative,additive,na,na,logistic,17.03,13.54
0,India,-,Non_Brand,183,0.05,0.01,0.1,multiplicative,additive,na,na,False,na,na,multiplicative,additive,na,na,linear,20.47,18.04
0,Spain,-,Brand,183,0.05,10.0,10.0,multiplicative,multiplicative,additive,default,False,na,na,na,additive,na,na,logistic,10.53,9.28
0,Spain,-,Brand,183,0.05,10.0,10.0,multiplicative,multiplicative,additive,default,False,na,na,additive,na,na,na,logistic,10.53,9.28
0,India,-,Brand,183,0.1,0.01,1.0,multiplicative,multiplicative,multiplicative,default,False,na,na,multiplicative,additive,na,na,logistic,17.03,13.54
0,India,-,Non_Brand,183,0.05,0.01,0.1,multiplicative,additive,na,na,False,na,na,multiplicative,additive,na,na,linear,20.47,18.04
0,Spain,-,Brand,183,0.05,10.0,10.0,multiplicative,multiplicative,additive,default,False,na,na,na,additive,na,na,logistic,10.53,9.28
0,Spain,-,Brand,183,0.05,10.0,10.0,multiplicative,multiplicative,additive,default,False,na,na,additive,na,na,na,logistic,10.53,9.28
0,Spain,-,Non_Brand,183,0.1,0.1,1.0,multiplicative,multiplicative,multiplicative,na,False,na,na,multiplicative,additive,na,na,linear,20.21,7.6499999999999995
