,Region,Market,Account_type,Funnel,WeekStart,Ds,OptimalConversionQuantity,OptimalSpendValue,Month,Year,BaseConversionQuantity,BaseSpend,SavedDate
0,Mexico,Mexico,-,Brand,2023-12-29,2024-01-01,77.0,271.39,Jan,2024,77.0,271.39,2024-02-05
1,Mexico,Mexico,-,Brand,2023-12-29,2024-01-02,97.0,391.46,Jan,2024,97.0,391.46,2024-02-05
2,Mexico,Mexico,-,Brand,2023-12-29,2024-01-03,98.0,355.89,Jan,2024,98.0,355.89,2024-02-05
3,Mexico,Mexico,-,Brand,2023-12-29,2024-01-04,108.0,445.88,Jan,2024,108.0,445.88,2024-02-05
4,Mexico,Mexico,-,Brand,2023-12-29,2024-01-05,82.0,281.54,Jan,2024,82.0,281.54,2024-02-05
5,Mexico,Mexico,-,Brand,2024-01-05,2024-01-06,11.0,44.6,Jan,2024,11.0,44.6,2024-02-05
6,Mexico,Mexico,-,Brand,2024-01-05,2024-01-07,10.0,36.35,Jan,2024,10.0,36.35,2024-02-05
7,Mexico,Mexico,-,Brand,2024-01-05,2024-01-08,101.0,392.09,Jan,2024,101.0,392.09,2024-02-05
8,Mexico,Mexico,-,Brand,2024-01-05,2024-01-09,117.0,464.03,Jan,2024,117.0,464.03,2024-02-05
9,Mexico,Mexico,-,Brand,2024-01-05,2024-01-10,121.0,447.59,Jan,2024,121.0,447.59,2024-02-05
10,Mexico,Mexico,-,Brand,2024-01-05,2024-01-11,110.0,353.22,Jan,2024,110.0,353.22,2024-02-05
11,Mexico,Mexico,-,Brand,2024-01-05,2024-01-12,97.0,306.96,Jan,2024,97.0,306.96,2024-02-05
12,Mexico,Mexico,-,Brand,2024-01-12,2024-01-13,22.0,38.26,Jan,2024,22.0,38.26,2024-02-05
13,Mexico,Mexico,-,Brand,2024-01-12,2024-01-14,21.0,30.39,Jan,2024,21.0,30.39,2024-02-05
14,Mexico,Mexico,-,Brand,2024-01-12,2024-01-15,113.0,403.55,Jan,2024,113.0,403.55,2024-02-05
15,Mexico,Mexico,-,Brand,2024-01-12,2024-01-16,129.0,485.21,Jan,2024,129.0,485.21,2024-02-05
16,Mexico,Mexico,-,Brand,2024-01-12,2024-01-17,137.0,506.82,Jan,2024,137.0,506.82,2024-02-05
17,Mexico,Mexico,-,Brand,2024-01-12,2024-01-18,128.0,439.1,Jan,2024,128.0,439.1,2024-02-05
18,Mexico,Mexico,-,Brand,2024-01-12,2024-01-19,105.0,310.41,Jan,2024,105.0,310.41,2024-02-05
19,Mexico,Mexico,-,Brand,2024-01-19,2024-01-20,32.0,74.12,Jan,2024,32.0,74.12,2024-02-05
20,Mexico,Mexico,-,Brand,2024-01-19,2024-01-21,26.0,28.87,Jan,2024,26.0,28.87,2024-02-05
21,Mexico,Mexico,-,Brand,2024-01-19,2024-01-22,153.0,730.3,Jan,2024,153.0,730.3,2024-02-05
22,Mexico,Mexico,-,Brand,2024-01-19,2024-01-23,164.0,776.17,Jan,2024,164.0,776.17,2024-02-05
23,Mexico,Mexico,-,Brand,2024-01-19,2024-01-24,157.0,676.58,Jan,2024,157.0,676.58,2024-02-05
24,Mexico,Mexico,-,Brand,2024-01-19,2024-01-25,135.0,497.5,Jan,2024,135.0,497.5,2024-02-05
25,Mexico,Mexico,-,Brand,2024-01-19,2024-01-26,111.0,370.19,Jan,2024,111.0,370.19,2024-02-05
26,Mexico,Mexico,-,Brand,2024-01-26,2024-01-27,32.0,80.54,Jan,2024,32.0,80.54,2024-02-05
27,Mexico,Mexico,-,Brand,2024-01-26,2024-01-28,28.0,64.75,Jan,2024,28.0,64.75,2024-02-05
28,Mexico,Mexico,-,Brand,2024-01-26,2024-01-29,138.0,610.61,Jan,2024,138.0,610.61,2024-02-05
