Region,Market,Account_type,Funnel,WeekStart,Ds,OptimalConversionQuantity,OptimalSpendValue,Month,Year,BaseConversionQuantity,BaseSpend,SavedDate
Mexico,Mexico,-,Brand,2024-05-26,2024-06-01,6.0,67.56,Jun,2024,5.0,63.29,2024-06-01
Mexico,Mexico,-,Brand,2024-05-26,2024-06-02,0.0,25.45,Jun,2024,0.0,23.84,2024-06-01
Mexico,Mexico,-,Brand,2024-06-02,2024-06-03,107.0,477.69,Jun,2024,100.0,447.49,2024-06-01
Mexico,Mexico,-,Brand,2024-06-02,2024-06-04,122.0,535.24,Jun,2024,114.0,501.4,2024-06-01
Mexico,Mexico,-,Brand,2024-06-02,2024-06-05,117.0,499.29,Jun,2024,110.0,467.72,2024-06-01
Mexico,Mexico,-,Brand,2024-06-02,2024-06-06,170.0,743.98,Jun,2024,160.0,696.94,2024-06-01
Mexico,Mexico,-,Brand,2024-06-02,2024-06-07,62.0,252.55,Jun,2024,59.0,236.59,2024-06-01
Mexico,Mexico,-,Brand,2024-06-02,2024-06-08,1.0,38.17,Jun,2024,1.0,35.76,2024-06-01
Mexico,Mexico,-,Brand,2024-06-02,2024-06-09,0.0,19.9,Jun,2024,0.0,18.65,2024-06-01
Mexico,Mexico,-,Brand,2024-06-09,2024-06-10,88.0,390.26,Jun,2024,83.0,365.59,2024-06-01
Mexico,Mexico,-,Brand,2024-06-09,2024-06-11,83.0,357.0,Jun,2024,78.0,334.43,2024-06-01
Mexico,Mexico,-,Brand,2024-06-09,2024-06-12,57.0,228.76,Jun,2024,54.0,214.3,2024-06-01
Mexico,Mexico,-,Brand,2024-06-09,2024-06-13,52.0,205.8,Jun,2024,50.0,192.79,2024-06-01
Mexico,Mexico,-,Brand,2024-06-09,2024-06-14,40.0,156.5,Jun,2024,37.0,146.6,2024-06-01
Mexico,Mexico,-,Brand,2024-06-09,2024-06-15,0.0,23.44,Jun,2024,0.0,21.95,2024-06-01
Mexico,Mexico,-,Brand,2024-06-09,2024-06-16,0.0,14.52,Jun,2024,0.0,13.6,2024-06-01
Mexico,Mexico,-,Brand,2024-06-16,2024-06-17,48.0,218.22,Jun,2024,45.0,204.43,2024-06-01
Mexico,Mexico,-,Brand,2024-06-16,2024-06-18,61.0,273.68,Jun,2024,58.0,256.37,2024-06-01
Mexico,Mexico,-,Brand,2024-06-16,2024-06-19,67.0,289.31,Jun,2024,63.0,271.02,2024-06-01
Mexico,Mexico,-,Brand,2024-06-16,2024-06-20,51.0,217.41,Jun,2024,48.0,203.67,2024-06-01
Mexico,Mexico,-,Brand,2024-06-16,2024-06-21,45.0,201.03,Jun,2024,42.0,188.32,2024-06-01
Mexico,Mexico,-,Brand,2024-06-16,2024-06-22,0.0,34.87,Jun,2024,0.0,32.66,2024-06-01
Mexico,Mexico,-,Brand,2024-06-16,2024-06-23,0.0,24.61,Jun,2024,0.0,23.05,2024-06-01
Mexico,Mexico,-,Brand,2024-06-23,2024-06-24,109.0,522.69,Jun,2024,102.0,489.64,2024-06-01
Mexico,Mexico,-,Brand,2024-06-23,2024-06-25,148.0,696.53,Jun,2024,138.0,652.5,2024-06-01
Mexico,Mexico,-,Brand,2024-06-23,2024-06-26,127.0,590.3,Jun,2024,119.0,552.98,2024-06-01
Mexico,Mexico,-,Brand,2024-06-23,2024-06-27,36.0,172.52,Jun,2024,34.0,161.62,2024-06-01
Mexico,Mexico,-,Brand,2024-06-23,2024-06-28,70.0,341.15,Jun,2024,66.0,319.59,2024-06-01
Mexico,Mexico,-,Brand,2024-06-23,2024-06-29,0.0,70.02,Jun,2024,0.0,65.59,2024-06-01
Mexico,Mexico,-,Brand,2024-06-23,2024-06-30,0.0,41.37,Jun,2024,0.0,38.76,2024-06-01
Mexico,Mexico,-,Brand,2024-06-30,2024-07-01,128.0,628.55,Jul,2024,106.0,526.23,2024-06-01
Mexico,Mexico,-,Brand,2024-06-30,2024-07-02,116.0,566.09,Jul,2024,96.0,473.94,2024-06-01
Mexico,Mexico,-,Brand,2024-06-30,2024-07-03,120.0,577.72,Jul,2024,100.0,483.67,2024-06-01
Mexico,Mexico,-,Brand,2024-06-30,2024-07-04,101.0,486.03,Jul,2024,83.0,406.91,2024-06-01
Mexico,Mexico,-,Brand,2024-06-30,2024-07-05,98.0,480.46,Jul,2024,81.0,402.25,2024-06-01
Mexico,Mexico,-,Brand,2024-06-30,2024-07-06,0.0,47.87,Jul,2024,0.0,40.07,2024-06-01
Mexico,Mexico,-,Brand,2024-06-30,2024-07-07,0.0,21.22,Jul,2024,0.0,17.76,2024-06-01
Mexico,Mexico,-,Brand,2024-07-07,2024-07-08,85.0,438.66,Jul,2024,69.0,367.25,2024-06-01
Mexico,Mexico,-,Brand,2024-07-07,2024-07-09,107.0,534.55,Jul,2024,89.0,447.53,2024-06-01
Mexico,Mexico,-,Brand,2024-07-07,2024-07-10,113.0,549.8,Jul,2024,94.0,460.3,2024-06-01
Mexico,Mexico,-,Brand,2024-07-07,2024-07-11,66.0,331.06,Jul,2024,54.0,277.17,2024-06-01
Mexico,Mexico,-,Brand,2024-07-07,2024-07-12,60.0,308.49,Jul,2024,49.0,258.27,2024-06-01
Mexico,Mexico,-,Brand,2024-07-07,2024-07-13,0.0,44.8,Jul,2024,0.0,37.5,2024-06-01
Mexico,Mexico,-,Brand,2024-07-07,2024-07-14,0.0,30.86,Jul,2024,0.0,25.83,2024-06-01
