,variable_splits,pos
0,US_Bing_Ads_Brand_Apr_2024,1.1732038338008626
1,US_Bing_Ads_Brand_May_2024,0.9611920922644408
2,US_Bing_Ads_Brand_Jun_2024,1.1061907717067712
3,US_Bing_Ads_Brand_Jul_2024,1.083173571778873
4,US_Bing_Ads_Brand_Aug_2024,1.1715655094022095
5,US_Bing_Ads_Brand_Sep_2024,1.0520389447834104
6,US_Bing_Ads_Brand_Oct_2024,1.0212558937136968
7,US_Bing_Ads_Brand_Nov_2024,
8,US_Bing_Ads_Brand_Dec_2024,1.1500646624701418
9,US_Bing_Ads_Competitor_Apr_2024,0.8414937348610039
10,US_Bing_Ads_Competitor_May_2024,0.9186822265338518
11,US_Bing_Ads_Competitor_Jun_2024,0.9036288539450373
12,US_Bing_Ads_Competitor_Jul_2024,1.1110408443979707
13,US_Bing_Ads_Competitor_Aug_2024,1.1718059001278425
14,US_Bing_Ads_Competitor_Sep_2024,1.0861300906083284
15,US_Bing_Ads_Competitor_Oct_2024,1.0143764174737824
16,US_Bing_Ads_Competitor_Nov_2024,
17,US_Bing_Ads_Competitor_Dec_2024,1.0789905002223823
18,US_Bing_Ads_Generic_Apr_2024,0.9516609182208502
19,US_Bing_Ads_Generic_May_2024,
20,US_Bing_Ads_Generic_Jun_2024,
21,US_Bing_Ads_Generic_Jul_2024,
22,US_Bing_Ads_Generic_Aug_2024,
23,US_Bing_Ads_Generic_Sep_2024,
24,US_Bing_Ads_Generic_Oct_2024,
25,US_Bing_Ads_Generic_Nov_2024,
26,US_Bing_Ads_Generic_Dec_2024,
27,US_Google_AdWords_Brand_Apr_2024,0.8397513497623581
28,US_Google_AdWords_Brand_May_2024,0.8086324150592176
29,US_Google_AdWords_Brand_Jun_2024,1.153674885853608
30,US_Google_AdWords_Brand_Jul_2024,1.178339760476547
31,US_Google_AdWords_Brand_Aug_2024,0.8906791376658905
32,US_Google_AdWords_Brand_Sep_2024,0.8633512213357315
33,US_Google_AdWords_Brand_Oct_2024,1.1397883167134382
34,US_Google_AdWords_Brand_Nov_2024,
35,US_Google_AdWords_Brand_Dec_2024,0.8269380442363822
36,US_Google_AdWords_Competitor_Apr_2024,0.9457508457825735
37,US_Google_AdWords_Competitor_May_2024,0.9173363153335882
38,US_Google_AdWords_Competitor_Jun_2024,0.8520554777512024
39,US_Google_AdWords_Competitor_Jul_2024,1.0359750747117462
40,US_Google_AdWords_Competitor_Aug_2024,1.0602297834021641
41,US_Google_AdWords_Competitor_Sep_2024,0.8623510623073956
42,US_Google_AdWords_Competitor_Oct_2024,0.8521656962524625
43,US_Google_AdWords_Competitor_Nov_2024,
44,US_Google_AdWords_Competitor_Dec_2024,1.0006705097064672
45,US_Google_AdWords_Generic_Apr_2024,1.179613589034635
46,US_Google_AdWords_Generic_May_2024,0.9721420877665209
47,US_Google_AdWords_Generic_Jun_2024,0.9646257211986987
48,US_Google_AdWords_Generic_Jul_2024,1.0544134195748076
49,US_Google_AdWords_Generic_Aug_2024,0.8310196644505529
50,US_Google_AdWords_Generic_Sep_2024,1.0543368592483073
51,US_Google_AdWords_Generic_Oct_2024,0.9064664742186477
52,US_Google_AdWords_Generic_Nov_2024,
53,US_Google_AdWords_Generic_Dec_2024,0.9432405129740878
