,iteration,Conversion Quantity
0,1,3048147.0
1,2,3145063.0
2,3,3145063.0
3,4,3145063.0
4,5,3145063.0
5,6,3145063.0
6,7,3145063.0
7,8,3145063.0
8,9,3145063.0
9,10,3145063.0
10,11,3145063.0
11,12,3146217.0
12,13,3146217.0
13,14,3146217.0
14,15,3146217.0
15,16,3150812.0
16,17,3150812.0
17,18,3150812.0
18,19,3150812.0
19,20,3150812.0
20,21,3150812.0
21,22,3150812.0
22,23,3150812.0
23,24,3150812.0
24,25,3151348.0
25,26,3152835.0
26,27,3152835.0
27,28,3152835.0
28,29,3152835.0
29,30,3152835.0
30,31,3152835.0
31,32,3152835.0
32,33,3152835.0
33,34,3152835.0
34,35,3152835.0
35,36,3153150.0
36,37,3153518.0
37,38,3153518.0
38,39,3153518.0
39,40,3153518.0
40,41,3153518.0
41,42,3153518.0
42,43,3153518.0
43,44,3153518.0
44,45,3153518.0
45,46,3153518.0
46,47,3153518.0
47,48,3153518.0
48,49,3155211.0
49,50,3155211.0
50,51,3155211.0
51,52,3155211.0
52,53,3155211.0
53,54,3155600.0
54,55,3155600.0
55,56,3155600.0
56,57,3155600.0
57,58,3155600.0
58,59,3155600.0
59,60,3155600.0
