,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,January_Feb_2023,power,growth,MAPE,period_AE
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,na,na,na,na,na,na,na,na,na,na,linear,94.42,80.97999999999999
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,na,default,na,na,na,na,na,na,na,na,linear,94.42,80.97999999999999
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,na,customized,na,na,na,na,na,na,na,na,linear,94.42,80.97999999999999
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,na,na,na,na,na,na,na,na,na,na,logistic,147.57,23.84
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,na,default,na,na,na,na,na,na,na,na,logistic,147.57,23.84
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,additive,na,na,na,na,na,na,na,na,na,linear,95.75,85.02
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,na,customized,na,na,na,na,na,na,na,na,logistic,147.57,23.84
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,additive,default,na,na,na,na,na,na,na,na,linear,95.75,85.02
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,additive,customized,na,na,na,na,na,na,na,na,linear,95.75,85.02
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,additive,na,na,na,na,na,na,na,na,na,logistic,289.62,272.88
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,additive,default,na,na,na,na,na,na,na,na,logistic,289.62,272.88
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,na,linear,95.34,83.39999999999999
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,additive,customized,na,na,na,na,na,na,na,na,logistic,289.62,272.88
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,multiplicative,default,na,na,na,na,na,na,na,na,linear,95.34,83.39999999999999
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,na,logistic,147.56,23.74
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,multiplicative,customized,na,na,na,na,na,na,na,na,linear,95.34,83.39999999999999
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,multiplicative,default,na,na,na,na,na,na,na,na,logistic,147.56,23.74
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,na,linear,99.69,83.11
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,multiplicative,na,default,na,na,na,na,na,na,na,na,linear,99.69,83.11
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,multiplicative,customized,na,na,na,na,na,na,na,na,logistic,147.56,23.74
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,na,logistic,140.61,30.23
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,multiplicative,na,customized,na,na,na,na,na,na,na,na,linear,99.69,83.11
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,multiplicative,na,default,na,na,na,na,na,na,na,na,logistic,140.61,30.23
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,na,linear,97.98,88.34
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,multiplicative,na,customized,na,na,na,na,na,na,na,na,logistic,140.61,30.23
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,multiplicative,additive,default,na,na,na,na,na,na,na,na,linear,97.98,88.34
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,multiplicative,additive,customized,na,na,na,na,na,na,na,na,linear,97.98,88.34
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,na,logistic,306.4,289.03
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,multiplicative,additive,default,na,na,na,na,na,na,na,na,logistic,306.4,289.03
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,linear,101.94,89.94
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,multiplicative,multiplicative,default,na,na,na,na,na,na,na,na,linear,101.94,89.94
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,multiplicative,additive,customized,na,na,na,na,na,na,na,na,logistic,306.4,289.03
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,logistic,140.16,30.570000000000004
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,na,linear,101.94,89.94
