,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
0,US,Google AdWords,Competitor,183,0.001,0.01,10.0,multiplicative,additive,na,na,na,na,na,na,na,na,na,linear,23.94,10.08
0,US,Google AdWords,Competitor,183,0.001,0.01,10.0,multiplicative,additive,na,default,na,na,na,na,na,na,na,linear,23.94,10.08
0,US,Google AdWords,Competitor,183,0.001,0.01,10.0,multiplicative,additive,na,customized,na,na,na,na,na,na,na,linear,23.94,10.08
0,US,Google AdWords,Competitor,183,0.001,0.01,10.0,multiplicative,additive,na,na,na,na,na,na,na,na,na,linear,23.94,10.08
0,US,Google AdWords,Competitor,183,0.001,0.01,10.0,multiplicative,additive,na,default,na,na,na,na,na,na,na,linear,23.94,10.08
0,US,Google AdWords,Competitor,183,0.001,0.01,10.0,multiplicative,additive,na,customized,na,na,na,na,na,na,na,linear,23.94,10.08
0,US,Google AdWords,Generic,183,0.1,1.0,10.0,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,8.41,5.16
0,US,Google AdWords,Generic,183,0.1,1.0,10.0,multiplicative,multiplicative,multiplicative,default,na,na,na,na,na,na,na,linear,8.41,5.16
0,US,Google AdWords,Generic,183,0.1,1.0,10.0,multiplicative,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,linear,8.41,5.16
0,US,Google AdWords,Competitor,183,0.001,0.01,10.0,multiplicative,additive,na,na,na,na,na,na,na,na,na,linear,23.94,10.08
0,US,Google AdWords,Competitor,183,0.001,0.01,10.0,multiplicative,additive,na,default,na,na,na,na,na,na,na,linear,23.94,10.08
0,US,Google AdWords,Competitor,183,0.001,0.01,10.0,multiplicative,additive,na,customized,na,na,na,na,na,na,na,linear,23.94,10.08
