,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,na,default,na,na,na,na,na,na,na,linear,92.96,79.11
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,na,na,na,na,na,na,na,na,na,linear,92.96,79.11
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,na,customized,na,na,na,na,na,na,na,linear,92.96,79.11
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,na,na,na,na,na,na,na,na,na,logistic,139.05,24.13
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,na,default,na,na,na,na,na,na,na,logistic,139.05,24.13
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,additive,na,na,na,na,na,na,na,na,linear,92.51,77.66
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,na,customized,na,na,na,na,na,na,na,logistic,139.05,24.13
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,additive,default,na,na,na,na,na,na,na,linear,92.51,77.66
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,additive,customized,na,na,na,na,na,na,na,linear,92.51,77.66
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,additive,na,na,na,na,na,na,na,na,logistic,289.25,271.87
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,linear,93.86,81.71000000000001
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,additive,default,na,na,na,na,na,na,na,logistic,289.25,271.87
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,additive,customized,na,na,na,na,na,na,na,logistic,289.25,271.87
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,multiplicative,default,na,na,na,na,na,na,na,linear,93.86,81.71000000000001
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,multiplicative,customized,na,na,na,na,na,na,na,linear,93.86,81.71000000000001
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,logistic,146.2,22.62
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,multiplicative,default,na,na,na,na,na,na,na,logistic,146.2,22.62
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,linear,100.29,88.4
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,additive,multiplicative,customized,na,na,na,na,na,na,na,logistic,146.2,22.62
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,multiplicative,na,default,na,na,na,na,na,na,na,linear,100.29,88.4
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,multiplicative,na,customized,na,na,na,na,na,na,na,linear,100.29,88.4
