,region,market,funnel,account_type,ds,X,Month,Year,Germany_Desktop_-_Apr_2024,Germany_Desktop_-_Aug_2024,Germany_Desktop_-_Dec_2024,Germany_Desktop_-_Jul_2024,Germany_Desktop_-_Jun_2024,Germany_Desktop_-_May_2024,Germany_Desktop_-_Nov_2024,Germany_Desktop_-_Oct_2024,Germany_Desktop_-_Sep_2024,Germany_Mobile_&_Tablet_-_Apr_2024,Germany_Mobile_&_Tablet_-_Aug_2024,Germany_Mobile_&_Tablet_-_Dec_2024,Germany_Mobile_&_Tablet_-_Jul_2024,Germany_Mobile_&_Tablet_-_Jun_2024,Germany_Mobile_&_Tablet_-_May_2024,Germany_Mobile_&_Tablet_-_Nov_2024,Germany_Mobile_&_Tablet_-_Oct_2024,Germany_Mobile_&_Tablet_-_Sep_2024,Weekend,AOV,ROAS
0,Europe,Germany,-,Desktop,2024-04-25,4366.380000000001,Apr,2024,4366.380000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24.87,3.26
1,Europe,Germany,-,Desktop,2024-04-26,10068.05,Apr,2024,10068.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24.87,3.26
2,Europe,Germany,-,Desktop,2024-04-27,428.43,Apr,2024,428.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24.87,3.26
3,Europe,Germany,-,Desktop,2024-04-28,209.61,Apr,2024,209.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24.87,3.26
4,Europe,Germany,-,Desktop,2024-04-29,540.16,Apr,2024,540.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24.87,3.26
5,Europe,Germany,-,Desktop,2024-04-30,4722.6900000000005,Apr,2024,4722.6900000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24.87,3.26
6,Europe,Germany,-,Desktop,2024-05-01,4366.19,May,2024,0.0,0.0,0.0,0.0,0.0,4366.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24.87,3.26
7,Europe,Germany,-,Desktop,2024-05-02,3916.86,May,2024,0.0,0.0,0.0,0.0,0.0,3916.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24.87,3.26
8,Europe,Germany,-,Desktop,2024-05-03,3153.3900000000003,May,2024,0.0,0.0,0.0,0.0,0.0,3153.3900000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24.87,3.26
9,Europe,Germany,-,Desktop,2024-05-04,398.15999999999997,May,2024,0.0,0.0,0.0,0.0,0.0,398.15999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24.87,3.26
