,Region,Market,device_segment,Ds,OptimalConversionQuantity,OptimalSpendValue,Month,Year,BaseConversionQuantity,BaseSpend,SavedDate
37,Germany,Germany,Desktop,2024-06-01,0.0,561.6,Jun,2024,0.0,493.54,2024-05-31
38,Germany,Germany,Desktop,2024-06-02,0.0,462.39,Jun,2024,0.0,406.36,2024-05-31
39,Germany,Germany,Desktop,2024-06-03,1404.0,5674.27,Jun,2024,1363.0,4986.63,2024-05-31
40,Germany,Germany,Desktop,2024-06-04,1485.0,6452.41,Jun,2024,1438.0,5670.48,2024-05-31
41,Germany,Germany,Desktop,2024-06-05,1392.0,5196.32,Jun,2024,1354.0,4566.6,2024-05-31
42,Germany,Germany,Desktop,2024-06-06,1181.0,2231.08,Jun,2024,1164.0,1960.71,2024-05-31
43,Germany,Germany,Desktop,2024-06-07,1001.0,3401.06,Jun,2024,976.0,2988.9,2024-05-31
44,Germany,Germany,Desktop,2024-06-08,0.0,593.73,Jun,2024,0.0,521.78,2024-05-31
45,Germany,Germany,Desktop,2024-06-09,0.0,514.23,Jun,2024,0.0,451.91,2024-05-31
46,Germany,Germany,Desktop,2024-06-10,1462.0,6571.0,Jun,2024,1414.0,5774.7,2024-05-31
47,Germany,Germany,Desktop,2024-06-11,1464.0,5910.98,Jun,2024,1421.0,5194.66,2024-05-31
48,Germany,Germany,Desktop,2024-06-12,1449.0,5832.04,Jun,2024,1406.0,5125.29,2024-05-31
49,Germany,Germany,Desktop,2024-06-13,1375.0,5056.07,Jun,2024,1338.0,4443.36,2024-05-31
50,Germany,Germany,Desktop,2024-06-14,1060.0,3909.48,Jun,2024,1031.0,3435.71,2024-05-31
51,Germany,Germany,Desktop,2024-06-15,0.0,876.67,Jun,2024,0.0,770.43,2024-05-31
52,Germany,Germany,Desktop,2024-06-16,0.0,759.11,Jun,2024,0.0,667.11,2024-05-31
53,Germany,Germany,Desktop,2024-06-17,1735.0,10557.98,Jun,2024,1658.0,9278.52,2024-05-31
54,Germany,Germany,Desktop,2024-06-18,1350.0,3494.29,Jun,2024,1325.0,3070.84,2024-05-31
55,Germany,Germany,Desktop,2024-06-19,1394.0,4433.55,Jun,2024,1362.0,3896.27,2024-05-31
56,Germany,Germany,Desktop,2024-06-20,1338.0,3990.87,Jun,2024,1309.0,3507.24,2024-05-31
57,Germany,Germany,Desktop,2024-06-21,1022.0,2884.33,Jun,2024,1001.0,2534.79,2024-05-31
58,Germany,Germany,Desktop,2024-06-22,0.0,395.69,Jun,2024,0.0,347.74,2024-05-31
59,Germany,Germany,Desktop,2024-06-23,0.0,277.94,Jun,2024,0.0,244.26,2024-05-31
60,Germany,Germany,Desktop,2024-06-24,1341.0,3822.55,Jun,2024,1313.0,3359.32,2024-05-31
61,Germany,Germany,Desktop,2024-06-25,1429.0,4662.71,Jun,2024,1395.0,4097.66,2024-05-31
