,Region,Market,device_segment,Ds,OptimalConversionQuantity,OptimalSpendValue,Month,Year,BaseConversionQuantity,BaseSpend,SavedDate
37,Germany,Germany,Desktop,2024-06-01,0.0,557.52,Jun,2024,0.0,503.18,2024-06-05
38,Germany,Germany,Desktop,2024-06-02,0.0,459.04,Jun,2024,0.0,414.3,2024-06-05
39,Germany,Germany,Desktop,2024-06-03,1402.0,5633.13,Jun,2024,1369.0,5084.03,2024-06-05
40,Germany,Germany,Desktop,2024-06-04,1482.0,6405.64,Jun,2024,1445.0,5781.24,2024-06-05
41,Germany,Germany,Desktop,2024-06-05,1390.0,5158.65,Jun,2024,1359.0,4655.8,2024-06-05
42,Germany,Germany,Desktop,2024-06-06,1180.0,2214.91,Jun,2024,1167.0,1999.01,2024-06-05
43,Germany,Germany,Desktop,2024-06-07,999.0,3376.41,Jun,2024,979.0,3047.28,2024-06-05
44,Germany,Germany,Desktop,2024-06-08,0.0,589.42,Jun,2024,0.0,531.97,2024-06-05
45,Germany,Germany,Desktop,2024-06-09,0.0,510.5,Jun,2024,0.0,460.74,2024-06-05
46,Germany,Germany,Desktop,2024-06-10,1459.0,6523.37,Jun,2024,1421.0,5887.49,2024-06-05
47,Germany,Germany,Desktop,2024-06-11,1462.0,5868.13,Jun,2024,1427.0,5296.12,2024-06-05
48,Germany,Germany,Desktop,2024-06-12,1446.0,5789.77,Jun,2024,1412.0,5225.4,2024-06-05
49,Germany,Germany,Desktop,2024-06-13,1373.0,5019.42,Jun,2024,1343.0,4530.14,2024-06-05
50,Germany,Germany,Desktop,2024-06-14,1058.0,3881.14,Jun,2024,1035.0,3502.82,2024-06-05
51,Germany,Germany,Desktop,2024-06-15,0.0,870.31,Jun,2024,0.0,785.48,2024-06-05
52,Germany,Germany,Desktop,2024-06-16,0.0,753.6,Jun,2024,0.0,680.14,2024-06-05
53,Germany,Germany,Desktop,2024-06-17,1730.0,10481.45,Jun,2024,1669.0,9459.75,2024-06-05
54,Germany,Germany,Desktop,2024-06-18,1349.0,3468.96,Jun,2024,1328.0,3130.82,2024-06-05
55,Germany,Germany,Desktop,2024-06-19,1392.0,4401.41,Jun,2024,1367.0,3972.38,2024-06-05
56,Germany,Germany,Desktop,2024-06-20,1336.0,3961.94,Jun,2024,1313.0,3575.74,2024-06-05
57,Germany,Germany,Desktop,2024-06-21,1021.0,2863.42,Jun,2024,1004.0,2584.3,2024-06-05
58,Germany,Germany,Desktop,2024-06-22,0.0,392.82,Jun,2024,0.0,354.53,2024-06-05
59,Germany,Germany,Desktop,2024-06-23,0.0,275.92,Jun,2024,0.0,249.03,2024-06-05
60,Germany,Germany,Desktop,2024-06-24,1340.0,3794.84,Jun,2024,1317.0,3424.93,2024-06-05
61,Germany,Germany,Desktop,2024-06-25,1427.0,4628.91,Jun,2024,1400.0,4177.7,2024-06-05
62,Germany,Germany,Desktop,2024-06-26,1401.0,4459.28,Jun,2024,1375.0,4024.6,2024-06-05
63,Germany,Germany,Desktop,2024-06-27,1210.0,1836.61,Jun,2024,1199.0,1657.58,2024-06-05
64,Germany,Germany,Desktop,2024-06-28,879.0,547.05,Jun,2024,876.0,493.72,2024-06-05
65,Germany,Germany,Desktop,2024-06-29,0.0,747.84,Jun,2024,0.0,674.95,2024-06-05
66,Germany,Germany,Desktop,2024-06-30,0.0,826.15,Jun,2024,0.0,745.62,2024-06-05
67,Germany,Germany,Desktop,2024-07-01,1555.0,7471.63,Jul,2024,1517.0,6851.35,2024-06-05
68,Germany,Germany,Desktop,2024-07-02,1588.0,7416.14,Jul,2024,1551.0,6800.47,2024-06-05
69,Germany,Germany,Desktop,2024-07-03,1593.0,7754.5,Jul,2024,1554.0,7110.73,2024-06-05
70,Germany,Germany,Desktop,2024-07-04,1520.0,7089.87,Jul,2024,1485.0,6501.28,2024-06-05
71,Germany,Germany,Desktop,2024-07-05,1013.0,2841.55,Jul,2024,998.0,2605.65,2024-06-05
72,Germany,Germany,Desktop,2024-07-06,0.0,406.82,Jul,2024,0.0,373.04,2024-06-05
73,Germany,Germany,Desktop,2024-07-07,0.0,394.72,Jul,2024,0.0,361.95,2024-06-05
74,Germany,Germany,Desktop,2024-07-08,1371.0,4426.33,Jul,2024,1349.0,4058.86,2024-06-05
75,Germany,Germany,Desktop,2024-07-09,1418.0,4558.04,Jul,2024,1395.0,4179.64,2024-06-05
76,Germany,Germany,Desktop,2024-07-10,1396.0,4436.71,Jul,2024,1374.0,4068.38,2024-06-05
77,Germany,Germany,Desktop,2024-07-11,1263.0,2729.96,Jul,2024,1249.0,2503.32,2024-06-05
78,Germany,Germany,Desktop,2024-07-12,1123.0,4552.07,Jul,2024,1100.0,4174.16,2024-06-05
79,Germany,Germany,Desktop,2024-07-13,0.0,669.95,Jul,2024,0.0,614.33,2024-06-05
80,Germany,Germany,Desktop,2024-07-14,0.0,609.14,Jul,2024,0.0,558.57,2024-06-05
81,Germany,Germany,Desktop,2024-07-15,1513.0,6637.43,Jul,2024,1480.0,6086.4,2024-06-05
82,Germany,Germany,Desktop,2024-07-16,1475.0,5371.5,Jul,2024,1448.0,4925.57,2024-06-05
83,Germany,Germany,Desktop,2024-07-17,1433.0,4919.88,Jul,2024,1408.0,4511.44,2024-06-05
84,Germany,Germany,Desktop,2024-07-18,1376.0,4517.94,Jul,2024,1353.0,4142.87,2024-06-05
