,market,account_type,funnel,ds,region,X,y,key_0,weekday_or_weekend,Month of Ds,floor,AOV,ROAS,cap
0,Germany,Desktop,-,2022-01-01,Europe,488.93000000000006,12.0,,1,January,0,24.87,3.26,64.08973864093285
1,Germany,Desktop,-,2022-01-02,Europe,959.3599999999999,98.0,,1,January,0,24.87,3.26,125.75446722959386
2,Germany,Desktop,-,2022-01-03,Europe,5215.430000000001,1365.0,,0,January,0,24.87,3.26,683.6470365902694
3,Germany,Desktop,-,2022-01-04,Europe,4775.550000000001,1475.0,,0,January,0,24.87,3.26,625.9868516284681
4,Germany,Desktop,-,2022-01-05,Europe,5376.45,1508.0,,0,January,0,24.87,3.26,704.7537997587455
5,Germany,Desktop,-,2022-01-06,Europe,3755.2699999999995,1224.0,,0,January,0,24.87,3.26,492.24689183755515
6,Germany,Desktop,-,2022-01-07,Europe,3495.2999999999997,1372.0,,0,January,0,24.87,3.26,458.1696019300361
7,Germany,Desktop,-,2022-01-08,Europe,964.49,119.0,,1,January,0,24.87,3.26,126.42691596300763
8,Germany,Desktop,-,2022-01-09,Europe,792.2900000000001,104.0,,1,January,0,24.87,3.26,103.85466023321271
9,Germany,Desktop,-,2022-01-10,Europe,5424.050000000001,1885.0,,0,January,0,24.87,3.26,710.9932850824287
10,Germany,Desktop,-,2022-01-11,Europe,4860.3,1805.0,,0,January,0,24.87,3.26,637.0960193003618
11,Germany,Desktop,-,2022-01-12,Europe,4298.83,1752.0,,0,January,0,24.87,3.26,563.4976196220346
12,Germany,Desktop,-,2022-01-13,Europe,4369.429999999999,1774.0,,0,January,0,24.87,3.26,572.7519823080014
13,Germany,Desktop,-,2022-01-14,Europe,3230.959999999999,1613.0,,0,January,0,24.87,3.26,423.51948532368294
14,Germany,Desktop,-,2022-01-15,Europe,685.7499999999998,109.0,,1,January,0,24.87,3.26,89.88922396461597
15,Germany,Desktop,-,2022-01-16,Europe,706.8299999999999,86.0,,1,January,0,24.87,3.26,92.65242460796138
16,Germany,Desktop,-,2022-01-17,Europe,4411.33,1886.0,,0,January,0,24.87,3.26,578.244302372336
17,Germany,Desktop,-,2022-01-18,Europe,4501.879999999999,1793.0,,0,January,0,24.87,3.26,590.1137434660232
18,Germany,Desktop,-,2022-01-19,Europe,4175.41,1741.0,,0,January,0,24.87,3.26,547.3195255327703
19,Germany,Desktop,-,2022-01-20,Europe,6416.86,1710.0,,0,January,0,24.87,3.26,841.1324326497788
20,Germany,Desktop,-,2022-01-21,Europe,8481.07,1525.0,,0,January,0,24.87,3.26,1111.7124326497787
21,Germany,Desktop,-,2022-01-22,Europe,2822.0499999999997,85.0,,1,January,0,24.87,3.26,369.91889827100914
22,Germany,Desktop,-,2022-01-23,Europe,3003.74,84.0,,1,January,0,24.87,3.26,393.7351186168073
23,Germany,Desktop,-,2022-01-24,Europe,10263.5,2001.0,,0,January,0,24.87,3.26,1345.3562525130676
24,Germany,Desktop,-,2022-01-25,Europe,9765.07,1985.0,,0,January,0,24.87,3.26,1280.0212384398872
25,Germany,Desktop,-,2022-01-26,Europe,2523.4500000000003,2010.0,,0,January,0,24.87,3.26,330.7779252110977
26,Germany,Desktop,-,2022-01-27,Europe,1780.7299999999998,2096.0,,0,January,0,24.87,3.26,233.42098110172893
27,Germany,Desktop,-,2022-01-28,Europe,1370.2,1659.0,,0,January,0,24.87,3.26,179.60804181745073
28,Germany,Desktop,-,2022-01-29,Europe,130.66,41.0,,1,January,0,24.87,3.26,17.12712505026136
29,Germany,Desktop,-,2022-01-30,Europe,116.65,68.0,,1,January,0,24.87,3.26,15.290671491757136
30,Germany,Desktop,-,2022-01-31,Europe,4460.79,2191.0,,0,January,0,24.87,3.26,584.7275995174908
31,Germany,Desktop,-,2022-02-01,Europe,7982.06,1964.0,,0,February,0,24.87,3.26,1046.3013912344188
32,Germany,Desktop,-,2022-02-02,Europe,5954.02,1955.0,,0,February,0,24.87,3.26,780.4626135906715
33,Germany,Desktop,-,2022-02-03,Europe,2296.87,1871.0,,0,February,0,24.87,3.26,301.07745074386804
34,Germany,Desktop,-,2022-02-04,Europe,1816.57,1703.0,,0,February,0,24.87,3.26,238.11894652191393
35,Germany,Desktop,-,2022-02-05,Europe,29.9,55.0,,1,February,0,24.87,3.26,3.9193405709690383
36,Germany,Desktop,-,2022-02-06,Europe,17.64,76.0,,1,February,0,24.87,3.26,2.3122798552472856
37,Germany,Desktop,-,2022-02-07,Europe,739.1600000000001,1667.0,,0,February,0,24.87,3.26,96.89029352633695
38,Germany,Desktop,-,2022-02-08,Europe,606.4100000000001,1811.0,,0,February,0,24.87,3.26,79.4892078809811
39,Germany,Desktop,-,2022-02-09,Europe,878.0899999999999,1892.0,,0,February,0,24.87,3.26,115.10146361077602
40,Germany,Desktop,-,2022-02-10,Europe,864.86,1963.0,,0,February,0,24.87,3.26,113.36725371934057
41,Germany,Desktop,-,2022-02-11,Europe,641.4300000000001,1725.0,,0,February,0,24.87,3.26,84.07968636911941
42,Germany,Desktop,-,2022-02-12,Europe,31.189999999999998,52.0,,1,February,0,24.87,3.26,4.088435866505829
43,Germany,Desktop,-,2022-02-13,Europe,29.07,67.0,,1,February,0,24.87,3.26,3.8105428226779248
44,Germany,Desktop,-,2022-02-14,Europe,594.28,1847.0,,0,February,0,24.87,3.26,77.89918777643747
45,Germany,Desktop,-,2022-02-15,Europe,681.54,1925.0,,0,February,0,24.87,3.26,89.33737032569358
46,Germany,Desktop,-,2022-02-16,Europe,739.5,1734.0,,0,February,0,24.87,3.26,96.93486127864897
47,Germany,Desktop,-,2022-02-17,Europe,763.34,1746.0,,0,February,0,24.87,3.26,100.05984720546842
48,Germany,Desktop,-,2022-02-18,Europe,793.0000000000001,1755.0,,0,February,0,24.87,3.26,103.94772818657017
49,Germany,Desktop,-,2022-02-19,Europe,59.86000000000001,47.0,,1,February,0,24.87,3.26,7.846546039404906
