,iteration,Conversion Quantity
0,1,172966.0
1,2,173111.0
2,3,173181.0
3,4,173181.0
4,5,173181.0
5,6,173181.0
6,7,173181.0
7,8,173230.0
8,9,173230.0
9,10,173230.0
10,11,173230.0
11,12,173230.0
12,13,173230.0
13,14,173230.0
14,15,173230.0
15,16,173230.0
16,17,173230.0
17,18,173230.0
18,19,173230.0
19,20,173230.0
20,21,173230.0
21,22,173230.0
22,23,173230.0
23,24,173252.0
24,25,173252.0
25,26,173252.0
26,27,173252.0
27,28,173252.0
28,29,173252.0
29,30,173252.0
30,31,173252.0
31,32,173252.0
32,33,173252.0
33,34,173252.0
34,35,173252.0
35,36,173252.0
36,37,173252.0
37,38,173252.0
38,39,173252.0
39,40,173252.0
40,41,173252.0
41,42,173252.0
42,43,173252.0
43,44,173252.0
44,45,173252.0
45,46,173252.0
46,47,173252.0
47,48,173252.0
48,49,173252.0
49,50,173252.0
50,51,173252.0
51,52,173252.0
52,53,173252.0
53,54,173252.0
54,55,173252.0
55,56,173252.0
56,57,173270.0
57,58,173270.0
58,59,173270.0
59,60,173270.0
60,61,173270.0
61,62,173270.0
62,63,173270.0
63,64,173270.0
64,65,173270.0
65,66,173270.0
66,67,173270.0
67,68,173270.0
68,69,173270.0
69,70,173270.0
70,71,173270.0
71,72,173270.0
72,73,173270.0
73,74,173270.0
74,75,173270.0
75,76,173270.0
76,77,173270.0
77,78,173270.0
78,79,173270.0
79,80,173270.0
80,81,173270.0
81,82,173270.0
82,83,173273.0
83,84,173273.0
84,85,173273.0
85,86,173273.0
86,87,173273.0
87,88,173273.0
88,89,173273.0
89,90,173273.0
90,91,173273.0
91,92,173273.0
92,93,173273.0
93,94,173273.0
94,95,173273.0
95,96,173273.0
96,97,173273.0
97,98,173273.0
98,99,173273.0
99,100,173273.0
100,101,173273.0
101,102,173273.0
102,103,173273.0
103,104,173273.0
104,105,173273.0
105,106,173273.0
106,107,173273.0
107,108,173273.0
108,109,173273.0
109,110,173273.0
110,111,173273.0
111,112,173273.0
112,113,173273.0
113,114,173273.0
114,115,173273.0
115,116,173273.0
116,117,173273.0
117,118,173273.0
118,119,173273.0
119,120,173273.0
120,121,173273.0
121,122,173273.0
122,123,173273.0
123,124,173273.0
124,125,173273.0
125,126,173273.0
126,127,173273.0
127,128,173273.0
128,129,173273.0
129,130,173273.0
130,131,173273.0
131,132,173273.0
132,133,173273.0
133,134,173273.0
134,135,173273.0
135,136,173273.0
136,137,173273.0
137,138,173273.0
138,139,173273.0
139,140,173273.0
140,141,173273.0
141,142,173273.0
142,143,173273.0
143,144,173273.0
144,145,173273.0
145,146,173273.0
146,147,173273.0
147,148,173273.0
148,149,173273.0
149,150,173273.0
