,market,account_type,funnel,ds,region,X,y,key_0
0,Germany,Desktop,-,2022-01-01,Europe,488.93000000000006,12.0,
1,Germany,Desktop,-,2022-01-02,Europe,959.3599999999999,98.0,
2,Germany,Desktop,-,2022-01-03,Europe,5215.43,1365.0,
3,Germany,Desktop,-,2022-01-04,Europe,4775.55,1475.0,
4,Germany,Desktop,-,2022-01-05,Europe,5376.450000000003,1508.0,
5,Germany,Desktop,-,2022-01-06,Europe,3755.2699999999995,1224.0,
6,Germany,Desktop,-,2022-01-07,Europe,3495.2999999999997,1372.0,
7,Germany,Desktop,-,2022-01-08,Europe,964.4899999999999,119.0,
8,Germany,Desktop,-,2022-01-09,Europe,792.29,104.0,
9,Germany,Desktop,-,2022-01-10,Europe,5424.049999999999,1885.0,
10,Germany,Desktop,-,2022-01-11,Europe,4860.3,1805.0,
11,Germany,Desktop,-,2022-01-12,Europe,4298.83,1752.0,
12,Germany,Desktop,-,2022-01-13,Europe,4369.429999999999,1774.0,
13,Germany,Desktop,-,2022-01-14,Europe,3230.9599999999996,1613.0,
14,Germany,Desktop,-,2022-01-15,Europe,685.7499999999999,109.0,
15,Germany,Desktop,-,2022-01-16,Europe,706.8299999999998,86.0,
16,Germany,Desktop,-,2022-01-17,Europe,4411.330000000001,1886.0,
17,Germany,Desktop,-,2022-01-18,Europe,4501.88,1793.0,
18,Germany,Desktop,-,2022-01-19,Europe,4175.41,1741.0,
19,Germany,Desktop,-,2022-01-20,Europe,6416.859999999999,1710.0,
20,Germany,Desktop,-,2022-01-21,Europe,8481.070000000002,1525.0,
21,Germany,Desktop,-,2022-01-22,Europe,2822.05,85.0,
22,Germany,Desktop,-,2022-01-23,Europe,3003.74,84.0,
23,Germany,Desktop,-,2022-01-24,Europe,10263.5,2001.0,
24,Germany,Desktop,-,2022-01-25,Europe,9765.07,1985.0,
25,Germany,Desktop,-,2022-01-26,Europe,2523.45,2010.0,
26,Germany,Desktop,-,2022-01-27,Europe,1780.7299999999998,2096.0,
27,Germany,Desktop,-,2022-01-28,Europe,1370.2000000000003,1659.0,
28,Germany,Desktop,-,2022-01-29,Europe,130.66,41.0,
29,Germany,Desktop,-,2022-01-30,Europe,116.65000000000002,68.0,
30,Germany,Desktop,-,2022-01-31,Europe,4460.79,2191.0,
31,Germany,Desktop,-,2022-02-01,Europe,7982.0599999999995,1964.0,
32,Germany,Desktop,-,2022-02-02,Europe,5954.02,1955.0,
33,Germany,Desktop,-,2022-02-03,Europe,2296.87,1871.0,
34,Germany,Desktop,-,2022-02-04,Europe,1816.57,1703.0,
35,Germany,Desktop,-,2022-02-05,Europe,29.9,55.0,
36,Germany,Desktop,-,2022-02-06,Europe,17.639999999999997,76.0,
37,Germany,Desktop,-,2022-02-07,Europe,739.16,1667.0,
38,Germany,Desktop,-,2022-02-08,Europe,606.41,1811.0,
39,Germany,Desktop,-,2022-02-09,Europe,878.09,1892.0,
40,Germany,Desktop,-,2022-02-10,Europe,864.86,1963.0,
41,Germany,Desktop,-,2022-02-11,Europe,641.4300000000001,1725.0,
42,Germany,Desktop,-,2022-02-12,Europe,31.19,52.0,
43,Germany,Desktop,-,2022-02-13,Europe,29.070000000000004,67.0,
44,Germany,Desktop,-,2022-02-14,Europe,594.28,1847.0,
45,Germany,Desktop,-,2022-02-15,Europe,681.54,1925.0,
46,Germany,Desktop,-,2022-02-16,Europe,739.5000000000001,1734.0,
47,Germany,Desktop,-,2022-02-17,Europe,763.3400000000001,1746.0,
48,Germany,Desktop,-,2022-02-18,Europe,793.0,1755.0,
49,Germany,Desktop,-,2022-02-19,Europe,59.86,47.0,
50,Germany,Desktop,-,2022-02-20,Europe,74.17000000000002,91.0,
51,Germany,Desktop,-,2022-02-21,Europe,1210.72,1988.0,
52,Germany,Desktop,-,2022-02-22,Europe,1394.29,1845.0,
53,Germany,Desktop,-,2022-02-23,Europe,2428.82,1820.0,
54,Germany,Desktop,-,2022-02-24,Europe,5219.010000000001,1686.0,
55,Germany,Desktop,-,2022-02-25,Europe,4443.51,1463.0,
56,Germany,Desktop,-,2022-02-26,Europe,1584.1900000000003,54.0,
57,Germany,Desktop,-,2022-02-27,Europe,1590.0100000000002,74.0,
58,Germany,Desktop,-,2022-02-28,Europe,5213.170000000001,1851.0,
59,Germany,Desktop,-,2022-03-01,Europe,4024.31,1807.0,
60,Germany,Desktop,-,2022-03-02,Europe,3174.56,1812.0,
61,Germany,Desktop,-,2022-03-03,Europe,5132.93,1932.0,
62,Germany,Desktop,-,2022-03-04,Europe,5008.66,1414.0,
63,Germany,Desktop,-,2022-03-05,Europe,1129.0,39.0,
