,market,account_type,funnel,ds,region,X,y,weekday_or_weekend,Month of Ds,floor,revenue,cost,conversion,AOV,ROAS,cap
0,Spain,Desktop,-,2022-01-01,EMEA,60.75,11.0,1,January,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.5227541737850347
1,Spain,Desktop,-,2022-01-02,EMEA,146.65,33.0,1,January,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,1.261924273013586
2,Spain,Desktop,-,2022-01-03,EMEA,773.2400000000001,402.0,0,January,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,6.653735594033587
3,Spain,Desktop,-,2022-01-04,EMEA,618.7299999999999,332.0,0,January,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,5.32417596618954
4,Spain,Desktop,-,2022-01-05,EMEA,504.71,177.0,0,January,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.343033070799093
5,Spain,Desktop,-,2022-01-06,EMEA,207.62,104.0,0,January,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,1.7865715483333156
6,Spain,Desktop,-,2022-01-07,EMEA,407.60000000000014,257.0,0,January,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,3.5074008433708688
7,Spain,Desktop,-,2022-01-08,EMEA,161.59000000000003,101.0,1,January,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,1.3904830772333134
8,Spain,Desktop,-,2022-01-09,EMEA,219.46999999999997,47.0,1,January,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,1.8885408809975568
9,Spain,Desktop,-,2022-01-10,EMEA,879.9100000000001,310.0,0,January,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,7.571631688151276
10,Spain,Desktop,-,2022-01-11,EMEA,693.28,338.0,0,January,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,5.965679236241793
