,iteration,Conversion Quantity
0,1,73420.0
1,2,74054.0
2,3,74054.0
3,4,74106.0
4,5,74106.0
5,6,74169.0
6,7,74169.0
7,8,74169.0
8,9,74169.0
9,10,74178.0
10,11,74178.0
11,12,74314.0
12,13,74314.0
13,14,74314.0
14,15,74314.0
15,16,74314.0
16,17,74314.0
17,18,74314.0
18,19,74314.0
19,20,74314.0
20,21,74314.0
21,22,74314.0
22,23,74392.0
23,24,74392.0
24,25,74392.0
25,26,74392.0
26,27,74392.0
27,28,74392.0
28,29,74392.0
29,30,74392.0
30,31,74392.0
31,32,74392.0
32,33,74392.0
33,34,74392.0
34,35,74392.0
35,36,74392.0
36,37,74392.0
37,38,74392.0
38,39,74392.0
39,40,74392.0
40,41,74392.0
41,42,74392.0
42,43,74392.0
43,44,74392.0
44,45,74392.0
45,46,74397.0
46,47,74397.0
47,48,74397.0
48,49,74404.0
49,50,74404.0
50,51,74404.0
51,52,74405.0
52,53,74405.0
53,54,74405.0
54,55,74405.0
55,56,74405.0
56,57,74405.0
57,58,74405.0
58,59,74405.0
59,60,74405.0
60,61,74405.0
61,62,74405.0
62,63,74405.0
63,64,74405.0
64,65,74405.0
65,66,74405.0
66,67,74405.0
67,68,74405.0
68,69,74405.0
69,70,74405.0
70,71,74405.0
71,72,74427.0
72,73,74427.0
73,74,74427.0
74,75,74427.0
75,76,74427.0
76,77,74427.0
77,78,74427.0
78,79,74427.0
79,80,74427.0
80,81,74427.0
81,82,74427.0
82,83,74427.0
83,84,74427.0
84,85,74427.0
85,86,74427.0
86,87,74427.0
87,88,74427.0
88,89,74427.0
89,90,74427.0
90,91,74427.0
91,92,74427.0
92,93,74427.0
93,94,74427.0
94,95,74427.0
95,96,74427.0
96,97,74427.0
97,98,74427.0
98,99,74427.0
99,100,74427.0
100,101,74427.0
101,102,74427.0
102,103,74427.0
103,104,74427.0
104,105,74427.0
105,106,74427.0
106,107,74427.0
107,108,74427.0
108,109,74427.0
109,110,74427.0
110,111,74427.0
111,112,74427.0
112,113,74427.0
113,114,74427.0
114,115,74427.0
115,116,74427.0
116,117,74427.0
117,118,74427.0
118,119,74427.0
119,120,74427.0
120,121,74427.0
121,122,74427.0
122,123,74427.0
123,124,74427.0
124,125,74427.0
125,126,74427.0
126,127,74427.0
127,128,74427.0
128,129,74427.0
129,130,74427.0
130,131,74427.0
131,132,74427.0
132,133,74427.0
133,134,74427.0
134,135,74427.0
135,136,74427.0
136,137,74427.0
137,138,74427.0
138,139,74427.0
139,140,74427.0
140,141,74427.0
141,142,74427.0
142,143,74427.0
143,144,74427.0
144,145,74427.0
145,146,74427.0
146,147,74427.0
147,148,74427.0
148,149,74427.0
149,150,74427.0
