,Region,Market,device_segment,Ds,OptimalConversionQuantity,OptimalSpendValue,Month,Year,BaseConversionQuantity,BaseSpend,SavedDate
37,Spain,Spain,Desktop,2024-06-01,0.0,17.87,Jun,2024,0.0,19.88,2024-06-06
38,Spain,Spain,Desktop,2024-06-02,0.0,26.65,Jun,2024,0.0,29.63,2024-06-06
39,Spain,Spain,Desktop,2024-06-03,176.0,138.82,Jun,2024,177.0,154.37,2024-06-06
40,Spain,Spain,Desktop,2024-06-04,176.0,164.47,Jun,2024,177.0,182.89,2024-06-06
41,Spain,Spain,Desktop,2024-06-05,205.0,829.97,Jun,2024,211.0,922.94,2024-06-06
42,Spain,Spain,Desktop,2024-06-06,192.0,876.97,Jun,2024,199.0,975.2,2024-06-06
43,Spain,Spain,Desktop,2024-06-07,143.0,567.76,Jun,2024,147.0,631.36,2024-06-06
44,Spain,Spain,Desktop,2024-06-08,0.0,196.23,Jun,2024,0.0,218.21,2024-06-06
45,Spain,Spain,Desktop,2024-06-09,0.0,256.83,Jun,2024,0.0,285.6,2024-06-06
46,Spain,Spain,Desktop,2024-06-10,227.0,1149.16,Jun,2024,235.0,1277.88,2024-06-06
47,Spain,Spain,Desktop,2024-06-11,206.0,810.87,Jun,2024,212.0,901.7,2024-06-06
48,Spain,Spain,Desktop,2024-06-12,202.0,929.69,Jun,2024,209.0,1033.83,2024-06-06
49,Spain,Spain,Desktop,2024-06-13,181.0,817.87,Jun,2024,186.0,909.48,2024-06-06
50,Spain,Spain,Desktop,2024-06-14,145.0,713.06,Jun,2024,150.0,792.93,2024-06-06
51,Spain,Spain,Desktop,2024-06-15,0.0,202.76,Jun,2024,0.0,225.48,2024-06-06
52,Spain,Spain,Desktop,2024-06-16,0.0,263.7,Jun,2024,0.0,293.24,2024-06-06
53,Spain,Spain,Desktop,2024-06-17,244.0,1472.35,Jun,2024,254.0,1637.27,2024-06-06
54,Spain,Spain,Desktop,2024-06-18,235.0,1312.96,Jun,2024,245.0,1460.03,2024-06-06
55,Spain,Spain,Desktop,2024-06-19,184.0,658.24,Jun,2024,189.0,731.97,2024-06-06
56,Spain,Spain,Desktop,2024-06-20,170.0,655.03,Jun,2024,175.0,728.41,2024-06-06
57,Spain,Spain,Desktop,2024-06-21,134.0,522.16,Jun,2024,138.0,580.65,2024-06-06
58,Spain,Spain,Desktop,2024-06-22,0.0,131.82,Jun,2024,0.0,146.58,2024-06-06
59,Spain,Spain,Desktop,2024-06-23,0.0,114.85,Jun,2024,0.0,127.71,2024-06-06
60,Spain,Spain,Desktop,2024-06-24,208.0,822.3,Jun,2024,214.0,914.41,2024-06-06
61,Spain,Spain,Desktop,2024-06-25,211.0,834.04,Jun,2024,217.0,927.46,2024-06-06
62,Spain,Spain,Desktop,2024-06-26,194.0,705.9,Jun,2024,199.0,784.97,2024-06-06
63,Spain,Spain,Desktop,2024-06-27,183.0,713.16,Jun,2024,188.0,793.05,2024-06-06
64,Spain,Spain,Desktop,2024-06-28,123.0,480.0,Jun,2024,126.0,533.77,2024-06-06
65,Spain,Spain,Desktop,2024-06-29,0.0,152.05,Jun,2024,0.0,169.08,2024-06-06
66,Spain,Spain,Desktop,2024-06-30,0.0,129.69,Jun,2024,0.0,144.22,2024-06-06
67,Spain,Spain,Desktop,2024-07-01,220.0,1010.02,Jul,2024,217.0,951.77,2024-06-06
68,Spain,Spain,Desktop,2024-07-02,218.0,739.16,Jul,2024,216.0,696.53,2024-06-06
69,Spain,Spain,Desktop,2024-07-03,217.0,931.0,Jul,2024,214.0,877.31,2024-06-06
70,Spain,Spain,Desktop,2024-07-04,147.0,317.95,Jul,2024,146.0,299.62,2024-06-06
71,Spain,Spain,Desktop,2024-07-05,141.0,260.36,Jul,2024,140.0,245.34,2024-06-06
72,Spain,Spain,Desktop,2024-07-06,0.0,70.47,Jul,2024,0.0,66.41,2024-06-06
73,Spain,Spain,Desktop,2024-07-07,6.0,81.7,Jul,2024,6.0,76.99,2024-06-06
74,Spain,Spain,Desktop,2024-07-08,224.0,485.26,Jul,2024,222.0,457.27,2024-06-06
75,Spain,Spain,Desktop,2024-07-09,224.0,399.43,Jul,2024,222.0,376.39,2024-06-06
76,Spain,Spain,Desktop,2024-07-10,212.0,335.84,Jul,2024,211.0,316.47,2024-06-06
77,Spain,Spain,Desktop,2024-07-11,203.0,364.55,Jul,2024,202.0,343.53,2024-06-06
78,Spain,Spain,Desktop,2024-07-12,172.0,276.43,Jul,2024,171.0,260.48,2024-06-06
79,Spain,Spain,Desktop,2024-07-13,16.0,76.12,Jul,2024,15.0,71.73,2024-06-06
80,Spain,Spain,Desktop,2024-07-14,26.0,72.62,Jul,2024,26.0,68.43,2024-06-06
81,Spain,Spain,Desktop,2024-07-15,239.0,412.93,Jul,2024,238.0,389.11,2024-06-06
82,Spain,Spain,Desktop,2024-07-16,247.0,500.58,Jul,2024,246.0,471.71,2024-06-06
83,Spain,Spain,Desktop,2024-07-17,234.0,445.47,Jul,2024,233.0,419.78,2024-06-06
84,Spain,Spain,Desktop,2024-07-18,217.0,380.78,Jul,2024,216.0,358.82,2024-06-06
85,Spain,Spain,Desktop,2024-07-19,185.0,324.95,Jul,2024,184.0,306.21,2024-06-06
86,Spain,Spain,Desktop,2024-07-20,22.0,58.15,Jul,2024,21.0,54.8,2024-06-06
87,Spain,Spain,Desktop,2024-07-21,29.0,51.11,Jul,2024,29.0,48.16,2024-06-06
88,Spain,Spain,Desktop,2024-07-22,242.0,444.64,Jul,2024,240.0,418.99,2024-06-06
89,Spain,Spain,Desktop,2024-07-23,239.0,410.02,Jul,2024,237.0,386.37,2024-06-06
90,Spain,Spain,Desktop,2024-07-24,232.0,518.57,Jul,2024,230.0,488.67,2024-06-06
91,Spain,Spain,Desktop,2024-07-25,212.0,464.53,Jul,2024,210.0,437.74,2024-06-06
92,Spain,Spain,Desktop,2024-07-26,200.0,786.6,Jul,2024,197.0,741.23,2024-06-06
93,Spain,Spain,Desktop,2024-07-27,11.0,169.86,Jul,2024,10.0,160.07,2024-06-06
94,Spain,Spain,Desktop,2024-07-28,14.0,140.48,Jul,2024,13.0,132.38,2024-06-06
95,Spain,Spain,Desktop,2024-07-29,244.0,863.38,Jul,2024,241.0,813.59,2024-06-06
96,Spain,Spain,Desktop,2024-07-30,234.0,762.94,Jul,2024,231.0,718.94,2024-06-06
97,Spain,Spain,Desktop,2024-07-31,210.0,630.94,Jul,2024,207.0,594.55,2024-06-06
98,Spain,Spain,Desktop,2024-08-01,190.0,617.34,Aug,2024,198.0,740.55,2024-06-06
99,Spain,Spain,Desktop,2024-08-02,152.0,543.05,Aug,2024,158.0,651.43,2024-06-06
100,Spain,Spain,Desktop,2024-08-03,0.0,74.64,Aug,2024,0.0,89.54,2024-06-06
101,Spain,Spain,Desktop,2024-08-04,0.0,189.39,Aug,2024,0.0,227.18,2024-06-06
102,Spain,Spain,Desktop,2024-08-05,189.0,547.43,Aug,2024,195.0,656.68,2024-06-06
