Unnamed: 0,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
0,France,Desktop,-,183,0.1,10.0,10.0,additive,additive,na,na,na,na,na,na,na,na,na,linear,39.4,39.94
0,France,Desktop,-,183,0.1,10.0,10.0,additive,additive,na,na,na,na,na,na,na,na,na,logistic,16.41,11.81
0,France,Desktop,-,183,0.1,10.0,10.0,additive,additive,na,custom,na,na,na,na,na,na,na,linear,39.4,39.94
0,France,Desktop,-,183,0.1,10.0,10.0,additive,additive,na,Default,na,na,na,na,na,na,na,linear,37.68,38.7
0,France,Desktop,-,183,0.1,10.0,10.0,additive,additive,additive,na,na,na,na,na,na,na,na,linear,39.54,40.12
0,France,Desktop,-,183,0.1,10.0,10.0,additive,additive,na,Default,na,na,na,na,na,na,na,logistic,11.06,8.780000000000001
0,France,Desktop,-,183,0.1,10.0,10.0,additive,additive,na,custom,na,na,na,na,na,na,na,logistic,16.41,11.81
0,France,Desktop,-,183,0.1,10.0,10.0,additive,additive,additive,na,na,na,na,na,na,na,na,logistic,17.26,11.74
0,France,Desktop,-,183,0.1,10.0,10.0,additive,additive,additive,custom,na,na,na,na,na,na,na,linear,39.54,40.12
0,France,Desktop,-,183,0.1,10.0,10.0,additive,additive,additive,Default,na,na,na,na,na,na,na,linear,38.0,39.01
0,France,Desktop,-,183,0.1,10.0,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,linear,48.3,48.88
0,France,Desktop,-,183,0.1,10.0,10.0,additive,additive,additive,Default,na,na,na,na,na,na,na,logistic,10.93,8.77
0,France,Desktop,-,183,0.1,10.0,10.0,additive,additive,additive,custom,na,na,na,na,na,na,na,logistic,17.26,11.74
0,France,Desktop,-,183,0.1,10.0,10.0,additive,additive,multiplicative,custom,na,na,na,na,na,na,na,linear,48.3,48.88
0,France,Desktop,-,183,0.1,10.0,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,logistic,14.85,10.86
0,France,Desktop,-,183,0.1,10.0,10.0,additive,additive,multiplicative,Default,na,na,na,na,na,na,na,linear,44.37,45.24
0,France,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,linear,34.87,35.86
0,France,Desktop,-,183,0.1,10.0,10.0,additive,additive,multiplicative,Default,na,na,na,na,na,na,na,logistic,10.51,7.290000000000001
0,France,Desktop,-,183,0.1,10.0,10.0,additive,additive,multiplicative,custom,na,na,na,na,na,na,na,logistic,14.85,10.86
0,France,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,logistic,54.78,48.81
0,France,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,na,custom,na,na,na,na,na,na,na,linear,34.87,35.86
0,France,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,na,Default,na,na,na,na,na,na,na,linear,34.23,35.410000000000004
0,France,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,na,Default,na,na,na,na,na,na,na,logistic,54.74,47.96
0,France,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,na,custom,na,na,na,na,na,na,na,logistic,54.78,48.81
0,France,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,linear,21.62,23.04
0,France,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,logistic,29.03,18.85
0,France,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,additive,Default,na,na,na,na,na,na,na,linear,20.58,22.23
0,France,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,additive,custom,na,na,na,na,na,na,na,linear,21.62,23.04
0,France,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,37.03,37.98
0,France,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,additive,Default,na,na,na,na,na,na,na,logistic,24.23,14.760000000000002
0,France,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,additive,custom,na,na,na,na,na,na,na,logistic,29.03,18.85
0,France,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,logistic,53.99,46.88
0,France,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,multiplicative,custom,na,na,na,na,na,na,na,linear,37.03,37.98
0,France,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,multiplicative,Default,na,na,na,na,na,na,na,linear,33.4,34.65
0,France,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,multiplicative,Default,na,na,na,na,na,na,na,logistic,53.36,46.16
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,na,na,na,na,na,na,na,na,na,linear,52.31,52.86
0,France,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,multiplicative,custom,na,na,na,na,na,na,na,logistic,53.99,46.88
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,na,na,na,na,na,na,na,na,na,logistic,37.53,24.87
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,na,Default,na,na,na,na,na,na,na,linear,42.72,43.68
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,na,custom,na,na,na,na,na,na,na,linear,52.31,52.86
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,additive,na,na,na,na,na,na,na,na,linear,38.9,38.080000000000005
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,na,Default,na,na,na,na,na,na,na,logistic,34.46,24.14
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,na,custom,na,na,na,na,na,na,na,logistic,37.53,24.87
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,additive,na,na,na,na,na,na,na,na,logistic,16.83,10.65
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,additive,custom,na,na,na,na,na,na,na,linear,38.9,38.080000000000005
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,additive,Default,na,na,na,na,na,na,na,linear,30.76,31.540000000000003
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,additive,Default,na,na,na,na,na,na,na,logistic,10.79,8.64
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,na,linear,38.01,38.15
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,additive,custom,na,na,na,na,na,na,na,logistic,16.83,10.65
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,na,logistic,36.91,24.84
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,Default,na,na,na,na,na,na,na,linear,36.85,37.93
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,custom,na,na,na,na,na,na,na,linear,38.01,38.15
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,custom,na,na,na,na,na,na,na,logistic,36.91,24.84
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,linear,40.96,41.84
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,Default,na,na,na,na,na,na,na,logistic,34.83,24.0
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,logistic,58.84,52.11
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,multiplicative,na,Default,na,na,na,na,na,na,na,linear,35.26,36.48
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,multiplicative,na,custom,na,na,na,na,na,na,na,linear,40.96,41.84
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,multiplicative,na,Default,na,na,na,na,na,na,na,logistic,58.04,53.39
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,na,na,na,na,na,na,na,na,linear,26.53,27.44
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,multiplicative,na,custom,na,na,na,na,na,na,na,logistic,58.84,52.11
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,na,na,na,na,na,na,na,na,logistic,59.18,52.3
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,custom,na,na,na,na,na,na,na,linear,26.53,27.44
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,Default,na,na,na,na,na,na,na,linear,22.33,23.85
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,Default,na,na,na,na,na,na,na,logistic,58.19,53.95
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,custom,na,na,na,na,na,na,na,logistic,59.18,52.3
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,29.61,30.71
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,logistic,58.58,52.690000000000005
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,multiplicative,multiplicative,Default,na,na,na,na,na,na,na,linear,25.69,27.11
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,multiplicative,multiplicative,custom,na,na,na,na,na,na,na,linear,29.61,30.71
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,multiplicative,multiplicative,custom,na,na,na,na,na,na,na,logistic,58.58,52.690000000000005
0,France,Desktop,-,183,0.1,10.0,10.0,multiplicative,multiplicative,multiplicative,Default,na,na,na,na,na,na,na,logistic,58.48,56.85
0,France,Desktop,-,183,0.1,10.0,1.0,additive,additive,na,na,na,na,na,na,na,na,na,linear,39.78,40.44
0,France,Desktop,-,183,0.1,10.0,1.0,additive,additive,na,na,na,na,na,na,na,na,na,logistic,15.9,12.24
0,France,Desktop,-,183,0.1,10.0,1.0,additive,additive,na,custom,na,na,na,na,na,na,na,linear,39.78,40.44
0,France,Desktop,-,183,0.1,10.0,1.0,additive,additive,na,Default,na,na,na,na,na,na,na,linear,37.56,38.58
0,France,Desktop,-,183,0.1,10.0,1.0,additive,additive,na,Default,na,na,na,na,na,na,na,logistic,11.24,8.6
