,region,market,funnel,account_type,ds,X,Month,Year,France_Desktop_-_Apr_2024,France_Desktop_-_Aug_2024,France_Desktop_-_Dec_2024,France_Desktop_-_Jul_2024,France_Desktop_-_Jun_2024,France_Desktop_-_May_2024,France_Desktop_-_Nov_2024,France_Desktop_-_Oct_2024,France_Desktop_-_Sep_2024,France_Mobile_&_Tablet_-_Apr_2024,France_Mobile_&_Tablet_-_Aug_2024,France_Mobile_&_Tablet_-_Dec_2024,France_Mobile_&_Tablet_-_Jul_2024,France_Mobile_&_Tablet_-_Jun_2024,France_Mobile_&_Tablet_-_May_2024,France_Mobile_&_Tablet_-_Nov_2024,France_Mobile_&_Tablet_-_Oct_2024,France_Mobile_&_Tablet_-_Sep_2024,Weekend,AOV,ROAS
0,Europe,France,-,Desktop,2024-04-25,3684.3300000000004,Apr,2024,3684.3300000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35.88,2.17
1,Europe,France,-,Desktop,2024-04-26,6546.15,Apr,2024,6546.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35.88,2.17
2,Europe,France,-,Desktop,2024-04-27,884.53,Apr,2024,884.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35.88,2.17
3,Europe,France,-,Desktop,2024-04-28,585.48,Apr,2024,585.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35.88,2.17
4,Europe,France,-,Desktop,2024-04-29,1391.0399999999997,Apr,2024,1391.0399999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35.88,2.17
5,Europe,France,-,Desktop,2024-04-30,4702.110000000001,Apr,2024,4702.110000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35.88,2.17
6,Europe,France,-,Desktop,2024-05-01,4396.419999999999,May,2024,0.0,0.0,0.0,0.0,0.0,4396.419999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35.88,2.17
7,Europe,France,-,Desktop,2024-05-02,4524.52,May,2024,0.0,0.0,0.0,0.0,0.0,4524.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35.88,2.17
8,Europe,France,-,Desktop,2024-05-03,4268.14,May,2024,0.0,0.0,0.0,0.0,0.0,4268.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35.88,2.17
9,Europe,France,-,Desktop,2024-05-04,1081.39,May,2024,0.0,0.0,0.0,0.0,0.0,1081.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35.88,2.17
10,Europe,France,-,Desktop,2024-05-05,985.6600000000001,May,2024,0.0,0.0,0.0,0.0,0.0,985.6600000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35.88,2.17
11,Europe,France,-,Desktop,2024-05-06,2127.48,May,2024,0.0,0.0,0.0,0.0,0.0,2127.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35.88,2.17
12,Europe,France,-,Desktop,2024-05-07,3688.7999999999997,May,2024,0.0,0.0,0.0,0.0,0.0,3688.7999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35.88,2.17
13,Europe,France,-,Desktop,2024-05-08,3231.8000000000006,May,2024,0.0,0.0,0.0,0.0,0.0,3231.8000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35.88,2.17
14,Europe,France,-,Desktop,2024-05-09,2492.6900000000005,May,2024,0.0,0.0,0.0,0.0,0.0,2492.6900000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35.88,2.17
15,Europe,France,-,Desktop,2024-05-10,2004.83,May,2024,0.0,0.0,0.0,0.0,0.0,2004.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35.88,2.17
16,Europe,France,-,Desktop,2024-05-11,446.14,May,2024,0.0,0.0,0.0,0.0,0.0,446.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35.88,2.17
