,market,account_type,funnel,ds,region,X,y,key_0,weekday_or_weekend,Month of Ds,floor,AOV,ROAS,cap
0,France,Desktop,-,2022-01-01,Europe,2642.6400000000003,24.0,,1,January,0,35.88,2.17,159.82521739130436
1,France,Desktop,-,2022-01-02,Europe,5129.340000000001,51.0,,1,January,0,35.88,2.17,310.2192809364549
2,France,Desktop,-,2022-01-03,Europe,25055.279999999995,774.0,,0,January,0,35.88,2.17,1515.327692307692
3,France,Desktop,-,2022-01-04,Europe,26718.220000000005,721.0,,0,January,0,35.88,2.17,1615.9012653288742
4,France,Desktop,-,2022-01-05,Europe,27271.87,718.0,,0,January,0,35.88,2.17,1649.3856716833889
5,France,Desktop,-,2022-01-06,Europe,21609.28,752.0,,0,January,0,35.88,2.17,1306.915763656633
6,France,Desktop,-,2022-01-07,Europe,19305.52,628.0,,0,January,0,35.88,2.17,1167.585797101449
7,France,Desktop,-,2022-01-08,Europe,7385.500000000002,106.0,,1,January,0,35.88,2.17,446.67042920847274
8,France,Desktop,-,2022-01-09,Europe,6741.259999999999,76.0,,1,January,0,35.88,2.17,407.70719620958744
9,France,Desktop,-,2022-01-10,Europe,32510.140000000007,877.0,,0,January,0,35.88,2.17,1966.1929710144927
10,France,Desktop,-,2022-01-11,Europe,29449.980000000003,964.0,,0,January,0,35.88,2.17,1781.1164046822742
11,France,Desktop,-,2022-01-12,Europe,27418.84999999999,840.0,,0,January,0,35.88,2.17,1658.2749303232993
12,France,Desktop,-,2022-01-13,Europe,26546.499999999993,821.0,,0,January,0,35.88,2.17,1605.5157469342246
13,France,Desktop,-,2022-01-14,Europe,22008.599999999995,720.0,,0,January,0,35.88,2.17,1331.0663879598658
14,France,Desktop,-,2022-01-15,Europe,5845.28,60.0,,1,January,0,35.88,2.17,353.51888517279815
15,France,Desktop,-,2022-01-16,Europe,6271.780000000001,74.0,,1,January,0,35.88,2.17,379.31333890746936
16,France,Desktop,-,2022-01-17,Europe,29453.46,918.0,,0,January,0,35.88,2.17,1781.3268729096987
17,France,Desktop,-,2022-01-18,Europe,29976.660000000003,847.0,,0,January,0,35.88,2.17,1812.9696822742476
18,France,Desktop,-,2022-01-19,Europe,26541.420000000002,808.0,,0,January,0,35.88,2.17,1605.2085117056856
19,France,Desktop,-,2022-01-20,Europe,25463.979999999996,881.0,,0,January,0,35.88,2.17,1540.0456131549606
20,France,Desktop,-,2022-01-21,Europe,19959.440000000002,735.0,,0,January,0,35.88,2.17,1207.1344704570793
21,France,Desktop,-,2022-01-22,Europe,6210.08,66.0,,1,January,0,35.88,2.17,375.58176142697874
22,France,Desktop,-,2022-01-23,Europe,5491.360000000001,75.0,,1,January,0,35.88,2.17,332.1140245261984
23,France,Desktop,-,2022-01-24,Europe,28915.590000000004,889.0,,0,January,0,35.88,2.17,1748.796831103679
24,France,Desktop,-,2022-01-25,Europe,23644.93,1054.0,,0,January,0,35.88,2.17,1430.0306047937568
25,France,Desktop,-,2022-01-26,Europe,17196.320000000003,924.0,,0,January,0,35.88,2.17,1040.0226978818284
26,France,Desktop,-,2022-01-27,Europe,17530.17,933.0,,0,January,0,35.88,2.17,1060.2137374581937
27,France,Desktop,-,2022-01-28,Europe,14929.860000000006,896.0,,0,January,0,35.88,2.17,902.9486120401341
28,France,Desktop,-,2022-01-29,Europe,4310.32,88.0,,1,January,0,35.88,2.17,260.6854626532887
29,France,Desktop,-,2022-01-30,Europe,4008.120000000001,63.0,,1,January,0,35.88,2.17,242.40859531772577
30,France,Desktop,-,2022-01-31,Europe,27004.590000000004,1016.0,,0,January,0,35.88,2.17,1633.2207441471573
31,France,Desktop,-,2022-02-01,Europe,29717.97,1035.0,,0,February,0,35.88,2.17,1797.3242725752507
32,France,Desktop,-,2022-02-02,Europe,28253.450000000004,1059.0,,0,February,0,35.88,2.17,1708.7510172798218
33,France,Desktop,-,2022-02-03,Europe,24187.72,1015.0,,0,February,0,35.88,2.17,1462.858205128205
34,France,Desktop,-,2022-02-04,Europe,15899.820000000002,717.0,,0,February,0,35.88,2.17,961.6111872909698
35,France,Desktop,-,2022-02-05,Europe,1833.3000000000004,64.0,,1,February,0,35.88,2.17,110.87683946488296
36,France,Desktop,-,2022-02-06,Europe,1734.9599999999996,56.0,,1,February,0,35.88,2.17,104.92929765886284
37,France,Desktop,-,2022-02-07,Europe,9049.66,509.0,,0,February,0,35.88,2.17,547.3177870680043
38,France,Desktop,-,2022-02-08,Europe,8255.77,876.0,,0,February,0,35.88,2.17,499.3038154960981
39,France,Desktop,-,2022-02-09,Europe,9079.06,789.0,,0,February,0,35.88,2.17,549.0958807134894
40,France,Desktop,-,2022-02-10,Europe,11404.07,862.0,,0,February,0,35.88,2.17,689.7110340022296
41,France,Desktop,-,2022-02-11,Europe,10203.73,803.0,,0,February,0,35.88,2.17,617.1152201783723
42,France,Desktop,-,2022-02-12,Europe,2634.16,104.0,,1,February,0,35.88,2.17,159.31235228539575
43,France,Desktop,-,2022-02-13,Europe,2587.28,72.0,,1,February,0,35.88,2.17,156.47707915273133
44,France,Desktop,-,2022-02-14,Europe,13309.96,972.0,,0,February,0,35.88,2.17,804.9780713489407
45,France,Desktop,-,2022-02-15,Europe,12809.68,864.0,,0,February,0,35.88,2.17,774.7214492753623
46,France,Desktop,-,2022-02-16,Europe,12238.439999999997,825.0,,0,February,0,35.88,2.17,740.1732107023408
47,France,Desktop,-,2022-02-17,Europe,11260.49,999.0,,0,February,0,35.88,2.17,681.0274052396877
48,France,Desktop,-,2022-02-18,Europe,9726.189999999999,632.0,,0,February,0,35.88,2.17,588.2338991081382
49,France,Desktop,-,2022-02-19,Europe,2812.25,56.0,,1,February,0,35.88,2.17,170.08312430323298
50,France,Desktop,-,2022-02-20,Europe,2795.6800000000003,82.0,,1,February,0,35.88,2.17,169.08098104793757
51,France,Desktop,-,2022-02-21,Europe,13081.43,811.0,,0,February,0,35.88,2.17,791.1567196209587
52,France,Desktop,-,2022-02-22,Europe,12483.87,813.0,,0,February,0,35.88,2.17,755.0166638795987
53,France,Desktop,-,2022-02-23,Europe,12721.3,802.0,,0,February,0,35.88,2.17,769.3762820512819
54,France,Desktop,-,2022-02-24,Europe,11933.75,852.0,,0,February,0,35.88,2.17,721.7457497212931
55,France,Desktop,-,2022-02-25,Europe,9569.43,712.0,,0,February,0,35.88,2.17,578.753152173913
56,France,Desktop,-,2022-02-26,Europe,2745.7599999999998,62.0,,1,February,0,35.88,2.17,166.06185061315495
57,France,Desktop,-,2022-02-27,Europe,2432.4799999999996,72.0,,1,February,0,35.88,2.17,147.11487179487176
58,France,Desktop,-,2022-02-28,Europe,13254.530000000002,778.0,,0,February,0,35.88,2.17,801.6256995540691
59,France,Desktop,-,2022-03-01,Europe,12182.089999999997,815.0,,0,March,0,35.88,2.17,736.765197881828
60,France,Desktop,-,2022-03-02,Europe,12340.740000000002,840.0,,0,March,0,35.88,2.17,746.3602508361205
61,France,Desktop,-,2022-03-03,Europe,13850.93,847.0,,0,March,0,35.88,2.17,837.6955992196209
62,France,Desktop,-,2022-03-04,Europe,13456.439999999999,611.0,,0,March,0,35.88,2.17,813.8370903010032
63,France,Desktop,-,2022-03-05,Europe,2780.82,77.0,,1,March,0,35.88,2.17,168.1822575250836
64,France,Desktop,-,2022-03-06,Europe,2612.88,57.0,,1,March,0,35.88,2.17,158.02535117056854
65,France,Desktop,-,2022-03-07,Europe,16410.59,812.0,,0,March,0,35.88,2.17,992.5022380156074
66,France,Desktop,-,2022-03-08,Europe,16714.429999999993,865.0,,0,March,0,35.88,2.17,1010.8782915273127
67,France,Desktop,-,2022-03-09,Europe,18282.93,838.0,,0,March,0,35.88,2.17,1105.740192307692
68,France,Desktop,-,2022-03-10,Europe,18949.57,978.0,,0,March,0,35.88,2.17,1146.058163322185
69,France,Desktop,-,2022-03-11,Europe,13520.890000000003,716.0,,0,March,0,35.88,2.17,817.7349860646601
70,France,Desktop,-,2022-03-12,Europe,1408.9799999999996,37.0,,1,March,0,35.88,2.17,85.21423076923072
71,France,Desktop,-,2022-03-13,Europe,3174.159999999999,69.0,,1,March,0,35.88,2.17,191.97121516164987
72,France,Desktop,-,2022-03-14,Europe,21539.480000000003,937.0,,0,March,0,35.88,2.17,1302.6943032329991
73,France,Desktop,-,2022-03-15,Europe,23977.760000000002,956.0,,0,March,0,35.88,2.17,1450.1599554069119
74,France,Desktop,-,2022-03-16,Europe,20720.65,863.0,,0,March,0,35.88,2.17,1253.171976031215
75,France,Desktop,-,2022-03-17,Europe,20321.51,775.0,,0,March,0,35.88,2.17,1229.0322380156074
76,France,Desktop,-,2022-03-18,Europe,15995.169999999998,711.0,,0,March,0,35.88,2.17,967.3778957636564
