,Region,Market,device_segment,Ds,OptimalConversionQuantity,OptimalSpendValue,Month,Year,BaseConversionQuantity,BaseSpend,SavedDate
37,France,France,Desktop,2024-06-01,0.0,801.25,Jun,2024,0.0,683.28,2024-05-31
38,France,France,Desktop,2024-06-02,0.0,693.05,Jun,2024,0.0,591.0,2024-05-31
39,France,France,Desktop,2024-06-03,609.0,4290.41,Jun,2024,600.0,3658.68,2024-05-31
40,France,France,Desktop,2024-06-04,669.0,3744.24,Jun,2024,660.0,3192.93,2024-05-31
41,France,France,Desktop,2024-06-05,632.0,3051.2,Jun,2024,625.0,2601.94,2024-05-31
42,France,France,Desktop,2024-06-06,637.0,3102.58,Jun,2024,631.0,2645.75,2024-05-31
43,France,France,Desktop,2024-06-07,517.0,2807.64,Jun,2024,511.0,2394.24,2024-05-31
44,France,France,Desktop,2024-06-08,0.0,875.58,Jun,2024,0.0,746.66,2024-05-31
45,France,France,Desktop,2024-06-09,0.0,702.43,Jun,2024,0.0,599.0,2024-05-31
46,France,France,Desktop,2024-06-10,632.0,4142.77,Jun,2024,623.0,3532.79,2024-05-31
47,France,France,Desktop,2024-06-11,702.0,4377.96,Jun,2024,693.0,3733.35,2024-05-31
48,France,France,Desktop,2024-06-12,672.0,4214.31,Jun,2024,663.0,3593.79,2024-05-31
49,France,France,Desktop,2024-06-13,667.0,3736.69,Jun,2024,659.0,3186.5,2024-05-31
50,France,France,Desktop,2024-06-14,546.0,3638.42,Jun,2024,538.0,3102.69,2024-05-31
51,France,France,Desktop,2024-06-15,0.0,868.86,Jun,2024,0.0,740.93,2024-05-31
52,France,France,Desktop,2024-06-16,0.0,1063.07,Jun,2024,0.0,906.54,2024-05-31
53,France,France,Desktop,2024-06-17,673.0,6736.31,Jun,2024,659.0,5744.45,2024-05-31
54,France,France,Desktop,2024-06-18,722.0,5860.18,Jun,2024,710.0,4997.32,2024-05-31
55,France,France,Desktop,2024-06-19,652.0,3311.48,Jun,2024,645.0,2823.9,2024-05-31
56,France,France,Desktop,2024-06-20,644.0,2967.63,Jun,2024,638.0,2530.68,2024-05-31
57,France,France,Desktop,2024-06-21,515.0,2671.68,Jun,2024,510.0,2278.3,2024-05-31
58,France,France,Desktop,2024-06-22,0.0,578.35,Jun,2024,0.0,493.19,2024-05-31
59,France,France,Desktop,2024-06-23,0.0,523.19,Jun,2024,0.0,446.15,2024-05-31
60,France,France,Desktop,2024-06-24,597.0,3455.21,Jun,2024,590.0,2946.46,2024-05-31
61,France,France,Desktop,2024-06-25,658.0,3591.14,Jun,2024,651.0,3062.37,2024-05-31
62,France,France,Desktop,2024-06-26,619.0,3266.16,Jun,2024,612.0,2785.25,2024-05-31
63,France,France,Desktop,2024-06-27,615.0,3318.65,Jun,2024,608.0,2830.01,2024-05-31
64,France,France,Desktop,2024-06-28,484.0,2849.53,Jun,2024,478.0,2429.96,2024-05-31
65,France,France,Desktop,2024-06-29,0.0,985.04,Jun,2024,0.0,840.0,2024-05-31
66,France,France,Desktop,2024-06-30,0.0,995.18,Jun,2024,0.0,848.64,2024-05-31
67,France,France,Desktop,2024-07-01,594.0,5352.15,Jul,2024,585.0,4724.03,2024-05-31
68,France,France,Desktop,2024-07-02,653.0,5106.15,Jul,2024,644.0,4506.9,2024-05-31
69,France,France,Desktop,2024-07-03,621.0,5087.46,Jul,2024,612.0,4490.4,2024-05-31
70,France,France,Desktop,2024-07-04,578.0,2091.3,Jul,2024,575.0,1845.87,2024-05-31
71,France,France,Desktop,2024-07-05,451.0,1645.55,Jul,2024,449.0,1452.43,2024-05-31
72,France,France,Desktop,2024-07-06,0.0,418.84,Jul,2024,0.0,369.69,2024-05-31
73,France,France,Desktop,2024-07-07,0.0,319.4,Jul,2024,0.0,281.92,2024-05-31
74,France,France,Desktop,2024-07-08,542.0,1869.15,Jul,2024,539.0,1649.78,2024-05-31
75,France,France,Desktop,2024-07-09,613.0,2201.29,Jul,2024,609.0,1942.95,2024-05-31
76,France,France,Desktop,2024-07-10,582.0,1984.14,Jul,2024,578.0,1751.29,2024-05-31
77,France,France,Desktop,2024-07-11,580.0,1716.78,Jul,2024,578.0,1515.3,2024-05-31
78,France,France,Desktop,2024-07-12,448.0,675.82,Jul,2024,446.0,596.5,2024-05-31
79,France,France,Desktop,2024-07-13,0.0,379.18,Jul,2024,0.0,334.68,2024-05-31
80,France,France,Desktop,2024-07-14,0.0,374.24,Jul,2024,0.0,330.32,2024-05-31
81,France,France,Desktop,2024-07-15,557.0,2147.6,Jul,2024,553.0,1895.56,2024-05-31
82,France,France,Desktop,2024-07-16,620.0,2090.3,Jul,2024,616.0,1844.98,2024-05-31
83,France,France,Desktop,2024-07-17,587.0,1951.77,Jul,2024,583.0,1722.71,2024-05-31
84,France,France,Desktop,2024-07-18,583.0,1779.12,Jul,2024,580.0,1570.32,2024-05-31
85,France,France,Desktop,2024-07-19,456.0,1590.01,Jul,2024,454.0,1403.41,2024-05-31
86,France,France,Desktop,2024-07-20,0.0,377.4,Jul,2024,0.0,333.1,2024-05-31
87,France,France,Desktop,2024-07-21,0.0,324.71,Jul,2024,0.0,286.6,2024-05-31
88,France,France,Desktop,2024-07-22,526.0,1743.52,Jul,2024,523.0,1538.9,2024-05-31
89,France,France,Desktop,2024-07-23,585.0,1998.85,Jul,2024,582.0,1764.27,2024-05-31
90,France,France,Desktop,2024-07-24,547.0,2154.83,Jul,2024,544.0,1901.94,2024-05-31
91,France,France,Desktop,2024-07-25,539.0,2326.62,Jul,2024,535.0,2053.57,2024-05-31
92,France,France,Desktop,2024-07-26,415.0,2981.13,Jul,2024,410.0,2631.27,2024-05-31
93,France,France,Desktop,2024-07-27,0.0,945.89,Jul,2024,0.0,834.88,2024-05-31
94,France,France,Desktop,2024-07-28,0.0,618.72,Jul,2024,0.0,546.11,2024-05-31
95,France,France,Desktop,2024-07-29,471.0,4096.33,Jul,2024,465.0,3615.59,2024-05-31
96,France,France,Desktop,2024-07-30,512.0,3557.56,Jul,2024,506.0,3140.05,2024-05-31
97,France,France,Desktop,2024-07-31,450.0,2441.06,Jul,2024,446.0,2154.58,2024-05-31
98,France,France,Desktop,2024-08-01,432.0,2265.74,Aug,2024,429.0,2056.04,2024-05-31
99,France,France,Desktop,2024-08-02,295.0,2260.16,Aug,2024,292.0,2050.99,2024-05-31
100,France,France,Desktop,2024-08-03,0.0,643.45,Aug,2024,0.0,583.89,2024-05-31
101,France,France,Desktop,2024-08-04,0.0,568.78,Aug,2024,0.0,516.14,2024-05-31
102,France,France,Desktop,2024-08-05,343.0,3030.54,Aug,2024,339.0,2750.07,2024-05-31
103,France,France,Desktop,2024-08-06,400.0,3620.61,Aug,2024,396.0,3285.52,2024-05-31
104,France,France,Desktop,2024-08-07,371.0,4631.39,Aug,2024,365.0,4202.76,2024-05-31
105,France,France,Desktop,2024-08-08,324.0,1970.81,Aug,2024,321.0,1788.41,2024-05-31
106,France,France,Desktop,2024-08-09,190.0,1749.72,Aug,2024,188.0,1587.78,2024-05-31
107,France,France,Desktop,2024-08-10,0.0,514.22,Aug,2024,0.0,466.63,2024-05-31
108,France,France,Desktop,2024-08-11,0.0,492.61,Aug,2024,0.0,447.02,2024-05-31
109,France,France,Desktop,2024-08-12,254.0,1677.03,Aug,2024,252.0,1521.82,2024-05-31
110,France,France,Desktop,2024-08-13,310.0,1290.01,Aug,2024,309.0,1170.62,2024-05-31
111,France,France,Desktop,2024-08-14,298.0,2732.56,Aug,2024,295.0,2479.66,2024-05-31
112,France,France,Desktop,2024-08-15,294.0,2316.1,Aug,2024,291.0,2101.75,2024-05-31
113,France,France,Desktop,2024-08-16,174.0,2073.93,Aug,2024,171.0,1881.99,2024-05-31
114,France,France,Desktop,2024-08-17,0.0,787.98,Aug,2024,0.0,715.05,2024-05-31
115,France,France,Desktop,2024-08-18,0.0,745.99,Aug,2024,0.0,676.95,2024-05-31
116,France,France,Desktop,2024-08-19,304.0,4029.52,Aug,2024,299.0,3656.59,2024-05-31
117,France,France,Desktop,2024-08-20,350.0,1913.41,Aug,2024,347.0,1736.33,2024-05-31
118,France,France,Desktop,2024-08-21,327.0,1633.46,Aug,2024,325.0,1482.28,2024-05-31
119,France,France,Desktop,2024-08-22,339.0,1658.73,Aug,2024,337.0,1505.21,2024-05-31
120,France,France,Desktop,2024-08-23,228.0,1338.15,Aug,2024,226.0,1214.31,2024-05-31
121,France,France,Desktop,2024-08-24,0.0,339.62,Aug,2024,0.0,308.19,2024-05-31
122,France,France,Desktop,2024-08-25,0.0,368.9,Aug,2024,0.0,334.76,2024-05-31
123,France,France,Desktop,2024-08-26,362.0,1858.9,Aug,2024,360.0,1686.86,2024-05-31
124,France,France,Desktop,2024-08-27,452.0,2710.36,Aug,2024,449.0,2459.52,2024-05-31
125,France,France,Desktop,2024-08-28,434.0,2526.29,Aug,2024,431.0,2292.48,2024-05-31
126,France,France,Desktop,2024-08-29,453.0,2872.69,Aug,2024,450.0,2606.82,2024-05-31
127,France,France,Desktop,2024-08-30,359.0,3822.76,Aug,2024,354.0,3468.97,2024-05-31
128,France,France,Desktop,2024-08-31,0.0,740.58,Aug,2024,0.0,672.04,2024-05-31
129,France,France,Desktop,2024-09-01,0.0,630.2,Sep,2024,0.0,585.22,2024-05-31
130,France,France,Desktop,2024-09-02,477.0,3463.11,Sep,2024,474.0,3215.91,2024-05-31
131,France,France,Desktop,2024-09-03,549.0,3229.03,Sep,2024,546.0,2998.54,2024-05-31
132,France,France,Desktop,2024-09-04,516.0,2222.25,Sep,2024,514.0,2063.63,2024-05-31
133,France,France,Desktop,2024-09-05,522.0,1976.35,Sep,2024,520.0,1835.27,2024-05-31
134,France,France,Desktop,2024-09-06,407.0,1801.64,Sep,2024,406.0,1673.04,2024-05-31
135,France,France,Desktop,2024-09-07,0.0,385.81,Sep,2024,0.0,358.27,2024-05-31
