,Region,Market,device_segment,Ds,OptimalConversionQuantity,OptimalSpendValue,Month,Year,BaseConversionQuantity,BaseSpend,SavedDate
37,France,France,Desktop,2024-06-01,0.0,764.92,Jun,2024,0.0,675.03,2024-06-05
38,France,France,Desktop,2024-06-02,0.0,661.62,Jun,2024,0.0,583.87,2024-06-05
39,France,France,Desktop,2024-06-03,606.0,4095.85,Jun,2024,599.0,3614.52,2024-06-05
40,France,France,Desktop,2024-06-04,666.0,3574.45,Jun,2024,660.0,3154.39,2024-06-05
41,France,France,Desktop,2024-06-05,630.0,2912.84,Jun,2024,625.0,2570.53,2024-06-05
42,France,France,Desktop,2024-06-06,635.0,2961.89,Jun,2024,630.0,2613.82,2024-06-05
43,France,France,Desktop,2024-06-07,515.0,2680.32,Jun,2024,510.0,2365.34,2024-06-05
44,France,France,Desktop,2024-06-08,0.0,835.88,Jun,2024,0.0,737.65,2024-06-05
45,France,France,Desktop,2024-06-09,0.0,670.58,Jun,2024,0.0,591.77,2024-06-05
46,France,France,Desktop,2024-06-10,629.0,3954.92,Jun,2024,622.0,3490.14,2024-06-05
47,France,France,Desktop,2024-06-11,699.0,4179.44,Jun,2024,692.0,3688.28,2024-06-05
48,France,France,Desktop,2024-06-12,669.0,4023.21,Jun,2024,662.0,3550.41,2024-06-05
49,France,France,Desktop,2024-06-13,664.0,3567.25,Jun,2024,658.0,3148.04,2024-06-05
50,France,France,Desktop,2024-06-14,543.0,3473.43,Jun,2024,537.0,3065.24,2024-06-05
51,France,France,Desktop,2024-06-15,0.0,829.46,Jun,2024,0.0,731.98,2024-06-05
52,France,France,Desktop,2024-06-16,0.0,1014.86,Jun,2024,0.0,895.6,2024-06-05
53,France,France,Desktop,2024-06-17,669.0,6430.85,Jun,2024,658.0,5675.11,2024-06-05
54,France,France,Desktop,2024-06-18,718.0,5594.44,Jun,2024,709.0,4937.0,2024-06-05
55,France,France,Desktop,2024-06-19,650.0,3161.32,Jun,2024,645.0,2789.81,2024-06-05
56,France,France,Desktop,2024-06-20,642.0,2833.06,Jun,2024,637.0,2500.13,2024-06-05
57,France,France,Desktop,2024-06-21,514.0,2550.53,Jun,2024,509.0,2250.8,2024-06-05
58,France,France,Desktop,2024-06-22,0.0,552.12,Jun,2024,0.0,487.24,2024-06-05
59,France,France,Desktop,2024-06-23,0.0,499.46,Jun,2024,0.0,440.77,2024-06-05
60,France,France,Desktop,2024-06-24,595.0,3298.53,Jun,2024,590.0,2910.9,2024-06-05
61,France,France,Desktop,2024-06-25,656.0,3428.29,Jun,2024,650.0,3025.41,2024-06-05
62,France,France,Desktop,2024-06-26,617.0,3118.06,Jun,2024,611.0,2751.63,2024-06-05
63,France,France,Desktop,2024-06-27,613.0,3168.17,Jun,2024,608.0,2795.85,2024-06-05
64,France,France,Desktop,2024-06-28,482.0,2720.31,Jun,2024,478.0,2400.63,2024-06-05
65,France,France,Desktop,2024-06-29,0.0,940.37,Jun,2024,0.0,829.86,2024-06-05
66,France,France,Desktop,2024-06-30,0.0,950.05,Jun,2024,0.0,838.4,2024-06-05
67,France,France,Desktop,2024-07-01,591.0,5109.45,Jul,2024,585.0,4667.01,2024-06-05
68,France,France,Desktop,2024-07-02,649.0,4874.61,Jul,2024,643.0,4452.5,2024-06-05
69,France,France,Desktop,2024-07-03,617.0,4856.76,Jul,2024,612.0,4436.2,2024-06-05
70,France,France,Desktop,2024-07-04,577.0,1996.47,Jul,2024,574.0,1823.59,2024-06-05
71,France,France,Desktop,2024-07-05,450.0,1570.94,Jul,2024,448.0,1434.9,2024-06-05
72,France,France,Desktop,2024-07-06,0.0,399.85,Jul,2024,0.0,365.22,2024-06-05
73,France,France,Desktop,2024-07-07,0.0,304.92,Jul,2024,0.0,278.52,2024-06-05
74,France,France,Desktop,2024-07-08,541.0,1784.39,Jul,2024,539.0,1629.87,2024-06-05
75,France,France,Desktop,2024-07-09,612.0,2101.47,Jul,2024,609.0,1919.5,2024-06-05
76,France,France,Desktop,2024-07-10,580.0,1894.17,Jul,2024,578.0,1730.15,2024-06-05
77,France,France,Desktop,2024-07-11,579.0,1638.93,Jul,2024,577.0,1497.01,2024-06-05
78,France,France,Desktop,2024-07-12,447.0,645.17,Jul,2024,446.0,589.3,2024-06-05
79,France,France,Desktop,2024-07-13,0.0,361.99,Jul,2024,0.0,330.64,2024-06-05
80,France,France,Desktop,2024-07-14,0.0,357.27,Jul,2024,0.0,326.34,2024-06-05
81,France,France,Desktop,2024-07-15,555.0,2050.22,Jul,2024,553.0,1872.68,2024-06-05
82,France,France,Desktop,2024-07-16,618.0,1995.51,Jul,2024,616.0,1822.71,2024-06-05
83,France,France,Desktop,2024-07-17,585.0,1863.27,Jul,2024,583.0,1701.92,2024-06-05
84,France,France,Desktop,2024-07-18,581.0,1698.44,Jul,2024,579.0,1551.37,2024-06-05
85,France,France,Desktop,2024-07-19,455.0,1517.91,Jul,2024,454.0,1386.47,2024-06-05
86,France,France,Desktop,2024-07-20,0.0,360.28,Jul,2024,0.0,329.08,2024-06-05
87,France,France,Desktop,2024-07-21,0.0,309.99,Jul,2024,0.0,283.14,2024-06-05
88,France,France,Desktop,2024-07-22,525.0,1664.46,Jul,2024,523.0,1520.33,2024-06-05
89,France,France,Desktop,2024-07-23,584.0,1908.21,Jul,2024,582.0,1742.97,2024-06-05
90,France,France,Desktop,2024-07-24,546.0,2057.12,Jul,2024,543.0,1878.98,2024-06-05
