,decisionVariableArray,Input Weight,totay_yhat,iter,Date
0,France_Desktop_-_Apr_2024,1.0234298211718185,-98371.0,1,05.30.2024 06:42:01
1,France_Desktop_-_May_2024,1.0234298211718185,-98371.0,1,05.30.2024 06:42:01
2,France_Desktop_-_Jun_2024,0.8106711864440904,-98371.0,1,05.30.2024 06:42:01
3,France_Desktop_-_Jul_2024,0.8106711864440904,-98371.0,1,05.30.2024 06:42:01
4,France_Desktop_-_Aug_2024,0.8106711864440904,-98371.0,1,05.30.2024 06:42:01
5,France_Desktop_-_Sep_2024,0.8106711864440904,-98371.0,1,05.30.2024 06:42:01
6,France_Desktop_-_Oct_2024,0.8106711864440904,-98371.0,1,05.30.2024 06:42:01
7,France_Desktop_-_Nov_2024,0.6080033898330678,-98371.0,1,05.30.2024 06:42:01
8,France_Desktop_-_Dec_2024,0.8106711864440904,-98371.0,1,05.30.2024 06:42:01
9,France_Mobile_&_Tablet_-_Apr_2024,1.0234298211718185,-98371.0,1,05.30.2024 06:42:01
10,France_Mobile_&_Tablet_-_May_2024,1.0234298211718185,-98371.0,1,05.30.2024 06:42:01
11,France_Mobile_&_Tablet_-_Jun_2024,0.8106711864440904,-98371.0,1,05.30.2024 06:42:01
12,France_Mobile_&_Tablet_-_Jul_2024,0.8106711864440904,-98371.0,1,05.30.2024 06:42:01
13,France_Mobile_&_Tablet_-_Aug_2024,0.8106711864440904,-98371.0,1,05.30.2024 06:42:01
14,France_Mobile_&_Tablet_-_Sep_2024,0.8106711864440904,-98371.0,1,05.30.2024 06:42:01
15,France_Mobile_&_Tablet_-_Oct_2024,0.8106711864440904,-98371.0,1,05.30.2024 06:42:01
16,France_Mobile_&_Tablet_-_Nov_2024,0.6080033898330678,-98371.0,1,05.30.2024 06:42:01
17,France_Mobile_&_Tablet_-_Dec_2024,0.8106711864440904,-98371.0,1,05.30.2024 06:42:01
0,France_Desktop_-_Apr_2024,1.0234298211718185,-98371.0,2,05.30.2024 06:42:02
1,France_Desktop_-_May_2024,1.0234298211718185,-98371.0,2,05.30.2024 06:42:02
2,France_Desktop_-_Jun_2024,0.8106711864440904,-98371.0,2,05.30.2024 06:42:02
3,France_Desktop_-_Jul_2024,0.8106711864440904,-98371.0,2,05.30.2024 06:42:02
4,France_Desktop_-_Aug_2024,0.8106711864440904,-98371.0,2,05.30.2024 06:42:02
5,France_Desktop_-_Sep_2024,0.8106711864440904,-98371.0,2,05.30.2024 06:42:02
6,France_Desktop_-_Oct_2024,0.8106711864440904,-98371.0,2,05.30.2024 06:42:02
7,France_Desktop_-_Nov_2024,0.6080033898330678,-98371.0,2,05.30.2024 06:42:02
8,France_Desktop_-_Dec_2024,0.8106711864440904,-98371.0,2,05.30.2024 06:42:02
9,France_Mobile_&_Tablet_-_Apr_2024,1.0234298211718185,-98371.0,2,05.30.2024 06:42:02
10,France_Mobile_&_Tablet_-_May_2024,1.0234298211718185,-98371.0,2,05.30.2024 06:42:02
11,France_Mobile_&_Tablet_-_Jun_2024,0.8106711864440904,-98371.0,2,05.30.2024 06:42:02
12,France_Mobile_&_Tablet_-_Jul_2024,0.8106711864440904,-98371.0,2,05.30.2024 06:42:02
13,France_Mobile_&_Tablet_-_Aug_2024,0.8106711864440904,-98371.0,2,05.30.2024 06:42:02
14,France_Mobile_&_Tablet_-_Sep_2024,0.8106711864440904,-98371.0,2,05.30.2024 06:42:02
15,France_Mobile_&_Tablet_-_Oct_2024,0.8106711864440904,-98371.0,2,05.30.2024 06:42:02
16,France_Mobile_&_Tablet_-_Nov_2024,0.6080033898330678,-98371.0,2,05.30.2024 06:42:02
17,France_Mobile_&_Tablet_-_Dec_2024,0.8106711864440904,-98371.0,2,05.30.2024 06:42:02
0,France_Desktop_-_Apr_2024,1.0234298211718185,-98371.0,3,05.30.2024 06:42:04
1,France_Desktop_-_May_2024,1.0234298211718185,-98371.0,3,05.30.2024 06:42:04
2,France_Desktop_-_Jun_2024,0.8106711864440904,-98371.0,3,05.30.2024 06:42:04
3,France_Desktop_-_Jul_2024,0.8106711864440904,-98371.0,3,05.30.2024 06:42:04
4,France_Desktop_-_Aug_2024,0.8106711864440904,-98371.0,3,05.30.2024 06:42:04
5,France_Desktop_-_Sep_2024,0.8106711864440904,-98371.0,3,05.30.2024 06:42:04
6,France_Desktop_-_Oct_2024,0.8106711864440904,-98371.0,3,05.30.2024 06:42:04
7,France_Desktop_-_Nov_2024,0.6080033898330678,-98371.0,3,05.30.2024 06:42:04
8,France_Desktop_-_Dec_2024,0.8106711864440904,-98371.0,3,05.30.2024 06:42:04
9,France_Mobile_&_Tablet_-_Apr_2024,1.0234298211718185,-98371.0,3,05.30.2024 06:42:04
10,France_Mobile_&_Tablet_-_May_2024,1.0234298211718185,-98371.0,3,05.30.2024 06:42:04
11,France_Mobile_&_Tablet_-_Jun_2024,0.8106711864440904,-98371.0,3,05.30.2024 06:42:04
12,France_Mobile_&_Tablet_-_Jul_2024,0.8106711864440904,-98371.0,3,05.30.2024 06:42:04
13,France_Mobile_&_Tablet_-_Aug_2024,0.8106711864440904,-98371.0,3,05.30.2024 06:42:04
14,France_Mobile_&_Tablet_-_Sep_2024,0.8106711864440904,-98371.0,3,05.30.2024 06:42:04
15,France_Mobile_&_Tablet_-_Oct_2024,0.8106711864440904,-98371.0,3,05.30.2024 06:42:04
16,France_Mobile_&_Tablet_-_Nov_2024,0.6080033898330678,-98371.0,3,05.30.2024 06:42:04
17,France_Mobile_&_Tablet_-_Dec_2024,0.8106711864440904,-98371.0,3,05.30.2024 06:42:04
0,France_Desktop_-_Apr_2024,1.0234298211718185,-98371.0,4,05.30.2024 06:42:05
1,France_Desktop_-_May_2024,1.0234298211718185,-98371.0,4,05.30.2024 06:42:05
2,France_Desktop_-_Jun_2024,0.8106711864440904,-98371.0,4,05.30.2024 06:42:05
3,France_Desktop_-_Jul_2024,0.8106711864440904,-98371.0,4,05.30.2024 06:42:05
4,France_Desktop_-_Aug_2024,0.8106711864440904,-98371.0,4,05.30.2024 06:42:05
5,France_Desktop_-_Sep_2024,0.8106711864440904,-98371.0,4,05.30.2024 06:42:05
6,France_Desktop_-_Oct_2024,0.8106711864440904,-98371.0,4,05.30.2024 06:42:05
7,France_Desktop_-_Nov_2024,0.6080033898330678,-98371.0,4,05.30.2024 06:42:05
8,France_Desktop_-_Dec_2024,0.8106711864440904,-98371.0,4,05.30.2024 06:42:05
9,France_Mobile_&_Tablet_-_Apr_2024,1.0234298211718185,-98371.0,4,05.30.2024 06:42:05
10,France_Mobile_&_Tablet_-_May_2024,1.0234298211718185,-98371.0,4,05.30.2024 06:42:05
11,France_Mobile_&_Tablet_-_Jun_2024,0.8106711864440904,-98371.0,4,05.30.2024 06:42:05
12,France_Mobile_&_Tablet_-_Jul_2024,0.8106711864440904,-98371.0,4,05.30.2024 06:42:05
13,France_Mobile_&_Tablet_-_Aug_2024,0.8106711864440904,-98371.0,4,05.30.2024 06:42:05
14,France_Mobile_&_Tablet_-_Sep_2024,0.8106711864440904,-98371.0,4,05.30.2024 06:42:05
15,France_Mobile_&_Tablet_-_Oct_2024,0.8106711864440904,-98371.0,4,05.30.2024 06:42:05
16,France_Mobile_&_Tablet_-_Nov_2024,0.6080033898330678,-98371.0,4,05.30.2024 06:42:05
17,France_Mobile_&_Tablet_-_Dec_2024,0.8106711864440904,-98371.0,4,05.30.2024 06:42:05
0,France_Desktop_-_Apr_2024,1.0234298211718185,-98371.0,5,05.30.2024 06:42:06
1,France_Desktop_-_May_2024,1.0234298211718185,-98371.0,5,05.30.2024 06:42:06
2,France_Desktop_-_Jun_2024,0.8106711864440904,-98371.0,5,05.30.2024 06:42:06
