,iteration,Conversion Quantity
0,1,98371.0
1,2,98439.0
2,3,98439.0
3,4,98445.0
4,5,98445.0
5,6,98445.0
6,7,98449.0
7,8,98449.0
8,9,98459.0
9,10,98479.0
10,11,98479.0
11,12,98479.0
12,13,98479.0
13,14,98479.0
14,15,98479.0
15,16,98479.0
16,17,98479.0
17,18,98479.0
18,19,98479.0
19,20,98479.0
20,21,98479.0
21,22,98479.0
22,23,98479.0
23,24,98479.0
24,25,98479.0
25,26,98479.0
26,27,98479.0
27,28,98479.0
28,29,98492.0
29,30,98492.0
30,31,98492.0
31,32,98492.0
32,33,98492.0
33,34,98492.0
34,35,98492.0
35,36,98496.0
36,37,98496.0
37,38,98496.0
38,39,98496.0
39,40,98496.0
40,41,98496.0
41,42,98496.0
42,43,98496.0
43,44,98496.0
44,45,98496.0
45,46,98496.0
46,47,98496.0
47,48,98501.0
48,49,98501.0
49,50,98501.0
50,51,98501.0
51,52,98501.0
52,53,98501.0
53,54,98501.0
54,55,98501.0
55,56,98501.0
56,57,98501.0
57,58,98501.0
58,59,98501.0
59,60,98501.0
60,61,98501.0
61,62,98501.0
62,63,98501.0
63,64,98501.0
64,65,98501.0
65,66,98501.0
66,67,98501.0
67,68,98501.0
68,69,98501.0
69,70,98501.0
70,71,98501.0
71,72,98501.0
72,73,98501.0
73,74,98501.0
74,75,98501.0
75,76,98501.0
76,77,98501.0
77,78,98501.0
78,79,98501.0
79,80,98501.0
80,81,98501.0
81,82,98501.0
82,83,98501.0
83,84,98501.0
84,85,98501.0
85,86,98501.0
86,87,98501.0
87,88,98501.0
88,89,98501.0
89,90,98501.0
90,91,98501.0
91,92,98501.0
92,93,98501.0
93,94,98501.0
94,95,98501.0
95,96,98501.0
96,97,98512.0
97,98,98512.0
98,99,98512.0
99,100,98512.0
100,101,98512.0
101,102,98512.0
102,103,98512.0
103,104,98512.0
104,105,98512.0
105,106,98512.0
106,107,98512.0
107,108,98512.0
108,109,98512.0
109,110,98512.0
110,111,98512.0
111,112,98512.0
112,113,98512.0
113,114,98512.0
114,115,98512.0
115,116,98512.0
116,117,98512.0
117,118,98512.0
118,119,98512.0
119,120,98512.0
120,121,98512.0
121,122,98512.0
122,123,98512.0
123,124,98512.0
124,125,98512.0
125,126,98512.0
126,127,98512.0
127,128,98512.0
128,129,98512.0
129,130,98512.0
130,131,98512.0
131,132,98512.0
132,133,98512.0
133,134,98512.0
134,135,98512.0
135,136,98512.0
136,137,98512.0
137,138,98512.0
138,139,98512.0
139,140,98512.0
140,141,98512.0
141,142,98512.0
142,143,98512.0
143,144,98512.0
144,145,98512.0
145,146,98512.0
146,147,98512.0
147,148,98512.0
148,149,98512.0
149,150,98512.0
