,variable_splits,pos
0,France_Desktop_-_Apr_2024,0.97786547
1,France_Desktop_-_May_2024,1.088195236
2,France_Desktop_-_Jun_2024,1.164985478
3,France_Desktop_-_Jul_2024,1.125544176
4,France_Desktop_-_Aug_2024,1.094772258
5,France_Desktop_-_Sep_2024,1.069815929
6,France_Desktop_-_Oct_2024,1.126863528
7,France_Desktop_-_Nov_2024,0.987344594
8,France_Desktop_-_Dec_2024,0.898497875
9,France_Mobile_&_Tablet_-_Apr_2024,1.060830404
10,France_Mobile_&_Tablet_-_May_2024,0.866937116
11,France_Mobile_&_Tablet_-_Jun_2024,0.905973462
12,France_Mobile_&_Tablet_-_Jul_2024,0.920816758
13,France_Mobile_&_Tablet_-_Aug_2024,0.934458574
14,France_Mobile_&_Tablet_-_Sep_2024,0.972619984
15,France_Mobile_&_Tablet_-_Oct_2024,0.95472659
16,France_Mobile_&_Tablet_-_Nov_2024,0.906966724
17,France_Mobile_&_Tablet_-_Dec_2024,0.816438423
