,market,account_type,funnel,ds,region,X,y,key_0,weekday_or_weekend,Month of Ds,floor,AOV,ROAS,cap
0,France,Desktop,-,2022-01-01,Europe,265.59,24.0,,1,January,0,35.88,2.17,16.062717391304346
1,France,Desktop,-,2022-01-02,Europe,632.8499999999999,51.0,,1,January,0,35.88,2.17,38.27437290969899
2,France,Desktop,-,2022-01-03,Europe,4318.11,774.0,,0,January,0,35.88,2.17,261.15659698996654
3,France,Desktop,-,2022-01-04,Europe,3116.829999999999,721.0,,0,January,0,35.88,2.17,188.5039325529542
4,France,Desktop,-,2022-01-05,Europe,3118.6600000000003,718.0,,0,January,0,35.88,2.17,188.61460981047938
5,France,Desktop,-,2022-01-06,Europe,3029.419999999999,752.0,,0,January,0,35.88,2.17,183.2174303232998
6,France,Desktop,-,2022-01-07,Europe,2383.44,628.0,,0,January,0,35.88,2.17,144.14896321070233
7,France,Desktop,-,2022-01-08,Europe,1276.87,106.0,,1,January,0,35.88,2.17,77.22430044593087
8,France,Desktop,-,2022-01-09,Europe,962.29,76.0,,1,January,0,35.88,2.17,58.198698439241916
9,France,Desktop,-,2022-01-10,Europe,4356.0599999999995,877.0,,0,January,0,35.88,2.17,263.4517892976588
10,France,Desktop,-,2022-01-11,Europe,3962.13,964.0,,0,January,0,35.88,2.17,239.6271488294314
11,France,Desktop,-,2022-01-12,Europe,3870.18,840.0,,0,January,0,35.88,2.17,234.0660702341137
12,France,Desktop,-,2022-01-13,Europe,3860.07,821.0,,0,January,0,35.88,2.17,233.45462374581936
13,France,Desktop,-,2022-01-14,Europe,3652.249999999999,720.0,,0,January,0,35.88,2.17,220.8857998885172
14,France,Desktop,-,2022-01-15,Europe,1023.9000000000001,60.0,,1,January,0,35.88,2.17,61.92483277591974
15,France,Desktop,-,2022-01-16,Europe,998.0899999999999,74.0,,1,January,0,35.88,2.17,60.36386008918616
16,France,Desktop,-,2022-01-17,Europe,5305.820000000001,918.0,,0,January,0,35.88,2.17,320.8926811594203
17,France,Desktop,-,2022-01-18,Europe,5259.42,847.0,,0,January,0,35.88,2.17,318.0864381270903
18,France,Desktop,-,2022-01-19,Europe,4697.92,808.0,,0,January,0,35.88,2.17,284.1272686733556
19,France,Desktop,-,2022-01-20,Europe,4431.209999999998,881.0,,0,January,0,35.88,2.17,267.9968143812708
20,France,Desktop,-,2022-01-21,Europe,3686.1000000000004,735.0,,0,January,0,35.88,2.17,222.93302675585284
21,France,Desktop,-,2022-01-22,Europe,1204.9000000000003,66.0,,1,January,0,35.88,2.17,72.87159977703458
22,France,Desktop,-,2022-01-23,Europe,871.1300000000001,75.0,,1,January,0,35.88,2.17,52.685398550724635
23,France,Desktop,-,2022-01-24,Europe,4481.279999999999,889.0,,0,January,0,35.88,2.17,271.02501672240794
24,France,Desktop,-,2022-01-25,Europe,4002.66,1054.0,,0,January,0,35.88,2.17,242.07837792642138
25,France,Desktop,-,2022-01-26,Europe,3874.0299999999997,924.0,,0,January,0,35.88,2.17,234.29891583054624
26,France,Desktop,-,2022-01-27,Europe,3587.1499999999996,933.0,,0,January,0,35.88,2.17,216.9485925306577
27,France,Desktop,-,2022-01-28,Europe,3186.72,896.0,,0,January,0,35.88,2.17,192.7308361204013
28,France,Desktop,-,2022-01-29,Europe,914.4399999999998,88.0,,1,January,0,35.88,2.17,55.3047603121516
29,France,Desktop,-,2022-01-30,Europe,732.2299999999999,63.0,,1,January,0,35.88,2.17,44.28481326644369
30,France,Desktop,-,2022-01-31,Europe,6249.62,1016.0,,0,January,0,35.88,2.17,377.973115942029
31,France,Desktop,-,2022-02-01,Europe,6587.68,1035.0,,0,February,0,35.88,2.17,398.418773690078
32,France,Desktop,-,2022-02-02,Europe,6842.94,1059.0,,0,February,0,35.88,2.17,413.8567391304347
33,France,Desktop,-,2022-02-03,Europe,5908.21,1015.0,,0,February,0,35.88,2.17,357.3248522853957
34,France,Desktop,-,2022-02-04,Europe,3027.4600000000005,717.0,,0,February,0,35.88,2.17,183.09889074693425
35,France,Desktop,-,2022-02-05,Europe,280.28,64.0,,1,February,0,35.88,2.17,16.95115942028985
36,France,Desktop,-,2022-02-06,Europe,320.41,56.0,,1,February,0,35.88,2.17,19.378196767001114
37,France,Desktop,-,2022-02-07,Europe,1503.27,509.0,,0,February,0,35.88,2.17,90.91683110367892
38,France,Desktop,-,2022-02-08,Europe,1331.03,876.0,,0,February,0,35.88,2.17,80.49986343366777
39,France,Desktop,-,2022-02-09,Europe,1492.5299999999997,789.0,,0,February,0,35.88,2.17,90.26728260869562
40,France,Desktop,-,2022-02-10,Europe,1844.5899999999997,862.0,,0,February,0,35.88,2.17,111.55965161649941
41,France,Desktop,-,2022-02-11,Europe,1493.1800000000003,803.0,,0,February,0,35.88,2.17,90.30659420289857
42,France,Desktop,-,2022-02-12,Europe,415.36,104.0,,1,February,0,35.88,2.17,25.120713489409138
43,France,Desktop,-,2022-02-13,Europe,338.45000000000005,72.0,,1,February,0,35.88,2.17,20.46924470457079
44,France,Desktop,-,2022-02-14,Europe,1954.1000000000001,972.0,,0,February,0,35.88,2.17,118.18274804905239
45,France,Desktop,-,2022-02-15,Europe,2073.71,864.0,,0,February,0,35.88,2.17,125.4166861761427
46,France,Desktop,-,2022-02-16,Europe,1949.2200000000003,825.0,,0,February,0,35.88,2.17,117.88760869565218
47,France,Desktop,-,2022-02-17,Europe,1859.24,999.0,,0,February,0,35.88,2.17,112.44567447045706
48,France,Desktop,-,2022-02-18,Europe,1558.3900000000003,632.0,,0,February,0,35.88,2.17,94.25045429208474
49,France,Desktop,-,2022-02-19,Europe,449.73,56.0,,1,February,0,35.88,2.17,27.19938963210702
50,France,Desktop,-,2022-02-20,Europe,379.75000000000006,82.0,,1,February,0,35.88,2.17,22.96704292084727
51,France,Desktop,-,2022-02-21,Europe,1914.7299999999996,811.0,,0,February,0,35.88,2.17,115.80167502787064
52,France,Desktop,-,2022-02-22,Europe,1841.83,813.0,,0,February,0,35.88,2.17,111.39272853957635
53,France,Desktop,-,2022-02-23,Europe,1685.6399999999999,802.0,,0,February,0,35.88,2.17,101.94645484949831
54,France,Desktop,-,2022-02-24,Europe,1607.66,852.0,,0,February,0,35.88,2.17,97.23027313266444
55,France,Desktop,-,2022-02-25,Europe,1529.9499999999998,712.0,,0,February,0,35.88,2.17,92.53042084726866
56,France,Desktop,-,2022-02-26,Europe,370.66,62.0,,1,February,0,35.88,2.17,22.417285395763656
57,France,Desktop,-,2022-02-27,Europe,337.54999999999995,72.0,,1,February,0,35.88,2.17,20.414813266443694
58,France,Desktop,-,2022-02-28,Europe,2124.9399999999996,778.0,,0,February,0,35.88,2.17,128.51504459308802
59,France,Desktop,-,2022-03-01,Europe,1582.4100000000003,815.0,,0,March,0,35.88,2.17,95.70316889632109
60,France,Desktop,-,2022-03-02,Europe,1461.41,840.0,,0,March,0,35.88,2.17,88.38516443701226
61,France,Desktop,-,2022-03-03,Europe,1429.8300000000002,847.0,,0,March,0,35.88,2.17,86.47522575250836
62,France,Desktop,-,2022-03-04,Europe,1154.9499999999998,611.0,,0,March,0,35.88,2.17,69.85065496098103
63,France,Desktop,-,2022-03-05,Europe,346.5,77.0,,1,March,0,35.88,2.17,20.956103678929765
64,France,Desktop,-,2022-03-06,Europe,323.16,57.0,,1,March,0,35.88,2.17,19.544515050167224
65,France,Desktop,-,2022-03-07,Europe,1653.54,812.0,,0,March,0,35.88,2.17,100.00506688963209
