,market,account_type,funnel,ds,region,X,y,key_0
0,France,Desktop,-,2022-01-01,Europe,265.59,24.0,
1,France,Desktop,-,2022-01-02,Europe,632.8499999999999,51.0,
2,France,Desktop,-,2022-01-03,Europe,4318.11,774.0,
3,France,Desktop,-,2022-01-04,Europe,3116.829999999999,721.0,
4,France,Desktop,-,2022-01-05,Europe,3118.6600000000003,718.0,
5,France,Desktop,-,2022-01-06,Europe,3029.419999999999,752.0,
6,France,Desktop,-,2022-01-07,Europe,2383.44,628.0,
7,France,Desktop,-,2022-01-08,Europe,1276.87,106.0,
8,France,Desktop,-,2022-01-09,Europe,962.29,76.0,
9,France,Desktop,-,2022-01-10,Europe,4356.0599999999995,877.0,
10,France,Desktop,-,2022-01-11,Europe,3962.13,964.0,
11,France,Desktop,-,2022-01-12,Europe,3870.18,840.0,
12,France,Desktop,-,2022-01-13,Europe,3860.07,821.0,
13,France,Desktop,-,2022-01-14,Europe,3652.249999999999,720.0,
14,France,Desktop,-,2022-01-15,Europe,1023.9000000000001,60.0,
15,France,Desktop,-,2022-01-16,Europe,998.0899999999999,74.0,
16,France,Desktop,-,2022-01-17,Europe,5305.820000000001,918.0,
17,France,Desktop,-,2022-01-18,Europe,5259.42,847.0,
18,France,Desktop,-,2022-01-19,Europe,4697.92,808.0,
19,France,Desktop,-,2022-01-20,Europe,4431.209999999998,881.0,
20,France,Desktop,-,2022-01-21,Europe,3686.1000000000004,735.0,
21,France,Desktop,-,2022-01-22,Europe,1204.9000000000003,66.0,
22,France,Desktop,-,2022-01-23,Europe,871.1300000000001,75.0,
23,France,Desktop,-,2022-01-24,Europe,4481.279999999999,889.0,
24,France,Desktop,-,2022-01-25,Europe,4002.66,1054.0,
25,France,Desktop,-,2022-01-26,Europe,3874.0299999999997,924.0,
26,France,Desktop,-,2022-01-27,Europe,3587.1499999999996,933.0,
27,France,Desktop,-,2022-01-28,Europe,3186.72,896.0,
28,France,Desktop,-,2022-01-29,Europe,914.4399999999998,88.0,
29,France,Desktop,-,2022-01-30,Europe,732.2299999999999,63.0,
30,France,Desktop,-,2022-01-31,Europe,6249.62,1016.0,
31,France,Desktop,-,2022-02-01,Europe,6587.68,1035.0,
32,France,Desktop,-,2022-02-02,Europe,6842.94,1059.0,
33,France,Desktop,-,2022-02-03,Europe,5908.21,1015.0,
34,France,Desktop,-,2022-02-04,Europe,3027.4600000000005,717.0,
35,France,Desktop,-,2022-02-05,Europe,280.28,64.0,
36,France,Desktop,-,2022-02-06,Europe,320.41,56.0,
37,France,Desktop,-,2022-02-07,Europe,1503.27,509.0,
38,France,Desktop,-,2022-02-08,Europe,1331.03,876.0,
39,France,Desktop,-,2022-02-09,Europe,1492.5299999999997,789.0,
40,France,Desktop,-,2022-02-10,Europe,1844.5899999999997,862.0,
41,France,Desktop,-,2022-02-11,Europe,1493.1800000000003,803.0,
42,France,Desktop,-,2022-02-12,Europe,415.36,104.0,
43,France,Desktop,-,2022-02-13,Europe,338.45000000000005,72.0,
44,France,Desktop,-,2022-02-14,Europe,1954.1000000000001,972.0,
45,France,Desktop,-,2022-02-15,Europe,2073.71,864.0,
46,France,Desktop,-,2022-02-16,Europe,1949.2200000000003,825.0,
47,France,Desktop,-,2022-02-17,Europe,1859.24,999.0,
48,France,Desktop,-,2022-02-18,Europe,1558.3900000000003,632.0,
49,France,Desktop,-,2022-02-19,Europe,449.73,56.0,
