market,account_type,funnel,Month,Year,variable_splits,Constrain_Variable_Name,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE,periods,cutoff_month,MinWeight,MaxWeight
India,Desktop,-,Apr,2024,India_Desktop_-_Apr_2024,cost,183,0.05,1.0,0.1,additive,multiplicative,multiplicative,Default,na,na,na,na,na,na,na,logistic,9.65,9.85,251.0,2024-04-25,0.8,1.2
India,Desktop,-,May,2024,India_Desktop_-_May_2024,cost,183,0.05,1.0,0.1,additive,multiplicative,multiplicative,Default,na,na,na,na,na,na,na,logistic,9.65,9.85,251.0,2024-04-25,0.8,1.2
India,Desktop,-,Jun,2024,India_Desktop_-_Jun_2024,cost,183,0.05,1.0,0.1,additive,multiplicative,multiplicative,Default,na,na,na,na,na,na,na,logistic,9.65,9.85,251.0,2024-04-25,0.8,1.2
India,Desktop,-,Jul,2024,India_Desktop_-_Jul_2024,cost,183,0.05,1.0,0.1,additive,multiplicative,multiplicative,Default,na,na,na,na,na,na,na,logistic,9.65,9.85,251.0,2024-04-25,0.8,1.2
India,Desktop,-,Aug,2024,India_Desktop_-_Aug_2024,cost,183,0.05,1.0,0.1,additive,multiplicative,multiplicative,Default,na,na,na,na,na,na,na,logistic,9.65,9.85,251.0,2024-04-25,0.8,1.2
India,Desktop,-,Sep,2024,India_Desktop_-_Sep_2024,cost,183,0.05,1.0,0.1,additive,multiplicative,multiplicative,Default,na,na,na,na,na,na,na,logistic,9.65,9.85,251.0,2024-04-25,0.8,1.2
India,Desktop,-,Oct,2024,India_Desktop_-_Oct_2024,cost,183,0.05,1.0,0.1,additive,multiplicative,multiplicative,Default,na,na,na,na,na,na,na,logistic,9.65,9.85,251.0,2024-04-25,0.8,1.2
India,Desktop,-,Nov,2024,India_Desktop_-_Nov_2024,cost,183,0.05,1.0,0.1,additive,multiplicative,multiplicative,Default,na,na,na,na,na,na,na,logistic,9.65,9.85,251.0,2024-04-25,0.9,1.0
India,Desktop,-,Dec,2024,India_Desktop_-_Dec_2024,cost,183,0.05,1.0,0.1,additive,multiplicative,multiplicative,Default,na,na,na,na,na,na,na,logistic,9.65,9.85,251.0,2024-04-25,0.8,1.2
India,Mobile & Tablet,-,Apr,2024,India_Mobile_&_Tablet_-_Apr_2024,cost,183,0.05,1.0,0.1,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,logistic,11.95,0.54,251.0,2024-04-25,0.8,1.2
India,Mobile & Tablet,-,May,2024,India_Mobile_&_Tablet_-_May_2024,cost,183,0.05,1.0,0.1,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,logistic,11.95,0.54,251.0,2024-04-25,0.8,1.2
India,Mobile & Tablet,-,Jun,2024,India_Mobile_&_Tablet_-_Jun_2024,cost,183,0.05,1.0,0.1,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,logistic,11.95,0.54,251.0,2024-04-25,0.8,1.2
India,Mobile & Tablet,-,Jul,2024,India_Mobile_&_Tablet_-_Jul_2024,cost,183,0.05,1.0,0.1,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,logistic,11.95,0.54,251.0,2024-04-25,0.8,1.2
India,Mobile & Tablet,-,Aug,2024,India_Mobile_&_Tablet_-_Aug_2024,cost,183,0.05,1.0,0.1,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,logistic,11.95,0.54,251.0,2024-04-25,0.8,1.2
India,Mobile & Tablet,-,Sep,2024,India_Mobile_&_Tablet_-_Sep_2024,cost,183,0.05,1.0,0.1,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,logistic,11.95,0.54,251.0,2024-04-25,0.8,1.2
India,Mobile & Tablet,-,Oct,2024,India_Mobile_&_Tablet_-_Oct_2024,cost,183,0.05,1.0,0.1,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,logistic,11.95,0.54,251.0,2024-04-25,0.8,1.2
India,Mobile & Tablet,-,Nov,2024,India_Mobile_&_Tablet_-_Nov_2024,cost,183,0.05,1.0,0.1,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,logistic,11.95,0.54,251.0,2024-04-25,0.9,1.0
India,Mobile & Tablet,-,Dec,2024,India_Mobile_&_Tablet_-_Dec_2024,cost,183,0.05,1.0,0.1,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,logistic,11.95,0.54,251.0,2024-04-25,0.8,1.2
