,iteration,Conversion Quantity
0,1,27864.0
1,2,28045.0
2,3,28124.0
3,4,28186.0
4,5,28323.0
5,6,28323.0
6,7,28323.0
7,8,28323.0
8,9,28323.0
9,10,28323.0
10,11,28323.0
11,12,28323.0
12,13,28323.0
13,14,28323.0
14,15,28323.0
15,16,28323.0
16,17,28323.0
17,18,28323.0
18,19,28323.0
19,20,28323.0
20,21,28323.0
21,22,28323.0
22,23,28323.0
23,24,28323.0
24,25,28323.0
25,26,28323.0
26,27,28323.0
27,28,28323.0
28,29,28323.0
29,30,28323.0
30,31,28323.0
31,32,28323.0
32,33,28323.0
33,34,28323.0
34,35,28342.0
35,36,28342.0
36,37,28342.0
37,38,28342.0
38,39,28342.0
39,40,28342.0
40,41,28342.0
41,42,28342.0
42,43,28342.0
43,44,28342.0
44,45,28342.0
45,46,28342.0
46,47,28342.0
47,48,28342.0
48,49,28342.0
49,50,28342.0
50,51,28342.0
51,52,28342.0
52,53,28342.0
53,54,28364.0
54,55,28364.0
55,56,28374.0
56,57,28374.0
57,58,28374.0
58,59,28374.0
59,60,28379.0
60,61,28379.0
61,62,28379.0
62,63,28421.0
63,64,28421.0
64,65,28421.0
65,66,28421.0
66,67,28421.0
67,68,28421.0
68,69,28421.0
69,70,28421.0
70,71,28421.0
71,72,28421.0
72,73,28449.0
73,74,28449.0
74,75,28449.0
75,76,28449.0
76,77,28449.0
77,78,28449.0
78,79,28449.0
79,80,28449.0
80,81,28449.0
81,82,28449.0
82,83,28449.0
83,84,28449.0
84,85,28449.0
85,86,28449.0
86,87,28449.0
87,88,28449.0
88,89,28449.0
89,90,28449.0
90,91,28449.0
91,92,28449.0
92,93,28449.0
93,94,28449.0
94,95,28449.0
95,96,28451.0
96,97,28451.0
97,98,28451.0
98,99,28451.0
99,100,28451.0
100,101,28451.0
101,102,28451.0
102,103,28451.0
103,104,28451.0
104,105,28451.0
105,106,28459.0
106,107,28459.0
107,108,28459.0
108,109,28459.0
109,110,28464.0
110,111,28464.0
111,112,28464.0
112,113,28464.0
113,114,28464.0
114,115,28464.0
115,116,28464.0
116,117,28469.0
117,118,28469.0
118,119,28469.0
119,120,28469.0
120,121,28469.0
121,122,28469.0
122,123,28469.0
123,124,28469.0
124,125,28469.0
125,126,28469.0
126,127,28469.0
127,128,28469.0
128,129,28469.0
129,130,28469.0
130,131,28469.0
131,132,28469.0
132,133,28469.0
133,134,28469.0
134,135,28469.0
135,136,28469.0
136,137,28469.0
137,138,28469.0
138,139,28469.0
139,140,28469.0
140,141,28469.0
141,142,28469.0
142,143,28469.0
143,144,28469.0
144,145,28469.0
145,146,28469.0
146,147,28469.0
147,148,28469.0
148,149,28469.0
149,150,28469.0
