,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
0,India,Desktop,-,183,0.1,10.0,10.0,additive,additive,na,na,na,na,na,na,na,na,na,linear,17.93,16.42
0,India,Desktop,-,183,0.1,10.0,10.0,additive,additive,na,Default,na,na,na,na,na,na,na,linear,19.79,18.5
0,India,Desktop,-,183,0.1,10.0,10.0,additive,additive,na,na,na,na,na,na,na,na,na,logistic,16.77,18.529999999999998
0,India,Desktop,-,183,0.1,10.0,10.0,additive,additive,na,Default,na,na,na,na,na,na,na,logistic,16.09,17.740000000000002
0,India,Desktop,-,183,0.1,10.0,10.0,additive,additive,na,Custom,na,na,na,na,na,na,na,linear,20.46,18.25
0,India,Desktop,-,183,0.1,10.0,10.0,additive,additive,additive,na,na,na,na,na,na,na,na,linear,18.42,17.130000000000003
0,India,Desktop,-,183,0.1,10.0,10.0,additive,additive,na,Custom,na,na,na,na,na,na,na,logistic,15.87,15.129999999999999
0,India,Desktop,-,183,0.1,10.0,10.0,additive,additive,additive,na,na,na,na,na,na,na,na,logistic,30.39,23.98
0,India,Desktop,-,183,0.1,10.0,10.0,additive,additive,additive,Default,na,na,na,na,na,na,na,linear,20.67,19.900000000000002
0,India,Desktop,-,183,0.1,10.0,10.0,additive,additive,additive,Default,na,na,na,na,na,na,na,logistic,30.15,24.33
0,India,Desktop,-,183,0.1,10.0,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,linear,19.65,18.310000000000002
0,India,Desktop,-,183,0.1,10.0,10.0,additive,additive,additive,Custom,na,na,na,na,na,na,na,linear,20.22,17.91
0,India,Desktop,-,183,0.1,10.0,10.0,additive,additive,multiplicative,Default,na,na,na,na,na,na,na,linear,22.08,21.19
0,India,Desktop,-,183,0.1,10.0,10.0,additive,additive,additive,Custom,na,na,na,na,na,na,na,logistic,28.74,23.04
0,India,Desktop,-,183,0.1,10.0,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,logistic,12.68,2.8400000000000003
0,India,Desktop,-,183,0.1,10.0,10.0,additive,additive,multiplicative,Default,na,na,na,na,na,na,na,logistic,11.83,2.67
0,India,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,linear,18.79,17.65
0,India,Desktop,-,183,0.1,10.0,10.0,additive,additive,multiplicative,Custom,na,na,na,na,na,na,na,linear,22.21,20.39
0,India,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,na,Default,na,na,na,na,na,na,na,linear,20.21,19.2
0,India,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,logistic,22.09,22.97
0,India,Desktop,-,183,0.1,10.0,10.0,additive,additive,multiplicative,Custom,na,na,na,na,na,na,na,logistic,12.2,2.62
0,India,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,na,Default,na,na,na,na,na,na,na,logistic,20.96,21.66
0,India,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,linear,18.58,17.32
0,India,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,na,Custom,na,na,na,na,na,na,na,linear,20.51,18.4
0,India,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,na,Custom,na,na,na,na,na,na,na,logistic,20.68,19.67
0,India,Desktop,-,183,0.1,10.0,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,logistic,28.9,20.64
