market,account_type,funnel,Month,Actual,Forecast,Percentage Error,MAPE,Forecast Period MAE,Predict Status
Italy,Desktop,-,2023-10-01,13079.0,12564.92,3.93,16.69,15.509999999999998,UnderPredicted
Italy,Desktop,-,2023-11-01,11865.0,11454.52,3.46,16.69,15.509999999999998,UnderPredicted
Italy,Desktop,-,2023-12-01,14258.0,10768.869999999999,24.47,16.69,15.509999999999998,UnderPredicted
Italy,Desktop,-,2024-01-01,9408.0,10104.85,-7.41,16.69,15.509999999999998,UnderPredicted
Italy,Desktop,-,2024-02-01,10459.0,7831.82,25.119999999999997,16.69,15.509999999999998,UnderPredicted
Italy,Desktop,-,2024-03-01,10189.0,8072.72,20.77,16.69,15.509999999999998,UnderPredicted
Italy,Desktop,-,2024-04-01,14172.0,9688.15,31.64,16.69,15.509999999999998,UnderPredicted
Italy,Mobile & Tablet,-,2023-10-01,782.0,245.71,68.58,68.12,68.17,UnderPredicted
Italy,Mobile & Tablet,-,2023-11-01,729.0,288.17,60.47,68.12,68.17,UnderPredicted
Italy,Mobile & Tablet,-,2023-12-01,955.0,404.78,57.60999999999999,68.12,68.17,UnderPredicted
Italy,Mobile & Tablet,-,2024-01-01,698.0,180.34,74.16,68.12,68.17,UnderPredicted
Italy,Mobile & Tablet,-,2024-02-01,528.0,227.28,56.95,68.12,68.17,UnderPredicted
Italy,Mobile & Tablet,-,2024-03-01,491.0,133.3,72.85000000000001,68.12,68.17,UnderPredicted
Italy,Mobile & Tablet,-,2024-04-01,822.0,113.28999999999999,86.22,68.12,68.17,UnderPredicted
