,market,account_type,funnel,ds,region,X,y,key_0,weekday_or_weekend,Month of Ds,floor,AOV,ROAS,cap
0,Italy,Desktop,-,2022-01-01,Europe,2642.6400000000003,13.0,,1,January,0,38.5,1.9,130.41600000000003
1,Italy,Desktop,-,2022-01-02,Europe,5129.34,75.0,,1,January,0,38.5,1.9,253.13625974025973
2,Italy,Desktop,-,2022-01-03,Europe,25055.279999999995,510.0,,0,January,0,38.5,1.9,1236.4943376623376
3,Italy,Desktop,-,2022-01-04,Europe,27982.73000000001,502.0,,0,January,0,38.5,1.9,1380.9658961038965
4,Italy,Desktop,-,2022-01-05,Europe,27271.870000000003,420.0,,0,January,0,38.5,1.9,1345.8844935064935
5,Italy,Desktop,-,2022-01-06,Europe,21609.28,86.0,,0,January,0,38.5,1.9,1066.432
6,Italy,Desktop,-,2022-01-07,Europe,20291.43,288.0,,0,January,0,38.5,1.9,1001.3952467532466
7,Italy,Desktop,-,2022-01-08,Europe,7385.500000000001,62.0,,1,January,0,38.5,1.9,364.4792207792208
8,Italy,Desktop,-,2022-01-09,Europe,6741.259999999999,96.0,,1,January,0,38.5,1.9,332.6855584415584
9,Italy,Desktop,-,2022-01-10,Europe,32510.14,808.0,,0,January,0,38.5,1.9,1604.3965194805194
10,Italy,Desktop,-,2022-01-11,Europe,29449.979999999996,773.0,,0,January,0,38.5,1.9,1453.3756363636362
11,Italy,Desktop,-,2022-01-12,Europe,27418.85,703.0,,0,January,0,38.5,1.9,1353.1380519480517
12,Italy,Desktop,-,2022-01-13,Europe,26546.499999999996,625.0,,0,January,0,38.5,1.9,1310.0870129870127
13,Italy,Desktop,-,2022-01-14,Europe,22008.6,565.0,,0,January,0,38.5,1.9,1086.138701298701
14,Italy,Desktop,-,2022-01-15,Europe,5870.87,53.0,,1,January,0,38.5,1.9,289.7312467532467
15,Italy,Desktop,-,2022-01-16,Europe,6271.780000000001,75.0,,1,January,0,38.5,1.9,309.5164155844156
16,Italy,Desktop,-,2022-01-17,Europe,30562.120000000003,753.0,,0,January,0,38.5,1.9,1508.2604675324676
17,Italy,Desktop,-,2022-01-18,Europe,29976.660000000003,707.0,,0,January,0,38.5,1.9,1479.3676363636364
18,Italy,Desktop,-,2022-01-19,Europe,27441.670000000006,659.0,,0,January,0,38.5,1.9,1354.264233766234
19,Italy,Desktop,-,2022-01-20,Europe,26981.35,581.0,,0,January,0,38.5,1.9,1331.5471428571427
20,Italy,Desktop,-,2022-01-21,Europe,22172.89,612.0,,0,January,0,38.5,1.9,1094.2465194805193
21,Italy,Desktop,-,2022-01-22,Europe,6210.080000000001,65.0,,1,January,0,38.5,1.9,306.47148051948056
22,Italy,Desktop,-,2022-01-23,Europe,5491.36,113.0,,1,January,0,38.5,1.9,271.0021818181818
23,Italy,Desktop,-,2022-01-24,Europe,25460.300000000003,817.0,,0,January,0,38.5,1.9,1256.4823376623376
24,Italy,Desktop,-,2022-01-25,Europe,23644.93,736.0,,0,January,0,38.5,1.9,1166.8926493506492
25,Italy,Desktop,-,2022-01-26,Europe,17196.32,647.0,,0,January,0,38.5,1.9,848.6495584415584
26,Italy,Desktop,-,2022-01-27,Europe,17059.840000000004,595.0,,0,January,0,38.5,1.9,841.914181818182
27,Italy,Desktop,-,2022-01-28,Europe,15284.360000000004,570.0,,0,January,0,38.5,1.9,754.2930909090911
28,Italy,Desktop,-,2022-01-29,Europe,4326.67,48.0,,1,January,0,38.5,1.9,213.52397402597398
29,Italy,Desktop,-,2022-01-30,Europe,4008.12,120.0,,1,January,0,38.5,1.9,197.80332467532466
30,Italy,Desktop,-,2022-01-31,Europe,27004.589999999997,927.0,,0,January,0,38.5,1.9,1332.6940519480518
31,Italy,Desktop,-,2022-02-01,Europe,29717.97000000001,781.0,,0,February,0,38.5,1.9,1466.6011168831171
32,Italy,Desktop,-,2022-02-02,Europe,28253.450000000004,693.0,,0,February,0,38.5,1.9,1394.326103896104
33,Italy,Desktop,-,2022-02-03,Europe,24187.72,643.0,,0,February,0,38.5,1.9,1193.6796883116883
34,Italy,Desktop,-,2022-02-04,Europe,15899.820000000002,571.0,,0,February,0,38.5,1.9,784.6664415584416
35,Italy,Desktop,-,2022-02-05,Europe,1861.98,41.0,,1,February,0,38.5,1.9,91.88992207792207
36,Italy,Desktop,-,2022-02-06,Europe,1734.9599999999996,93.0,,1,February,0,38.5,1.9,85.62140259740258
37,Italy,Desktop,-,2022-02-07,Europe,9049.66,670.0,,0,February,0,38.5,1.9,446.6065974025974
38,Italy,Desktop,-,2022-02-08,Europe,8255.77,670.0,,0,February,0,38.5,1.9,407.4276103896104
39,Italy,Desktop,-,2022-02-09,Europe,9079.06,669.0,,0,February,0,38.5,1.9,448.0575064935065
40,Italy,Desktop,-,2022-02-10,Europe,10615.779999999999,597.0,,0,February,0,38.5,1.9,523.8956363636363
41,Italy,Desktop,-,2022-02-11,Europe,10203.73,531.0,,0,February,0,38.5,1.9,503.5607012987013
42,Italy,Desktop,-,2022-02-12,Europe,2598.4399999999996,40.0,,1,February,0,38.5,1.9,128.23470129870128
43,Italy,Desktop,-,2022-02-13,Europe,2593.9300000000007,46.0,,1,February,0,38.5,1.9,128.0121298701299
44,Italy,Desktop,-,2022-02-14,Europe,13309.96,694.0,,0,February,0,38.5,1.9,656.8551688311687
45,Italy,Desktop,-,2022-02-15,Europe,12809.68,548.0,,0,February,0,38.5,1.9,632.166025974026
46,Italy,Desktop,-,2022-02-16,Europe,12238.440000000002,610.0,,0,February,0,38.5,1.9,603.9749610389612
47,Italy,Desktop,-,2022-02-17,Europe,11260.489999999998,522.0,,0,February,0,38.5,1.9,555.7124935064934
48,Italy,Desktop,-,2022-02-18,Europe,9726.190000000002,564.0,,0,February,0,38.5,1.9,479.99379220779224
49,Italy,Desktop,-,2022-02-19,Europe,2791.4600000000005,61.0,,1,February,0,38.5,1.9,137.76036363636365
50,Italy,Desktop,-,2022-02-20,Europe,2795.68,38.0,,1,February,0,38.5,1.9,137.96862337662336
51,Italy,Desktop,-,2022-02-21,Europe,13081.429999999998,784.0,,0,February,0,38.5,1.9,645.5770649350649
52,Italy,Desktop,-,2022-02-22,Europe,12483.87,578.0,,0,February,0,38.5,1.9,616.0870909090909
53,Italy,Desktop,-,2022-02-23,Europe,12721.299999999996,509.0,,0,February,0,38.5,1.9,627.8044155844153
54,Italy,Desktop,-,2022-02-24,Europe,11933.75,507.0,,0,February,0,38.5,1.9,588.9383116883117
55,Italy,Desktop,-,2022-02-25,Europe,9305.96,487.0,,0,February,0,38.5,1.9,459.25516883116876
56,Italy,Desktop,-,2022-02-26,Europe,2745.7600000000007,44.0,,1,February,0,38.5,1.9,135.505038961039
57,Italy,Desktop,-,2022-02-27,Europe,2446.18,23.0,,1,February,0,38.5,1.9,120.7205714285714
58,Italy,Desktop,-,2022-02-28,Europe,13254.529999999999,595.0,,0,February,0,38.5,1.9,654.1196623376622
59,Italy,Desktop,-,2022-03-01,Europe,12182.089999999998,490.0,,0,March,0,38.5,1.9,601.1940519480518
60,Italy,Desktop,-,2022-03-02,Europe,12340.740000000002,573.0,,0,March,0,38.5,1.9,609.0235324675325
61,Italy,Desktop,-,2022-03-03,Europe,13850.93,499.0,,0,March,0,38.5,1.9,683.5523896103896
62,Italy,Desktop,-,2022-03-04,Europe,13456.44,440.0,,0,March,0,38.5,1.9,664.084051948052
63,Italy,Desktop,-,2022-03-05,Europe,2780.82,40.0,,1,March,0,38.5,1.9,137.23527272727273
64,Italy,Desktop,-,2022-03-06,Europe,2612.8800000000006,31.0,,1,March,0,38.5,1.9,128.9473246753247
