,Region,Market,device_segment,Ds,OptimalConversionQuantity,OptimalSpendValue,Month,Year,BaseConversionQuantity,BaseSpend,SavedDate
37,Italy,Italy,Desktop,2024-06-01,144.0,753.84,Jun,2024,131.0,693.77,2024-06-05
38,Italy,Italy,Desktop,2024-06-02,19.0,626.2,Jun,2024,8.0,576.3,2024-06-05
39,Italy,Italy,Desktop,2024-06-03,807.0,3818.14,Jun,2024,741.0,3513.89,2024-06-05
40,Italy,Italy,Desktop,2024-06-04,584.0,2792.45,Jun,2024,536.0,2569.94,2024-06-05
41,Italy,Italy,Desktop,2024-06-05,337.0,1657.66,Jun,2024,309.0,1525.57,2024-06-05
42,Italy,Italy,Desktop,2024-06-06,295.0,1466.49,Jun,2024,270.0,1349.63,2024-06-05
43,Italy,Italy,Desktop,2024-06-07,242.0,1221.58,Jun,2024,221.0,1124.24,2024-06-05
44,Italy,Italy,Desktop,2024-06-08,35.0,270.47,Jun,2024,30.0,248.92,2024-06-05
45,Italy,Italy,Desktop,2024-06-09,29.0,247.6,Jun,2024,25.0,227.87,2024-06-05
46,Italy,Italy,Desktop,2024-06-10,294.0,1469.93,Jun,2024,269.0,1352.8,2024-06-05
47,Italy,Italy,Desktop,2024-06-11,258.0,1308.24,Jun,2024,236.0,1203.99,2024-06-05
48,Italy,Italy,Desktop,2024-06-12,287.0,1444.11,Jun,2024,262.0,1329.03,2024-06-05
49,Italy,Italy,Desktop,2024-06-13,213.0,1107.19,Jun,2024,194.0,1018.97,2024-06-05
50,Italy,Italy,Desktop,2024-06-14,208.0,1083.16,Jun,2024,189.0,996.85,2024-06-05
51,Italy,Italy,Desktop,2024-06-15,58.0,396.79,Jun,2024,51.0,365.17,2024-06-05
52,Italy,Italy,Desktop,2024-06-16,72.0,464.14,Jun,2024,64.0,427.15,2024-06-05
53,Italy,Italy,Desktop,2024-06-17,681.0,3274.77,Jun,2024,625.0,3013.81,2024-06-05
54,Italy,Italy,Desktop,2024-06-18,659.0,3175.31,Jun,2024,604.0,2922.29,2024-06-05
