,iteration,Conversion Quantity
0,1,56839.0
1,2,57531.0
2,3,57609.0
3,4,57609.0
4,5,57609.0
5,6,57609.0
6,7,57609.0
7,8,57918.0
8,9,57918.0
9,10,57918.0
10,11,57918.0
11,12,57918.0
12,13,57918.0
13,14,57918.0
14,15,57918.0
15,16,57918.0
16,17,57918.0
17,18,57918.0
18,19,57918.0
19,20,58034.0
20,21,58034.0
21,22,58034.0
22,23,58034.0
23,24,58034.0
24,25,58241.0
25,26,58241.0
26,27,58241.0
27,28,58241.0
28,29,58241.0
29,30,58241.0
30,31,58241.0
31,32,58241.0
32,33,58241.0
33,34,58241.0
34,35,58241.0
35,36,58241.0
36,37,58241.0
37,38,58241.0
38,39,58241.0
39,40,58241.0
40,41,58241.0
41,42,58241.0
42,43,58241.0
43,44,58241.0
44,45,58241.0
45,46,58241.0
46,47,58241.0
47,48,58241.0
48,49,58241.0
49,50,58241.0
50,51,58241.0
51,52,58241.0
52,53,58241.0
53,54,58241.0
54,55,58241.0
55,56,58241.0
56,57,58241.0
57,58,58241.0
58,59,58241.0
59,60,58241.0
60,61,58241.0
61,62,58241.0
62,63,58241.0
63,64,58241.0
64,65,58241.0
65,66,58241.0
66,67,58241.0
67,68,58241.0
68,69,58241.0
69,70,58241.0
70,71,58241.0
71,72,58241.0
72,73,58241.0
73,74,58241.0
74,75,58241.0
75,76,58241.0
76,77,58241.0
77,78,58241.0
78,79,58241.0
79,80,58241.0
