,market,account_type,funnel,ds,region,X,y,key_0,weekday_or_weekend,Month of Ds,floor,AOV,ROAS,cap
0,Italy,Desktop,-,2022-01-01,Europe,185.80999999999995,13.0,,1,January,0,38.5,1.9,9.169844155844153
1,Italy,Desktop,-,2022-01-02,Europe,442.8,75.0,,1,January,0,38.5,1.9,21.852467532467532
2,Italy,Desktop,-,2022-01-03,Europe,2232.09,510.0,,0,January,0,38.5,1.9,110.15509090909092
3,Italy,Desktop,-,2022-01-04,Europe,2158.74,502.0,,0,January,0,38.5,1.9,106.53522077922078
4,Italy,Desktop,-,2022-01-05,Europe,1829.22,420.0,,0,January,0,38.5,1.9,90.2731948051948
5,Italy,Desktop,-,2022-01-06,Europe,1034.23,86.0,,0,January,0,38.5,1.9,51.03992207792208
6,Italy,Desktop,-,2022-01-07,Europe,1826.34,288.0,,0,January,0,38.5,1.9,90.13106493506493
7,Italy,Desktop,-,2022-01-08,Europe,461.4000000000001,62.0,,1,January,0,38.5,1.9,22.770389610389614
8,Italy,Desktop,-,2022-01-09,Europe,483.01,96.0,,1,January,0,38.5,1.9,23.83685714285714
9,Italy,Desktop,-,2022-01-10,Europe,2570.69,808.0,,0,January,0,38.5,1.9,126.86522077922078
10,Italy,Desktop,-,2022-01-11,Europe,2334.31,773.0,,0,January,0,38.5,1.9,115.19971428571426
11,Italy,Desktop,-,2022-01-12,Europe,2264.27,703.0,,0,January,0,38.5,1.9,111.74319480519479
12,Italy,Desktop,-,2022-01-13,Europe,2104.03,625.0,,0,January,0,38.5,1.9,103.83524675324676
13,Italy,Desktop,-,2022-01-14,Europe,1528.71,565.0,,0,January,0,38.5,1.9,75.44283116883116
14,Italy,Desktop,-,2022-01-15,Europe,331.79,53.0,,1,January,0,38.5,1.9,16.374051948051946
15,Italy,Desktop,-,2022-01-16,Europe,369.32,75.0,,1,January,0,38.5,1.9,18.226181818181818
16,Italy,Desktop,-,2022-01-17,Europe,2212.7400000000002,753.0,,0,January,0,38.5,1.9,109.20015584415584
17,Italy,Desktop,-,2022-01-18,Europe,2094.8099999999995,707.0,,0,January,0,38.5,1.9,103.38023376623373
18,Italy,Desktop,-,2022-01-19,Europe,2038.4,659.0,,0,January,0,38.5,1.9,100.59636363636363
19,Italy,Desktop,-,2022-01-20,Europe,1661.67,581.0,,0,January,0,38.5,1.9,82.0044935064935
20,Italy,Desktop,-,2022-01-21,Europe,1233.73,612.0,,0,January,0,38.5,1.9,60.88537662337662
21,Italy,Desktop,-,2022-01-22,Europe,443.42,65.0,,1,January,0,38.5,1.9,21.883064935064937
22,Italy,Desktop,-,2022-01-23,Europe,397.18000000000006,113.0,,1,January,0,38.5,1.9,19.60109090909091
23,Italy,Desktop,-,2022-01-24,Europe,1455.4,817.0,,0,January,0,38.5,1.9,71.82493506493508
24,Italy,Desktop,-,2022-01-25,Europe,1328.35,736.0,,0,January,0,38.5,1.9,65.55493506493507
25,Italy,Desktop,-,2022-01-26,Europe,1242.35,647.0,,0,January,0,38.5,1.9,61.31077922077921
26,Italy,Desktop,-,2022-01-27,Europe,821.1300000000001,595.0,,0,January,0,38.5,1.9,40.52329870129871
27,Italy,Desktop,-,2022-01-28,Europe,775.5500000000001,570.0,,0,January,0,38.5,1.9,38.27389610389611
