,market,account_type,funnel,ds,region,X,y,key_0
0,Italy,Desktop,-,2022-01-01,Europe,185.80999999999995,13.0,
1,Italy,Desktop,-,2022-01-02,Europe,442.8,75.0,
2,Italy,Desktop,-,2022-01-03,Europe,2232.09,510.0,
3,Italy,Desktop,-,2022-01-04,Europe,2158.74,502.0,
4,Italy,Desktop,-,2022-01-05,Europe,1829.22,420.0,
5,Italy,Desktop,-,2022-01-06,Europe,1034.23,86.0,
6,Italy,Desktop,-,2022-01-07,Europe,1826.34,288.0,
7,Italy,Desktop,-,2022-01-08,Europe,461.4000000000001,62.0,
8,Italy,Desktop,-,2022-01-09,Europe,483.01,96.0,
9,Italy,Desktop,-,2022-01-10,Europe,2570.69,808.0,
10,Italy,Desktop,-,2022-01-11,Europe,2334.31,773.0,
11,Italy,Desktop,-,2022-01-12,Europe,2264.27,703.0,
12,Italy,Desktop,-,2022-01-13,Europe,2104.03,625.0,
13,Italy,Desktop,-,2022-01-14,Europe,1528.71,565.0,
14,Italy,Desktop,-,2022-01-15,Europe,331.79,53.0,
15,Italy,Desktop,-,2022-01-16,Europe,369.32,75.0,
16,Italy,Desktop,-,2022-01-17,Europe,2212.7400000000002,753.0,
17,Italy,Desktop,-,2022-01-18,Europe,2094.8099999999995,707.0,
18,Italy,Desktop,-,2022-01-19,Europe,2038.4,659.0,
19,Italy,Desktop,-,2022-01-20,Europe,1661.67,581.0,
20,Italy,Desktop,-,2022-01-21,Europe,1233.73,612.0,
21,Italy,Desktop,-,2022-01-22,Europe,443.42,65.0,
22,Italy,Desktop,-,2022-01-23,Europe,397.18000000000006,113.0,
23,Italy,Desktop,-,2022-01-24,Europe,1455.4,817.0,
24,Italy,Desktop,-,2022-01-25,Europe,1328.35,736.0,
25,Italy,Desktop,-,2022-01-26,Europe,1242.35,647.0,
26,Italy,Desktop,-,2022-01-27,Europe,821.1300000000001,595.0,
27,Italy,Desktop,-,2022-01-28,Europe,775.5500000000001,570.0,
28,Italy,Desktop,-,2022-01-29,Europe,248.8,48.0,
29,Italy,Desktop,-,2022-01-30,Europe,246.57,120.0,
