,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,additive,na,na,na,na,na,na,na,na,na,logistic,40.64,39.76
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,additive,na,Default,na,na,na,na,na,na,na,logistic,40.69,39.81
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,additive,na,na,na,na,na,na,na,na,na,linear,28.66,26.369999999999997
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,additive,additive,na,na,na,na,na,na,na,na,logistic,40.04,39.160000000000004
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,additive,na,Default,na,na,na,na,na,na,na,linear,27.41,24.610000000000003
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,additive,additive,na,na,na,na,na,na,na,na,linear,28.66,26.369999999999997
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,additive,additive,Default,na,na,na,na,na,na,na,logistic,39.82,38.93
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,logistic,40.69,39.81
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,additive,additive,Default,na,na,na,na,na,na,na,linear,27.42,24.610000000000003
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,linear,28.13,25.85
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,additive,multiplicative,Default,na,na,na,na,na,na,na,logistic,40.74,39.87
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,logistic,58.65,59.089999999999996
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,linear,27.01,24.75
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,additive,multiplicative,Default,na,na,na,na,na,na,na,linear,27.05,24.26
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,multiplicative,na,Default,na,na,na,na,na,na,na,logistic,58.74,59.18
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,multiplicative,na,Default,na,na,na,na,na,na,na,linear,25.92,22.88
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,logistic,28.39,26.029999999999998
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,multiplicative,additive,Default,na,na,na,na,na,na,na,logistic,28.5,26.14
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,linear,23.65,21.32
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,logistic,58.64,59.089999999999996
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,30.2,27.87
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,multiplicative,additive,Default,na,na,na,na,na,na,na,linear,23.74,19.830000000000002
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,multiplicative,multiplicative,Default,na,na,na,na,na,na,na,logistic,58.64,59.08
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,additive,na,na,na,na,na,na,na,na,na,logistic,52.78,51.57000000000001
0,Italy,Desktop,-,183,0.001,10.0,10.0,additive,multiplicative,multiplicative,Default,na,na,na,na,na,na,na,linear,29.19,26.340000000000003
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,additive,na,na,na,na,na,na,na,na,na,linear,26.83,24.6
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,additive,na,Default,na,na,na,na,na,na,na,logistic,52.78,51.57000000000001
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,additive,additive,na,na,na,na,na,na,na,na,linear,31.4,29.04
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,additive,additive,na,na,na,na,na,na,na,na,logistic,51.49,50.22
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,additive,na,Default,na,na,na,na,na,na,na,linear,25.87,22.93
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,additive,additive,Default,na,na,na,na,na,na,na,logistic,51.49,50.22
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,na,logistic,52.78,51.57000000000001
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,additive,additive,Default,na,na,na,na,na,na,na,linear,25.71,22.770000000000003
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,additive,multiplicative,Default,na,na,na,na,na,na,na,logistic,52.79,51.57000000000001
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,na,linear,26.89,24.65
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,logistic,78.82,78.63
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,linear,25.81,23.580000000000002
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,additive,multiplicative,Default,na,na,na,na,na,na,na,linear,25.33,22.32
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,multiplicative,na,Default,na,na,na,na,na,na,na,logistic,78.82,78.63
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,multiplicative,na,Default,na,na,na,na,na,na,na,linear,25.13,21.95
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,multiplicative,additive,na,na,na,na,na,na,na,na,logistic,76.33,76.18
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,multiplicative,additive,na,na,na,na,na,na,na,na,linear,30.15,27.82
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,logistic,78.82,78.63
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,multiplicative,additive,Default,na,na,na,na,na,na,na,logistic,76.33,76.18
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,25.78,23.549999999999997
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,multiplicative,additive,Default,na,na,na,na,na,na,na,linear,25.07,21.97
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,multiplicative,multiplicative,Default,na,na,na,na,na,na,na,logistic,78.82,78.63
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,additive,na,na,na,na,na,na,na,na,na,logistic,40.7,39.82
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,additive,na,na,na,na,na,na,na,na,na,linear,28.67,26.38
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,additive,na,Default,na,na,na,na,na,na,na,logistic,40.78,39.900000000000006
0,Italy,Desktop,-,183,0.001,10.0,10.0,multiplicative,multiplicative,multiplicative,Default,na,na,na,na,na,na,na,linear,24.62,21.38
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,additive,additive,na,na,na,na,na,na,na,na,logistic,39.72,38.84
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,additive,na,Default,na,na,na,na,na,na,na,linear,27.8,25.0
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,additive,additive,na,na,na,na,na,na,na,na,linear,28.67,26.369999999999997
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,additive,additive,Default,na,na,na,na,na,na,na,logistic,39.74,38.85
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,logistic,40.75,39.87
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,additive,additive,Default,na,na,na,na,na,na,na,linear,27.78,24.98
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,linear,30.0,27.67
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,additive,multiplicative,Default,na,na,na,na,na,na,na,logistic,40.75,39.87
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,logistic,58.65,59.099999999999994
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,linear,26.94,24.709999999999997
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,additive,multiplicative,Default,na,na,na,na,na,na,na,linear,27.27,24.47
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,multiplicative,na,Default,na,na,na,na,na,na,na,logistic,58.76,59.199999999999996
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,logistic,29.01,26.700000000000003
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,linear,23.66,21.37
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,multiplicative,additive,Default,na,na,na,na,na,na,na,logistic,28.52,26.150000000000002
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,multiplicative,na,Default,na,na,na,na,na,na,na,linear,25.71,22.900000000000002
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,logistic,58.64,59.089999999999996
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,multiplicative,additive,Default,na,na,na,na,na,na,na,linear,23.7,19.81
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,28.51,26.200000000000003
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,multiplicative,multiplicative,Default,na,na,na,na,na,na,na,logistic,58.64,59.08
0,Italy,Desktop,-,183,0.001,10.0,1.0,multiplicative,additive,na,na,na,na,na,na,na,na,na,logistic,52.94,51.73
0,Italy,Desktop,-,183,0.001,10.0,1.0,multiplicative,additive,na,na,na,na,na,na,na,na,na,linear,26.66,24.44
0,Italy,Desktop,-,183,0.001,10.0,1.0,multiplicative,additive,na,Default,na,na,na,na,na,na,na,logistic,52.94,51.73
0,Italy,Desktop,-,183,0.001,10.0,1.0,additive,multiplicative,multiplicative,Default,na,na,na,na,na,na,na,linear,27.48,24.67
0,Italy,Desktop,-,183,0.001,10.0,1.0,multiplicative,additive,na,Default,na,na,na,na,na,na,na,linear,25.9,23.189999999999998
0,Italy,Desktop,-,183,0.001,10.0,1.0,multiplicative,additive,additive,na,na,na,na,na,na,na,na,logistic,51.51,50.23
0,Italy,Desktop,-,183,0.001,10.0,1.0,multiplicative,additive,additive,na,na,na,na,na,na,na,na,linear,30.65,28.299999999999997
0,Italy,Desktop,-,183,0.001,10.0,1.0,multiplicative,additive,additive,Default,na,na,na,na,na,na,na,logistic,51.51,50.23
0,Italy,Desktop,-,183,0.001,10.0,1.0,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,na,logistic,52.95,51.739999999999995
0,Italy,Desktop,-,183,0.001,10.0,1.0,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,na,linear,26.06,23.84
0,Italy,Desktop,-,183,0.001,10.0,1.0,multiplicative,additive,additive,Default,na,na,na,na,na,na,na,linear,27.84,25.05
0,Italy,Desktop,-,183,0.001,10.0,1.0,multiplicative,additive,multiplicative,Default,na,na,na,na,na,na,na,logistic,52.95,51.739999999999995
0,Italy,Desktop,-,183,0.001,10.0,1.0,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,linear,25.71,23.48
0,Italy,Desktop,-,183,0.001,10.0,1.0,multiplicative,additive,multiplicative,Default,na,na,na,na,na,na,na,linear,25.45,22.62
0,Italy,Desktop,-,183,0.001,10.0,1.0,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,logistic,78.82,78.63
0,Italy,Desktop,-,183,0.001,10.0,1.0,multiplicative,multiplicative,additive,na,na,na,na,na,na,na,na,logistic,76.33,76.18
0,Italy,Desktop,-,183,0.001,10.0,1.0,multiplicative,multiplicative,na,Default,na,na,na,na,na,na,na,logistic,78.82,78.63
0,Italy,Desktop,-,183,0.001,10.0,1.0,multiplicative,multiplicative,na,Default,na,na,na,na,na,na,na,linear,25.25,22.35
0,Italy,Desktop,-,183,0.001,10.0,1.0,multiplicative,multiplicative,additive,na,na,na,na,na,na,na,na,linear,28.19,25.900000000000002
0,Italy,Desktop,-,183,0.001,10.0,1.0,multiplicative,multiplicative,additive,Default,na,na,na,na,na,na,na,logistic,76.33,76.18
0,Italy,Desktop,-,183,0.001,10.0,1.0,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,logistic,78.82,78.63
