market,funnel,Month,Actual,Forecast,Percentage Error,MAPE,Forecast Period MAE,Predict Status
UK,Brand,2023-10-01,22481.0,37073.36,-64.91,109.35,105.36000000000001,OverPredicted
UK,Brand,2023-11-01,18653.0,35532.95,-90.49000000000001,109.35,105.36000000000001,OverPredicted
UK,Brand,2023-12-01,16001.0,84681.91,-429.23,109.35,105.36000000000001,OverPredicted
UK,Brand,2024-01-01,14810.0,24685.83,-66.67999999999999,109.35,105.36000000000001,OverPredicted
UK,Brand,2024-02-01,16194.0,21659.85,-33.75,109.35,105.36000000000001,OverPredicted
UK,Brand,2024-03-01,17068.0,24609.12,-44.18,109.35,105.36000000000001,OverPredicted
UK,Brand,2024-04-01,17615.0,23989.25,-36.19,109.35,105.36000000000001,OverPredicted
UK,Non_Brand,2023-10-01,2615.0,2517.02,3.75,144.15,79.64,OverPredicted
UK,Non_Brand,2023-11-01,2087.0,3190.79,-52.89,144.15,79.64,OverPredicted
UK,Non_Brand,2023-12-01,1321.0,2747.3,-107.97000000000001,144.15,79.64,OverPredicted
UK,Non_Brand,2024-01-01,445.0,1391.4,-212.67000000000002,144.15,79.64,OverPredicted
UK,Non_Brand,2024-02-01,366.0,1721.21,-370.28,144.15,79.64,OverPredicted
UK,Non_Brand,2024-03-01,830.0,1939.4,-133.66,144.15,79.64,OverPredicted
UK,Non_Brand,2024-04-01,541.0,1232.61,-127.84,144.15,79.64,OverPredicted
