,region,market,funnel,account_type,ds,X,Month,Year,UK_Desktop_-_Apr_2024,UK_Desktop_-_Aug_2024,UK_Desktop_-_Dec_2024,UK_Desktop_-_Jul_2024,UK_Desktop_-_Jun_2024,UK_Desktop_-_May_2024,UK_Desktop_-_Nov_2024,UK_Desktop_-_Oct_2024,UK_Desktop_-_Sep_2024,UK_Mobile_&_Tablet_-_Apr_2024,UK_Mobile_&_Tablet_-_Aug_2024,UK_Mobile_&_Tablet_-_Dec_2024,UK_Mobile_&_Tablet_-_Jul_2024,UK_Mobile_&_Tablet_-_Jun_2024,UK_Mobile_&_Tablet_-_May_2024,UK_Mobile_&_Tablet_-_Nov_2024,UK_Mobile_&_Tablet_-_Oct_2024,UK_Mobile_&_Tablet_-_Sep_2024,Weekend,AOV,ROAS
0,EMEA,UK,-,Desktop,2024-04-25,4131.43,Apr,2024,4131.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.28,1.98
1,EMEA,UK,-,Desktop,2024-04-26,10975.789999999999,Apr,2024,10975.789999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.28,1.98
2,EMEA,UK,-,Desktop,2024-04-27,969.9700000000001,Apr,2024,969.9700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.28,1.98
3,EMEA,UK,-,Desktop,2024-04-28,834.15,Apr,2024,834.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.28,1.98
4,EMEA,UK,-,Desktop,2024-04-29,2319.64,Apr,2024,2319.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.28,1.98
5,EMEA,UK,-,Desktop,2024-04-30,4920.88,Apr,2024,4920.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.28,1.98
6,EMEA,UK,-,Desktop,2024-05-01,4341.63,May,2024,0.0,0.0,0.0,0.0,0.0,4341.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.28,1.98
7,EMEA,UK,-,Desktop,2024-05-02,4217.62,May,2024,0.0,0.0,0.0,0.0,0.0,4217.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.28,1.98
8,EMEA,UK,-,Desktop,2024-05-03,3732.3700000000003,May,2024,0.0,0.0,0.0,0.0,0.0,3732.3700000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.28,1.98
9,EMEA,UK,-,Desktop,2024-05-04,851.0,May,2024,0.0,0.0,0.0,0.0,0.0,851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.28,1.98
10,EMEA,UK,-,Desktop,2024-05-05,584.54,May,2024,0.0,0.0,0.0,0.0,0.0,584.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.28,1.98
11,EMEA,UK,-,Desktop,2024-05-06,1782.6499999999996,May,2024,0.0,0.0,0.0,0.0,0.0,1782.6499999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.28,1.98
12,EMEA,UK,-,Desktop,2024-05-07,4472.029999999999,May,2024,0.0,0.0,0.0,0.0,0.0,4472.029999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.28,1.98
13,EMEA,UK,-,Desktop,2024-05-08,3733.3700000000003,May,2024,0.0,0.0,0.0,0.0,0.0,3733.3700000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.28,1.98
14,EMEA,UK,-,Desktop,2024-05-09,2713.43,May,2024,0.0,0.0,0.0,0.0,0.0,2713.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.28,1.98
15,EMEA,UK,-,Desktop,2024-05-10,2497.2000000000003,May,2024,0.0,0.0,0.0,0.0,0.0,2497.2000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.28,1.98
16,EMEA,UK,-,Desktop,2024-05-11,464.36,May,2024,0.0,0.0,0.0,0.0,0.0,464.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.28,1.98
17,EMEA,UK,-,Desktop,2024-05-12,685.7700000000001,May,2024,0.0,0.0,0.0,0.0,0.0,685.7700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.28,1.98
18,EMEA,UK,-,Desktop,2024-05-13,3626.32,May,2024,0.0,0.0,0.0,0.0,0.0,3626.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.28,1.98
