,market,account_type,funnel,ds,region,X,y,weekday_or_weekend,Month of Ds,floor,AOV,ROAS,cap
0,UK,Desktop,-,2022-01-01,EMEA,451.76,58.0,1,January,0,23.28,1.98,38.42288659793814
1,UK,Desktop,-,2022-01-02,EMEA,748.3800000000001,119.0,1,January,0,23.28,1.98,63.6508762886598
2,UK,Desktop,-,2022-01-03,EMEA,1526.97,428.0,0,January,0,23.28,1.98,129.87115979381443
3,UK,Desktop,-,2022-01-04,EMEA,3765.3899999999994,1521.0,0,January,0,23.28,1.98,320.25224226804113
4,UK,Desktop,-,2022-01-05,EMEA,3341.83,1346.0,0,January,0,23.28,1.98,284.2278092783505
5,UK,Desktop,-,2022-01-06,EMEA,3069.480000000001,1343.0,0,January,0,23.28,1.98,261.06402061855675
6,UK,Desktop,-,2022-01-07,EMEA,2597.5800000000004,1023.0,0,January,0,23.28,1.98,220.92819587628867
7,UK,Desktop,-,2022-01-08,EMEA,809.29,215.0,1,January,0,23.28,1.98,68.83136597938143
8,UK,Desktop,-,2022-01-09,EMEA,950.88,280.0,1,January,0,23.28,1.98,80.87381443298968
9,UK,Desktop,-,2022-01-10,EMEA,3800.7499999999995,1568.0,0,January,0,23.28,1.98,323.2596649484535
10,UK,Desktop,-,2022-01-11,EMEA,3598.53,1280.0,0,January,0,23.28,1.98,306.0605412371134
11,UK,Desktop,-,2022-01-12,EMEA,3356.4500000000003,1276.0,0,January,0,23.28,1.98,285.47126288659797
12,UK,Desktop,-,2022-01-13,EMEA,2984.91,1371.0,0,January,0,23.28,1.98,253.87121134020617
13,UK,Desktop,-,2022-01-14,EMEA,2517.3399999999997,1005.0,0,January,0,23.28,1.98,214.1036597938144
14,UK,Desktop,-,2022-01-15,EMEA,727.9,180.0,1,January,0,23.28,1.98,61.909020618556696
15,UK,Desktop,-,2022-01-16,EMEA,908.04,272.0,1,January,0,23.28,1.98,77.230206185567
16,UK,Desktop,-,2022-01-17,EMEA,3403.04,1417.0,0,January,0,23.28,1.98,289.43381443298966
17,UK,Desktop,-,2022-01-18,EMEA,3074.93,1373.0,0,January,0,23.28,1.98,261.52755154639175
18,UK,Desktop,-,2022-01-19,EMEA,2856.6500000000005,1273.0,0,January,0,23.28,1.98,242.96250000000003
19,UK,Desktop,-,2022-01-20,EMEA,3043.3400000000006,1310.0,0,January,0,23.28,1.98,258.84077319587635
20,UK,Desktop,-,2022-01-21,EMEA,2362.53,1091.0,0,January,0,23.28,1.98,200.9368298969072
21,UK,Desktop,-,2022-01-22,EMEA,782.9300000000001,165.0,1,January,0,23.28,1.98,66.58940721649485
22,UK,Desktop,-,2022-01-23,EMEA,973.2699999999999,296.0,1,January,0,23.28,1.98,82.77811855670102
23,UK,Desktop,-,2022-01-24,EMEA,3566.1099999999997,1513.0,0,January,0,23.28,1.98,303.3031701030928
24,UK,Desktop,-,2022-01-25,EMEA,2780.95,1318.0,0,January,0,23.28,1.98,236.5240979381443
25,UK,Desktop,-,2022-01-26,EMEA,2788.4700000000007,1410.0,0,January,0,23.28,1.98,237.16368556701036
26,UK,Desktop,-,2022-01-27,EMEA,2547.63,1294.0,0,January,0,23.28,1.98,216.67987113402063
27,UK,Desktop,-,2022-01-28,EMEA,2306.5000000000005,1106.0,0,January,0,23.28,1.98,196.17139175257734
28,UK,Desktop,-,2022-01-29,EMEA,644.9,196.0,1,January,0,23.28,1.98,54.84974226804123
29,UK,Desktop,-,2022-01-30,EMEA,849.44,281.0,1,January,0,23.28,1.98,72.2461855670103
30,UK,Desktop,-,2022-01-31,EMEA,5261.1,1649.0,0,January,0,23.28,1.98,447.4646907216495
31,UK,Desktop,-,2022-02-01,EMEA,5096.09,1481.0,0,February,0,23.28,1.98,433.43033505154636
32,UK,Desktop,-,2022-02-02,EMEA,4541.299999999999,1466.0,0,February,0,23.28,1.98,386.2445876288659
33,UK,Desktop,-,2022-02-03,EMEA,4242.689999999999,1456.0,0,February,0,23.28,1.98,360.8473453608246
34,UK,Desktop,-,2022-02-04,EMEA,1885.4199999999998,1125.0,0,February,0,23.28,1.98,160.35788659793812
35,UK,Desktop,-,2022-02-05,EMEA,209.87,135.0,1,February,0,23.28,1.98,17.849768041237112
36,UK,Desktop,-,2022-02-06,EMEA,267.81,262.0,1,February,0,23.28,1.98,22.777654639175253
37,UK,Desktop,-,2022-02-07,EMEA,1805.7400000000002,1205.0,0,February,0,23.28,1.98,153.5809793814433
38,UK,Desktop,-,2022-02-08,EMEA,1583.3899999999999,1295.0,0,February,0,23.28,1.98,134.6697680412371
39,UK,Desktop,-,2022-02-09,EMEA,1757.37,1267.0,0,February,0,23.28,1.98,149.4670360824742
40,UK,Desktop,-,2022-02-10,EMEA,2517.21,1424.0,0,February,0,23.28,1.98,214.0926030927835
41,UK,Desktop,-,2022-02-11,EMEA,2369.82,1074.0,0,February,0,23.28,1.98,201.55685567010312
42,UK,Desktop,-,2022-02-12,EMEA,527.38,212.0,1,February,0,23.28,1.98,44.85448453608247
43,UK,Desktop,-,2022-02-13,EMEA,688.14,288.0,1,February,0,23.28,1.98,58.52737113402062
44,UK,Desktop,-,2022-02-14,EMEA,3428.12,1524.0,0,February,0,23.28,1.98,291.5669072164948
45,UK,Desktop,-,2022-02-15,EMEA,3297.67,1318.0,0,February,0,23.28,1.98,280.4719329896907
46,UK,Desktop,-,2022-02-16,EMEA,3110.7000000000003,1317.0,0,February,0,23.28,1.98,264.56984536082473
47,UK,Desktop,-,2022-02-17,EMEA,2793.9,1311.0,0,February,0,23.28,1.98,237.62551546391754
