,decisionVariableArray,Input Weight,totay_yhat,iter,Date
0,UK_Desktop_-_Apr_2024,0.10921688311949848,-107522.0,1,05.22.2024 15:18:29
1,UK_Desktop_-_May_2024,0.10921688311949848,-107522.0,1,05.22.2024 15:18:29
2,UK_Desktop_-_Jun_2024,0.10959741398625845,-107522.0,1,05.22.2024 15:18:29
3,UK_Desktop_-_Jul_2024,0.10959741398625845,-107522.0,1,05.22.2024 15:18:29
4,UK_Desktop_-_Aug_2024,0.10959741398625845,-107522.0,1,05.22.2024 15:18:29
5,UK_Desktop_-_Sep_2024,0.10959741398625845,-107522.0,1,05.22.2024 15:18:29
6,UK_Desktop_-_Oct_2024,0.10959741398625845,-107522.0,1,05.22.2024 15:18:29
7,UK_Desktop_-_Nov_2024,0.10959741398625845,-107522.0,1,05.22.2024 15:18:29
8,UK_Desktop_-_Dec_2024,0.10959741398625845,-107522.0,1,05.22.2024 15:18:29
9,UK_Mobile_&_Tablet_-_Apr_2024,0.10921688311949848,-107522.0,1,05.22.2024 15:18:29
10,UK_Mobile_&_Tablet_-_May_2024,0.10921688311949848,-107522.0,1,05.22.2024 15:18:29
11,UK_Mobile_&_Tablet_-_Jun_2024,0.10959741398625845,-107522.0,1,05.22.2024 15:18:29
12,UK_Mobile_&_Tablet_-_Jul_2024,0.10959741398625845,-107522.0,1,05.22.2024 15:18:29
13,UK_Mobile_&_Tablet_-_Aug_2024,0.10959741398625845,-107522.0,1,05.22.2024 15:18:29
14,UK_Mobile_&_Tablet_-_Sep_2024,0.10959741398625845,-107522.0,1,05.22.2024 15:18:29
15,UK_Mobile_&_Tablet_-_Oct_2024,0.10959741398625845,-107522.0,1,05.22.2024 15:18:29
16,UK_Mobile_&_Tablet_-_Nov_2024,0.10959741398625845,-107522.0,1,05.22.2024 15:18:29
17,UK_Mobile_&_Tablet_-_Dec_2024,0.10959741398625845,-107522.0,1,05.22.2024 15:18:29
0,UK_Desktop_-_Apr_2024,0.10921688311949848,-107522.0,2,05.22.2024 15:18:30
1,UK_Desktop_-_May_2024,0.10921688311949848,-107522.0,2,05.22.2024 15:18:30
2,UK_Desktop_-_Jun_2024,0.10959741398625845,-107522.0,2,05.22.2024 15:18:30
3,UK_Desktop_-_Jul_2024,0.10959741398625845,-107522.0,2,05.22.2024 15:18:30
4,UK_Desktop_-_Aug_2024,0.10959741398625845,-107522.0,2,05.22.2024 15:18:30
5,UK_Desktop_-_Sep_2024,0.10959741398625845,-107522.0,2,05.22.2024 15:18:30
