,Region,Market,device_segment,Ds,OptimalConversionQuantity,OptimalSpendValue,Month,Year,BaseConversionQuantity,BaseSpend,SavedDate
37,UK,UK,Desktop,2024-06-01,8.0,574.79,Jun,2024,8.0,574.82,2024-06-06
38,UK,UK,Desktop,2024-06-02,54.0,649.98,Jun,2024,54.0,650.02,2024-06-06
39,UK,UK,Desktop,2024-06-03,717.0,3357.42,Jun,2024,717.0,3357.63,2024-06-06
40,UK,UK,Desktop,2024-06-04,693.0,2940.28,Jun,2024,693.0,2940.47,2024-06-06
41,UK,UK,Desktop,2024-06-05,651.0,2637.9,Jun,2024,651.0,2638.07,2024-06-06
42,UK,UK,Desktop,2024-06-06,624.0,2566.07,Jun,2024,624.0,2566.23,2024-06-06
43,UK,UK,Desktop,2024-06-07,529.0,3128.58,Jun,2024,529.0,3128.78,2024-06-06
44,UK,UK,Desktop,2024-06-08,1.0,766.4,Jun,2024,1.0,766.45,2024-06-06
45,UK,UK,Desktop,2024-06-09,54.0,886.25,Jun,2024,54.0,886.3,2024-06-06
46,UK,UK,Desktop,2024-06-10,779.0,4706.56,Jun,2024,779.0,4706.85,2024-06-06
47,UK,UK,Desktop,2024-06-11,673.0,2526.14,Jun,2024,673.0,2526.3,2024-06-06
48,UK,UK,Desktop,2024-06-12,638.0,2306.5,Jun,2024,638.0,2306.64,2024-06-06
49,UK,UK,Desktop,2024-06-13,623.0,2433.75,Jun,2024,623.0,2433.9,2024-06-06
50,UK,UK,Desktop,2024-06-14,481.0,1970.95,Jun,2024,481.0,1971.07,2024-06-06
51,UK,UK,Desktop,2024-06-15,2.0,633.15,Jun,2024,2.0,633.19,2024-06-06
52,UK,UK,Desktop,2024-06-16,64.0,896.14,Jun,2024,64.0,896.19,2024-06-06
53,UK,UK,Desktop,2024-06-17,853.0,5947.54,Jun,2024,854.0,5947.91,2024-06-06
54,UK,UK,Desktop,2024-06-18,775.0,4325.67,Jun,2024,775.0,4325.94,2024-06-06
55,UK,UK,Desktop,2024-06-19,617.0,1573.45,Jun,2024,617.0,1573.54,2024-06-06
56,UK,UK,Desktop,2024-06-20,588.0,1389.12,Jun,2024,588.0,1389.2,2024-06-06
57,UK,UK,Desktop,2024-06-21,465.0,1323.46,Jun,2024,465.0,1323.54,2024-06-06
58,UK,UK,Desktop,2024-06-22,0.0,294.67,Jun,2024,0.0,294.68,2024-06-06
59,UK,UK,Desktop,2024-06-23,49.0,323.27,Jun,2024,49.0,323.29,2024-06-06
60,UK,UK,Desktop,2024-06-24,670.0,1818.87,Jun,2024,670.0,1818.98,2024-06-06
61,UK,UK,Desktop,2024-06-25,658.0,1560.98,Jun,2024,658.0,1561.08,2024-06-06
62,UK,UK,Desktop,2024-06-26,640.0,1686.9,Jun,2024,640.0,1687.0,2024-06-06
63,UK,UK,Desktop,2024-06-27,613.0,1544.57,Jun,2024,613.0,1544.67,2024-06-06
64,UK,UK,Desktop,2024-06-28,476.0,1202.21,Jun,2024,476.0,1202.28,2024-06-06
65,UK,UK,Desktop,2024-06-29,14.0,286.64,Jun,2024,14.0,286.66,2024-06-06
66,UK,UK,Desktop,2024-06-30,67.0,333.27,Jun,2024,67.0,333.29,2024-06-06
