,market,account_type,funnel,ds,region,X,y,key_0
0,UK,Desktop,-,2022-01-01,Europe,2809.5,58.0,
1,UK,Desktop,-,2022-01-02,Europe,5463.95,119.0,
2,UK,Desktop,-,2022-01-03,Europe,25055.28,428.0,
3,UK,Desktop,-,2022-01-04,Europe,27982.730000000003,1521.0,
4,UK,Desktop,-,2022-01-05,Europe,27271.870000000003,1346.0,
5,UK,Desktop,-,2022-01-06,Europe,21609.280000000006,1343.0,
6,UK,Desktop,-,2022-01-07,Europe,20291.43,1023.0,
7,UK,Desktop,-,2022-01-08,Europe,7445.1900000000005,215.0,
8,UK,Desktop,-,2022-01-09,Europe,6769.319999999999,280.0,
9,UK,Desktop,-,2022-01-10,Europe,32510.14,1568.0,
10,UK,Desktop,-,2022-01-11,Europe,29449.980000000003,1280.0,
11,UK,Desktop,-,2022-01-12,Europe,27418.85,1276.0,
12,UK,Desktop,-,2022-01-13,Europe,26546.500000000007,1371.0,
13,UK,Desktop,-,2022-01-14,Europe,22008.6,1005.0,
14,UK,Desktop,-,2022-01-15,Europe,5845.28,180.0,
15,UK,Desktop,-,2022-01-16,Europe,6271.78,272.0,
16,UK,Desktop,-,2022-01-17,Europe,30562.120000000003,1417.0,
17,UK,Desktop,-,2022-01-18,Europe,29976.660000000003,1373.0,
18,UK,Desktop,-,2022-01-19,Europe,26541.42,1273.0,
19,UK,Desktop,-,2022-01-20,Europe,26981.349999999995,1310.0,
20,UK,Desktop,-,2022-01-21,Europe,22172.89,1091.0,
21,UK,Desktop,-,2022-01-22,Europe,6210.08,165.0,
22,UK,Desktop,-,2022-01-23,Europe,5491.36,296.0,
23,UK,Desktop,-,2022-01-24,Europe,28915.589999999997,1513.0,
24,UK,Desktop,-,2022-01-25,Europe,20248.359999999997,1318.0,
25,UK,Desktop,-,2022-01-26,Europe,18169.11,1410.0,
26,UK,Desktop,-,2022-01-27,Europe,17530.170000000006,1294.0,
27,UK,Desktop,-,2022-01-28,Europe,15284.360000000006,1106.0,
28,UK,Desktop,-,2022-01-29,Europe,4310.32,196.0,
29,UK,Desktop,-,2022-01-30,Europe,4062.67,281.0,
30,UK,Desktop,-,2022-01-31,Europe,27004.590000000004,1649.0,
31,UK,Desktop,-,2022-02-01,Europe,29717.97,1481.0,
32,UK,Desktop,-,2022-02-02,Europe,28253.450000000004,1466.0,
33,UK,Desktop,-,2022-02-03,Europe,24187.72,1456.0,
34,UK,Desktop,-,2022-02-04,Europe,15899.820000000002,1125.0,
35,UK,Desktop,-,2022-02-05,Europe,1861.98,135.0,
36,UK,Desktop,-,2022-02-06,Europe,1779.3299999999995,262.0,
37,UK,Desktop,-,2022-02-07,Europe,9049.66,1205.0,
38,UK,Desktop,-,2022-02-08,Europe,8255.77,1295.0,
39,UK,Desktop,-,2022-02-09,Europe,9079.06,1267.0,
40,UK,Desktop,-,2022-02-10,Europe,11404.07,1424.0,
41,UK,Desktop,-,2022-02-11,Europe,10203.73,1074.0,
42,UK,Desktop,-,2022-02-12,Europe,2598.44,212.0,
43,UK,Desktop,-,2022-02-13,Europe,2593.9300000000007,288.0,
44,UK,Desktop,-,2022-02-14,Europe,13309.96,1524.0,
45,UK,Desktop,-,2022-02-15,Europe,12809.679999999997,1318.0,
46,UK,Desktop,-,2022-02-16,Europe,12238.44,1317.0,
47,UK,Desktop,-,2022-02-17,Europe,11260.490000000002,1311.0,
48,UK,Desktop,-,2022-02-18,Europe,9412.199999999997,952.0,
49,UK,Desktop,-,2022-02-19,Europe,2791.46,165.0,
50,UK,Desktop,-,2022-02-20,Europe,2829.2000000000003,324.0,
51,UK,Desktop,-,2022-02-21,Europe,13081.43,1436.0,
52,UK,Desktop,-,2022-02-22,Europe,12483.869999999997,1445.0,
53,UK,Desktop,-,2022-02-23,Europe,12721.300000000001,1474.0,
54,UK,Desktop,-,2022-02-24,Europe,11502.78,1325.0,
55,UK,Desktop,-,2022-02-25,Europe,9569.43,1106.0,
56,UK,Desktop,-,2022-02-26,Europe,2781.0400000000004,137.0,
57,UK,Desktop,-,2022-02-27,Europe,2432.4799999999996,291.0,
58,UK,Desktop,-,2022-02-28,Europe,13254.530000000002,1428.0,
59,UK,Desktop,-,2022-03-01,Europe,12182.09,1394.0,
60,UK,Desktop,-,2022-03-02,Europe,12340.740000000002,1360.0,
61,UK,Desktop,-,2022-03-03,Europe,13850.929999999998,1351.0,
62,UK,Desktop,-,2022-03-04,Europe,13456.44,1094.0,
63,UK,Desktop,-,2022-03-05,Europe,2780.82,146.0,
64,UK,Desktop,-,2022-03-06,Europe,2612.88,274.0,
65,UK,Desktop,-,2022-03-07,Europe,16410.59,1454.0,
66,UK,Desktop,-,2022-03-08,Europe,16714.429999999997,1523.0,
67,UK,Desktop,-,2022-03-09,Europe,18282.929999999997,1438.0,
68,UK,Desktop,-,2022-03-10,Europe,18949.57,1377.0,
69,UK,Desktop,-,2022-03-11,Europe,13520.890000000001,1190.0,
70,UK,Desktop,-,2022-03-12,Europe,2817.9599999999996,147.0,
71,UK,Desktop,-,2022-03-13,Europe,2599.6,270.0,
72,UK,Desktop,-,2022-03-14,Europe,21539.480000000003,1496.0,
73,UK,Desktop,-,2022-03-15,Europe,23977.760000000002,1343.0,
74,UK,Desktop,-,2022-03-16,Europe,20720.649999999994,1410.0,
75,UK,Desktop,-,2022-03-17,Europe,20321.510000000002,1493.0,
76,UK,Desktop,-,2022-03-18,Europe,15995.169999999998,980.0,
77,UK,Desktop,-,2022-03-19,Europe,4942.28,123.0,
78,UK,Desktop,-,2022-03-20,Europe,4544.299999999999,263.0,
79,UK,Desktop,-,2022-03-21,Europe,24447.050000000003,1748.0,
80,UK,Desktop,-,2022-03-22,Europe,21098.829999999994,1490.0,
81,UK,Desktop,-,2022-03-23,Europe,22656.340000000004,1464.0,
82,UK,Desktop,-,2022-03-24,Europe,23852.600000000002,1355.0,
83,UK,Desktop,-,2022-03-25,Europe,22275.100000000006,1104.0,
84,UK,Desktop,-,2022-03-26,Europe,8347.94,133.0,
85,UK,Desktop,-,2022-03-27,Europe,6755.789999999999,249.0,
86,UK,Desktop,-,2022-03-28,Europe,30952.519999999997,1591.0,
87,UK,Desktop,-,2022-03-29,Europe,20043.430000000004,1438.0,
88,UK,Desktop,-,2022-03-30,Europe,18876.329999999998,1187.0,
89,UK,Desktop,-,2022-03-31,Europe,12516.65,1193.0,
90,UK,Desktop,-,2022-04-01,Europe,16381.41,937.0,
91,UK,Desktop,-,2022-04-02,Europe,5840.7699999999995,155.0,
92,UK,Desktop,-,2022-04-03,Europe,5411.660000000001,349.0,
93,UK,Desktop,-,2022-04-04,Europe,23813.629999999997,1418.0,
94,UK,Desktop,-,2022-04-05,Europe,24586.089999999997,1467.0,
95,UK,Desktop,-,2022-04-06,Europe,23652.840000000007,1303.0,
96,UK,Desktop,-,2022-04-07,Europe,24322.129999999997,1014.0,
97,UK,Desktop,-,2022-04-08,Europe,19865.979999999996,1060.0,
98,UK,Desktop,-,2022-04-09,Europe,5393.5,121.0,
99,UK,Desktop,-,2022-04-10,Europe,4639.74,216.0,
100,UK,Desktop,-,2022-04-11,Europe,24389.05,1310.0,
101,UK,Desktop,-,2022-04-12,Europe,22405.059999999998,1159.0,
102,UK,Desktop,-,2022-04-13,Europe,21042.279999999995,1099.0,
103,UK,Desktop,-,2022-04-14,Europe,18975.18,863.0,
104,UK,Desktop,-,2022-04-15,Europe,8546.48,175.0,
105,UK,Desktop,-,2022-04-16,Europe,3650.4,106.0,
106,UK,Desktop,-,2022-04-17,Europe,2254.9199999999996,39.0,
107,UK,Desktop,-,2022-04-18,Europe,7133.230000000001,388.0,
108,UK,Desktop,-,2022-04-19,Europe,25828.72,1287.0,
109,UK,Desktop,-,2022-04-20,Europe,28845.24,1161.0,
110,UK,Desktop,-,2022-04-21,Europe,27672.790000000005,1101.0,
111,UK,Desktop,-,2022-04-22,Europe,23153.879999999997,782.0,
112,UK,Desktop,-,2022-04-23,Europe,5821.74,169.0,
113,UK,Desktop,-,2022-04-24,Europe,5490.9400000000005,209.0,
114,UK,Desktop,-,2022-04-25,Europe,27676.600000000002,1166.0,
115,UK,Desktop,-,2022-04-26,Europe,28901.440000000002,1061.0,
116,UK,Desktop,-,2022-04-27,Europe,20187.069999999996,1028.0,
117,UK,Desktop,-,2022-04-28,Europe,15874.320000000002,941.0,
118,UK,Desktop,-,2022-04-29,Europe,18164.87,662.0,
119,UK,Desktop,-,2022-04-30,Europe,5510.939999999999,71.0,
120,UK,Desktop,-,2022-05-01,Europe,5401.41,110.0,
121,UK,Desktop,-,2022-05-02,Europe,22984.96,326.0,
122,UK,Desktop,-,2022-05-03,Europe,26389.77,1319.0,
123,UK,Desktop,-,2022-05-04,Europe,22267.100000000002,1341.0,
124,UK,Desktop,-,2022-05-05,Europe,21476.329999999998,1237.0,
125,UK,Desktop,-,2022-05-06,Europe,16776.33,824.0,
126,UK,Desktop,-,2022-05-07,Europe,3929.1600000000003,99.0,
127,UK,Desktop,-,2022-05-08,Europe,3680.2,177.0,
128,UK,Desktop,-,2022-05-09,Europe,24096.479999999996,1299.0,
129,UK,Desktop,-,2022-05-10,Europe,22178.379999999997,1224.0,
130,UK,Desktop,-,2022-05-11,Europe,20918.87,1023.0,
