,region,market,funnel,account_type,ds,X,Month,Year,US_Desktop_-_Apr_2024,US_Desktop_-_Aug_2024,US_Desktop_-_Dec_2024,US_Desktop_-_Jul_2024,US_Desktop_-_Jun_2024,US_Desktop_-_May_2024,US_Desktop_-_Nov_2024,US_Desktop_-_Oct_2024,US_Desktop_-_Sep_2024,US_Mobile_&_Tablet_-_Apr_2024,US_Mobile_&_Tablet_-_Aug_2024,US_Mobile_&_Tablet_-_Dec_2024,US_Mobile_&_Tablet_-_Jul_2024,US_Mobile_&_Tablet_-_Jun_2024,US_Mobile_&_Tablet_-_May_2024,US_Mobile_&_Tablet_-_Nov_2024,US_Mobile_&_Tablet_-_Oct_2024,US_Mobile_&_Tablet_-_Sep_2024,Weekend,AOV,ROAS
0,US,US,-,Desktop,2024-04-25,25976.920000000002,Apr,2024,25976.920000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
1,US,US,-,Desktop,2024-04-26,23411.510000000002,Apr,2024,23411.510000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
2,US,US,-,Desktop,2024-04-27,6996.969999999998,Apr,2024,6996.969999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
3,US,US,-,Desktop,2024-04-28,8139.869999999999,Apr,2024,8139.869999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
4,US,US,-,Desktop,2024-04-29,26123.46,Apr,2024,26123.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
5,US,US,-,Desktop,2024-04-30,28756.079999999998,Apr,2024,28756.079999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
6,US,US,-,Desktop,2024-05-01,25835.6,May,2024,0.0,0.0,0.0,0.0,0.0,25835.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
7,US,US,-,Desktop,2024-05-02,25424.49,May,2024,0.0,0.0,0.0,0.0,0.0,25424.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
8,US,US,-,Desktop,2024-05-03,24372.35,May,2024,0.0,0.0,0.0,0.0,0.0,24372.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
9,US,US,-,Desktop,2024-05-04,7458.589999999999,May,2024,0.0,0.0,0.0,0.0,0.0,7458.589999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
10,US,US,-,Desktop,2024-05-05,7454.580000000001,May,2024,0.0,0.0,0.0,0.0,0.0,7454.580000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
11,US,US,-,Desktop,2024-05-06,33485.47,May,2024,0.0,0.0,0.0,0.0,0.0,33485.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
12,US,US,-,Desktop,2024-05-07,28182.259999999995,May,2024,0.0,0.0,0.0,0.0,0.0,28182.259999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
13,US,US,-,Desktop,2024-05-08,19870.559999999998,May,2024,0.0,0.0,0.0,0.0,0.0,19870.559999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
14,US,US,-,Desktop,2024-05-09,21046.49,May,2024,0.0,0.0,0.0,0.0,0.0,21046.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
15,US,US,-,Desktop,2024-05-10,20290.120000000003,May,2024,0.0,0.0,0.0,0.0,0.0,20290.120000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
16,US,US,-,Desktop,2024-05-11,8700.479999999998,May,2024,0.0,0.0,0.0,0.0,0.0,8700.479999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
17,US,US,-,Desktop,2024-05-12,9095.130000000003,May,2024,0.0,0.0,0.0,0.0,0.0,9095.130000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
18,US,US,-,Desktop,2024-05-13,24613.520000000004,May,2024,0.0,0.0,0.0,0.0,0.0,24613.520000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
19,US,US,-,Desktop,2024-05-14,23711.069999999996,May,2024,0.0,0.0,0.0,0.0,0.0,23711.069999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
20,US,US,-,Desktop,2024-05-15,20653.170000000002,May,2024,0.0,0.0,0.0,0.0,0.0,20653.170000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
21,US,US,-,Desktop,2024-05-16,21385.260000000002,May,2024,0.0,0.0,0.0,0.0,0.0,21385.260000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
22,US,US,-,Desktop,2024-05-17,19654.740000000005,May,2024,0.0,0.0,0.0,0.0,0.0,19654.740000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
23,US,US,-,Desktop,2024-05-18,8503.07,May,2024,0.0,0.0,0.0,0.0,0.0,8503.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
24,US,US,-,Desktop,2024-05-19,8095.45,May,2024,0.0,0.0,0.0,0.0,0.0,8095.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
25,US,US,-,Desktop,2024-05-20,26908.82,May,2024,0.0,0.0,0.0,0.0,0.0,26908.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
26,US,US,-,Desktop,2024-05-21,23918.81,May,2024,0.0,0.0,0.0,0.0,0.0,23918.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
27,US,US,-,Desktop,2024-05-22,21292.869999999995,May,2024,0.0,0.0,0.0,0.0,0.0,21292.869999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
28,US,US,-,Desktop,2024-05-23,23521.699999999997,May,2024,0.0,0.0,0.0,0.0,0.0,23521.699999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
29,US,US,-,Desktop,2024-05-24,22674.329999999998,May,2024,0.0,0.0,0.0,0.0,0.0,22674.329999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
