,decisionVariableArray,Input Weight,totay_yhat,iter,Date
0,US_Desktop_-_Apr_2024,0.8752881290978953,-5923523.0,1,05.30.2024 04:38:28
1,US_Desktop_-_May_2024,0.8752881290978953,-5923523.0,1,05.30.2024 04:38:28
2,US_Desktop_-_Jun_2024,0.8343594991418285,-5923523.0,1,05.30.2024 04:38:28
3,US_Desktop_-_Jul_2024,0.8343594991418285,-5923523.0,1,05.30.2024 04:38:28
4,US_Desktop_-_Aug_2024,0.8343594991418285,-5923523.0,1,05.30.2024 04:38:28
5,US_Desktop_-_Sep_2024,0.8343594991418285,-5923523.0,1,05.30.2024 04:38:28
6,US_Desktop_-_Oct_2024,0.8343594991418285,-5923523.0,1,05.30.2024 04:38:28
7,US_Desktop_-_Nov_2024,0.6257696243563714,-5923523.0,1,05.30.2024 04:38:28
8,US_Desktop_-_Dec_2024,0.8343594991418285,-5923523.0,1,05.30.2024 04:38:28
9,US_Mobile_&_Tablet_-_Apr_2024,0.8752881290978953,-5923523.0,1,05.30.2024 04:38:28
10,US_Mobile_&_Tablet_-_May_2024,0.8752881290978953,-5923523.0,1,05.30.2024 04:38:28
11,US_Mobile_&_Tablet_-_Jun_2024,0.8343594991418285,-5923523.0,1,05.30.2024 04:38:28
12,US_Mobile_&_Tablet_-_Jul_2024,0.8343594991418285,-5923523.0,1,05.30.2024 04:38:28
13,US_Mobile_&_Tablet_-_Aug_2024,0.8343594991418285,-5923523.0,1,05.30.2024 04:38:28
14,US_Mobile_&_Tablet_-_Sep_2024,0.8343594991418285,-5923523.0,1,05.30.2024 04:38:28
15,US_Mobile_&_Tablet_-_Oct_2024,0.8343594991418285,-5923523.0,1,05.30.2024 04:38:28
16,US_Mobile_&_Tablet_-_Nov_2024,0.6257696243563714,-5923523.0,1,05.30.2024 04:38:28
17,US_Mobile_&_Tablet_-_Dec_2024,0.8343594991418285,-5923523.0,1,05.30.2024 04:38:28
0,US_Desktop_-_Apr_2024,0.8752881290978953,-5923523.0,2,05.30.2024 04:38:29
1,US_Desktop_-_May_2024,0.8752881290978953,-5923523.0,2,05.30.2024 04:38:29
2,US_Desktop_-_Jun_2024,0.8343594991418285,-5923523.0,2,05.30.2024 04:38:29
3,US_Desktop_-_Jul_2024,0.8343594991418285,-5923523.0,2,05.30.2024 04:38:29
4,US_Desktop_-_Aug_2024,0.8343594991418285,-5923523.0,2,05.30.2024 04:38:29
5,US_Desktop_-_Sep_2024,0.8343594991418285,-5923523.0,2,05.30.2024 04:38:29
6,US_Desktop_-_Oct_2024,0.8343594991418285,-5923523.0,2,05.30.2024 04:38:29
7,US_Desktop_-_Nov_2024,0.6257696243563714,-5923523.0,2,05.30.2024 04:38:29
8,US_Desktop_-_Dec_2024,0.8343594991418285,-5923523.0,2,05.30.2024 04:38:29
9,US_Mobile_&_Tablet_-_Apr_2024,0.8752881290978953,-5923523.0,2,05.30.2024 04:38:29
10,US_Mobile_&_Tablet_-_May_2024,0.8752881290978953,-5923523.0,2,05.30.2024 04:38:29
11,US_Mobile_&_Tablet_-_Jun_2024,0.8343594991418285,-5923523.0,2,05.30.2024 04:38:29
12,US_Mobile_&_Tablet_-_Jul_2024,0.8343594991418285,-5923523.0,2,05.30.2024 04:38:29
13,US_Mobile_&_Tablet_-_Aug_2024,0.8343594991418285,-5923523.0,2,05.30.2024 04:38:29
14,US_Mobile_&_Tablet_-_Sep_2024,0.8343594991418285,-5923523.0,2,05.30.2024 04:38:29
15,US_Mobile_&_Tablet_-_Oct_2024,0.8343594991418285,-5923523.0,2,05.30.2024 04:38:29
16,US_Mobile_&_Tablet_-_Nov_2024,0.6257696243563714,-5923523.0,2,05.30.2024 04:38:29
17,US_Mobile_&_Tablet_-_Dec_2024,0.8343594991418285,-5923523.0,2,05.30.2024 04:38:29
0,US_Desktop_-_Apr_2024,0.8752881290978953,-5923523.0,3,05.30.2024 04:38:30
1,US_Desktop_-_May_2024,0.8752881290978953,-5923523.0,3,05.30.2024 04:38:30
2,US_Desktop_-_Jun_2024,0.8343594991418285,-5923523.0,3,05.30.2024 04:38:30
3,US_Desktop_-_Jul_2024,0.8343594991418285,-5923523.0,3,05.30.2024 04:38:30
4,US_Desktop_-_Aug_2024,0.8343594991418285,-5923523.0,3,05.30.2024 04:38:30
5,US_Desktop_-_Sep_2024,0.8343594991418285,-5923523.0,3,05.30.2024 04:38:30
