,iteration,Conversion Quantity
0,1,5923523.0
1,2,5941185.0
2,3,5951985.0
3,4,5952019.0
4,5,5952019.0
5,6,5952019.0
6,7,5952019.0
7,8,5952019.0
8,9,5952019.0
9,10,5952019.0
10,11,5952019.0
11,12,5952019.0
12,13,5952019.0
13,14,5952019.0
14,15,5952019.0
15,16,5952019.0
16,17,5952019.0
17,18,5952019.0
18,19,5957742.0
19,20,5957742.0
20,21,5957742.0
21,22,5957742.0
22,23,5957742.0
23,24,5957742.0
24,25,5957742.0
25,26,5957742.0
26,27,5957742.0
27,28,5957742.0
28,29,5957742.0
29,30,5957742.0
30,31,5957742.0
31,32,5957742.0
32,33,5957742.0
33,34,5957742.0
34,35,5957742.0
35,36,5957742.0
36,37,5957742.0
37,38,5957742.0
38,39,5957742.0
39,40,5957742.0
40,41,5957742.0
41,42,5957742.0
42,43,5957742.0
43,44,5957742.0
44,45,5957742.0
45,46,5957742.0
46,47,5957742.0
47,48,5957742.0
48,49,5957742.0
49,50,5957742.0
50,51,5957742.0
51,52,5957742.0
52,53,5957742.0
53,54,5957742.0
54,55,5957742.0
55,56,5957742.0
56,57,5957742.0
57,58,5957742.0
58,59,5957742.0
59,60,5957742.0
60,61,5957742.0
61,62,5957742.0
62,63,5957742.0
63,64,5957742.0
64,65,5957742.0
65,66,5957742.0
66,67,5957742.0
67,68,5957742.0
68,69,5957742.0
69,70,5957742.0
70,71,5957742.0
71,72,5957742.0
72,73,5957742.0
73,74,5957742.0
74,75,5957742.0
75,76,5957742.0
76,77,5957742.0
77,78,5957742.0
78,79,5957742.0
79,80,5957742.0
80,81,5957742.0
81,82,5957742.0
82,83,5957742.0
83,84,5957742.0
84,85,5957742.0
85,86,5957742.0
86,87,5957742.0
87,88,5957742.0
88,89,5957742.0
89,90,5957742.0
90,91,5957742.0
91,92,5957742.0
92,93,5957742.0
93,94,5957742.0
94,95,5957742.0
95,96,5957742.0
96,97,5957742.0
97,98,5957742.0
98,99,5957742.0
99,100,5957742.0
100,101,5957742.0
101,102,5957742.0
102,103,5957742.0
103,104,5957742.0
104,105,5957742.0
105,106,5957742.0
106,107,5957742.0
107,108,5957742.0
108,109,5957742.0
109,110,5957742.0
110,111,5957742.0
111,112,5957742.0
112,113,5957742.0
113,114,5957742.0
114,115,5957742.0
115,116,5957742.0
116,117,5957742.0
117,118,5957742.0
118,119,5957742.0
119,120,5957742.0
120,121,5957742.0
121,122,5957742.0
122,123,5957742.0
123,124,5957742.0
124,125,5957742.0
125,126,5957742.0
126,127,5957742.0
127,128,5957742.0
128,129,5957742.0
129,130,5957742.0
130,131,5957742.0
131,132,5957742.0
132,133,5957742.0
133,134,5957742.0
134,135,5957742.0
135,136,5957742.0
136,137,5957742.0
137,138,5957742.0
138,139,5957742.0
139,140,5957742.0
140,141,5957742.0
141,142,5957742.0
142,143,5957742.0
143,144,5957742.0
144,145,5957742.0
145,146,5957742.0
146,147,5957742.0
147,148,5957742.0
148,149,5957742.0
149,150,5957742.0
