,variable_splits,pos
0,US_Desktop_-_Apr_2024,1.076983692
1,US_Desktop_-_May_2024,1.086102457
2,US_Desktop_-_Jun_2024,1.193679092
3,US_Desktop_-_Jul_2024,1.079932423
4,US_Desktop_-_Aug_2024,0.964334073
5,US_Desktop_-_Sep_2024,0.805373103
6,US_Desktop_-_Oct_2024,1.166361089
7,US_Desktop_-_Nov_2024,0.825624457
8,US_Desktop_-_Dec_2024,0.826506797
9,US_Mobile_&_Tablet_-_Apr_2024,1.018710269
10,US_Mobile_&_Tablet_-_May_2024,1.127027079
11,US_Mobile_&_Tablet_-_Jun_2024,1.093024027
12,US_Mobile_&_Tablet_-_Jul_2024,1.040519688
13,US_Mobile_&_Tablet_-_Aug_2024,1.163091673
14,US_Mobile_&_Tablet_-_Sep_2024,0.919130562
15,US_Mobile_&_Tablet_-_Oct_2024,1.081599405
16,US_Mobile_&_Tablet_-_Nov_2024,0.857483236
17,US_Mobile_&_Tablet_-_Dec_2024,0.997013506
