,Region,Market,device_segment,Ds,OptimalConversionQuantity,OptimalSpendValue,Month,Year,BaseConversionQuantity,BaseSpend,SavedDate
37,US,US,Desktop,2024-06-01,992.0,8819.22,Jun,2024,1871.0,7114.31,2024-06-06
38,US,US,Desktop,2024-06-02,1399.0,8040.09,Jun,2024,2199.0,6485.8,2024-06-06
39,US,US,Desktop,2024-06-03,24889.0,42279.17,Jun,2024,24073.0,34105.88,2024-06-06
40,US,US,Desktop,2024-06-04,25683.0,32981.14,Jun,2024,24713.0,26605.32,2024-06-06
41,US,US,Desktop,2024-06-05,25931.0,27098.97,Jun,2024,24913.0,21860.27,2024-06-06
42,US,US,Desktop,2024-06-06,27097.0,30963.07,Jun,2024,25854.0,24977.38,2024-06-06
43,US,US,Desktop,2024-06-07,22650.0,27018.27,Jun,2024,22267.0,21795.17,2024-06-06
44,US,US,Desktop,2024-06-08,2900.0,7119.07,Jun,2024,3410.0,5742.83,2024-06-06
45,US,US,Desktop,2024-06-09,2763.0,7576.69,Jun,2024,3300.0,6111.98,2024-06-06
46,US,US,Desktop,2024-06-10,31610.0,44068.31,Jun,2024,29495.0,35549.14,2024-06-06
47,US,US,Desktop,2024-06-11,30234.0,32228.31,Jun,2024,28384.0,25998.02,2024-06-06
48,US,US,Desktop,2024-06-12,29951.0,27973.45,Jun,2024,28156.0,22565.7,2024-06-06
49,US,US,Desktop,2024-06-13,30624.0,29722.42,Jun,2024,28699.0,23976.56,2024-06-06
50,US,US,Desktop,2024-06-14,25570.0,26133.75,Jun,2024,24622.0,21081.65,2024-06-06
51,US,US,Desktop,2024-06-15,4039.0,5513.15,Jun,2024,4329.0,4447.36,2024-06-06
52,US,US,Desktop,2024-06-16,4072.0,5140.19,Jun,2024,4356.0,4146.5,2024-06-06
53,US,US,Desktop,2024-06-17,31777.0,35812.28,Jun,2024,29629.0,28889.14,2024-06-06
54,US,US,Desktop,2024-06-18,32747.0,35665.82,Jun,2024,30411.0,28771.0,2024-06-06
55,US,US,Desktop,2024-06-19,26484.0,22686.24,Jun,2024,25359.0,18300.6,2024-06-06
56,US,US,Desktop,2024-06-20,28986.0,24766.55,Jun,2024,27377.0,19978.75,2024-06-06
57,US,US,Desktop,2024-06-21,24907.0,25141.14,Jun,2024,24088.0,20280.92,2024-06-06
58,US,US,Desktop,2024-06-22,3105.0,7856.25,Jun,2024,3576.0,6337.5,2024-06-06
59,US,US,Desktop,2024-06-23,2836.0,7942.7,Jun,2024,3359.0,6407.24,2024-06-06
60,US,US,Desktop,2024-06-24,29253.0,35750.97,Jun,2024,27593.0,28839.69,2024-06-06
61,US,US,Desktop,2024-06-25,29322.0,33853.22,Jun,2024,27649.0,27308.81,2024-06-06
62,US,US,Desktop,2024-06-26,27913.0,27894.28,Jun,2024,26512.0,22501.83,2024-06-06
63,US,US,Desktop,2024-06-27,26558.0,25089.52,Jun,2024,25419.0,20239.28,2024-06-06
64,US,US,Desktop,2024-06-28,22077.0,22456.02,Jun,2024,21804.0,18114.89,2024-06-06
65,US,US,Desktop,2024-06-29,2003.0,8468.45,Jun,2024,2687.0,6831.35,2024-06-06
66,US,US,Desktop,2024-06-30,2270.0,7312.58,Jun,2024,2902.0,5898.93,2024-06-06
67,US,US,Desktop,2024-07-01,24336.0,26765.99,Jul,2024,23938.0,23865.86,2024-06-06
68,US,US,Desktop,2024-07-02,22224.0,9800.95,Jul,2024,22055.0,8739.0,2024-06-06
69,US,US,Desktop,2024-07-03,26771.0,35563.21,Jul,2024,26110.0,31709.89,2024-06-06
70,US,US,Desktop,2024-07-04,0.0,25723.65,Jul,2024,0.0,22936.46,2024-06-06
71,US,US,Desktop,2024-07-05,20612.0,23453.66,Jul,2024,20618.0,20912.43,2024-06-06
72,US,US,Desktop,2024-07-06,2602.0,6262.51,Jul,2024,2920.0,5583.96,2024-06-06
73,US,US,Desktop,2024-07-07,2815.0,5629.7,Jul,2024,3110.0,5019.72,2024-06-06
74,US,US,Desktop,2024-07-08,24210.0,30744.01,Jul,2024,23826.0,27412.86,2024-06-06
75,US,US,Desktop,2024-07-09,25206.0,29815.28,Jul,2024,24714.0,26584.75,2024-06-06
76,US,US,Desktop,2024-07-10,25038.0,24306.13,Jul,2024,24564.0,21672.53,2024-06-06
77,US,US,Desktop,2024-07-11,25431.0,26510.57,Jul,2024,24915.0,23638.11,2024-06-06
78,US,US,Desktop,2024-07-12,21585.0,27633.26,Jul,2024,21486.0,24639.16,2024-06-06
79,US,US,Desktop,2024-07-13,2814.0,6462.94,Jul,2024,3110.0,5762.68,2024-06-06
80,US,US,Desktop,2024-07-14,2689.0,6685.82,Jul,2024,2998.0,5961.4,2024-06-06
81,US,US,Desktop,2024-07-15,27180.0,35885.09,Jul,2024,26475.0,31996.89,2024-06-06
82,US,US,Desktop,2024-07-16,27388.0,29858.01,Jul,2024,26660.0,26622.85,2024-06-06
83,US,US,Desktop,2024-07-17,27504.0,26568.92,Jul,2024,26763.0,23690.14,2024-06-06
84,US,US,Desktop,2024-07-18,26902.0,23999.8,Jul,2024,26227.0,21399.39,2024-06-06
85,US,US,Desktop,2024-07-19,23035.0,20785.46,Jul,2024,22778.0,18533.32,2024-06-06
86,US,US,Desktop,2024-07-20,3768.0,5175.91,Jul,2024,3960.0,4615.09,2024-06-06
87,US,US,Desktop,2024-07-21,3743.0,5134.91,Jul,2024,3937.0,4578.54,2024-06-06
88,US,US,Desktop,2024-07-22,29352.0,34295.65,Jul,2024,28411.0,30579.67,2024-06-06
89,US,US,Desktop,2024-07-23,28326.0,26335.68,Jul,2024,27496.0,23482.18,2024-06-06
90,US,US,Desktop,2024-07-24,28550.0,24954.6,Jul,2024,27696.0,22250.73,2024-06-06
91,US,US,Desktop,2024-07-25,28599.0,25557.95,Jul,2024,27739.0,22788.71,2024-06-06
92,US,US,Desktop,2024-07-26,24285.0,23215.61,Jul,2024,23893.0,20700.17,2024-06-06
93,US,US,Desktop,2024-07-27,3581.0,6331.26,Jul,2024,3793.0,5645.26,2024-06-06
94,US,US,Desktop,2024-07-28,3366.0,6666.17,Jul,2024,3601.0,5943.88,2024-06-06
95,US,US,Desktop,2024-07-29,29751.0,33872.95,Jul,2024,28766.0,30202.77,2024-06-06
96,US,US,Desktop,2024-07-30,29682.0,30331.87,Jul,2024,28705.0,27045.37,2024-06-06
97,US,US,Desktop,2024-07-31,29871.0,29280.48,Jul,2024,28873.0,26107.9,2024-06-06
98,US,US,Desktop,2024-08-01,28585.0,26257.93,Aug,2024,28573.0,26219.43,2024-06-06
99,US,US,Desktop,2024-08-02,23701.0,21578.77,Aug,2024,23697.0,21547.13,2024-06-06
100,US,US,Desktop,2024-08-03,3722.0,5508.73,Aug,2024,3724.0,5500.65,2024-06-06
101,US,US,Desktop,2024-08-04,3753.0,5084.85,Aug,2024,3756.0,5077.4,2024-06-06
102,US,US,Desktop,2024-08-05,28180.0,31387.4,Aug,2024,28169.0,31341.39,2024-06-06
103,US,US,Desktop,2024-08-06,28058.0,27818.23,Aug,2024,28048.0,27777.45,2024-06-06
104,US,US,Desktop,2024-08-07,27916.0,25802.59,Aug,2024,27905.0,25764.76,2024-06-06
105,US,US,Desktop,2024-08-08,27171.0,24362.2,Aug,2024,27161.0,24326.48,2024-06-06
106,US,US,Desktop,2024-08-09,23139.0,23444.61,Aug,2024,23135.0,23410.24,2024-06-06
107,US,US,Desktop,2024-08-10,3337.0,6027.68,Aug,2024,3340.0,6018.85,2024-06-06
108,US,US,Desktop,2024-08-11,2933.0,6741.47,Aug,2024,2937.0,6731.58,2024-06-06
109,US,US,Desktop,2024-08-12,27280.0,32392.12,Aug,2024,27271.0,32344.63,2024-06-06
110,US,US,Desktop,2024-08-13,26661.0,25996.88,Aug,2024,26652.0,25958.77,2024-06-06
111,US,US,Desktop,2024-08-14,26798.0,24963.33,Aug,2024,26789.0,24926.73,2024-06-06
112,US,US,Desktop,2024-08-15,26355.0,24613.54,Aug,2024,26346.0,24577.45,2024-06-06
113,US,US,Desktop,2024-08-16,22039.0,20035.89,Aug,2024,22037.0,20006.52,2024-06-06
114,US,US,Desktop,2024-08-17,3429.0,5224.51,Aug,2024,3432.0,5216.85,2024-06-06
115,US,US,Desktop,2024-08-18,2879.0,6224.87,Aug,2024,2883.0,6215.74,2024-06-06
116,US,US,Desktop,2024-08-19,26508.0,36392.34,Aug,2024,26499.0,36338.98,2024-06-06
117,US,US,Desktop,2024-08-20,24629.0,21603.47,Aug,2024,24624.0,21571.8,2024-06-06
118,US,US,Desktop,2024-08-21,24709.0,20788.3,Aug,2024,24703.0,20757.82,2024-06-06
119,US,US,Desktop,2024-08-22,24157.0,19892.71,Aug,2024,24152.0,19863.54,2024-06-06
120,US,US,Desktop,2024-08-23,20816.0,18502.02,Aug,2024,20816.0,18474.89,2024-06-06
121,US,US,Desktop,2024-08-24,3046.0,5314.11,Aug,2024,3049.0,5306.32,2024-06-06
122,US,US,Desktop,2024-08-25,3248.0,4604.9,Aug,2024,3251.0,4598.15,2024-06-06
123,US,US,Desktop,2024-08-26,23285.0,30598.77,Aug,2024,23281.0,30553.91,2024-06-06
124,US,US,Desktop,2024-08-27,23536.0,27516.02,Aug,2024,23531.0,27475.68,2024-06-06
125,US,US,Desktop,2024-08-28,23202.0,22688.48,Aug,2024,23198.0,22655.21,2024-06-06
126,US,US,Desktop,2024-08-29,22567.0,21089.41,Aug,2024,22564.0,21058.49,2024-06-06
127,US,US,Desktop,2024-08-30,19198.0,18638.87,Aug,2024,19200.0,18611.55,2024-06-06
128,US,US,Desktop,2024-08-31,5534.0,10.91,Aug,2024,5534.0,10.89,2024-06-06
129,US,US,Desktop,2024-09-01,0.0,18589.88,Sep,2024,0.0,22226.44,2024-06-06
130,US,US,Desktop,2024-09-02,722.0,18589.88,Sep,2024,0.0,22226.44,2024-06-06
131,US,US,Desktop,2024-09-03,21219.0,21718.99,Sep,2024,21327.0,25967.67,2024-06-06
132,US,US,Desktop,2024-09-04,21591.0,23694.15,Sep,2024,21772.0,28329.2,2024-06-06
133,US,US,Desktop,2024-09-05,21202.0,21271.46,Sep,2024,21307.0,25432.59,2024-06-06
134,US,US,Desktop,2024-09-06,17997.0,19879.06,Sep,2024,17475.0,23767.8,2024-06-06
135,US,US,Desktop,2024-09-07,2689.0,4743.11,Sep,2024,2131.0,5670.96,2024-06-06
136,US,US,Desktop,2024-09-08,2652.0,4688.47,Sep,2024,2087.0,5605.63,2024-06-06
137,US,US,Desktop,2024-09-09,20184.0,29706.29,Sep,2024,20089.0,35517.43,2024-06-06
138,US,US,Desktop,2024-09-10,21281.0,28727.98,Sep,2024,21401.0,34347.75,2024-06-06
139,US,US,Desktop,2024-09-11,21911.0,24806.37,Sep,2024,22154.0,29658.99,2024-06-06
140,US,US,Desktop,2024-09-12,22009.0,25872.08,Sep,2024,22272.0,30933.18,2024-06-06
141,US,US,Desktop,2024-09-13,18609.0,22386.58,Sep,2024,18206.0,26765.85,2024-06-06
142,US,US,Desktop,2024-09-14,2790.0,5061.53,Sep,2024,2252.0,6051.67,2024-06-06
143,US,US,Desktop,2024-09-15,3453.0,3841.04,Sep,2024,3045.0,4592.43,2024-06-06
144,US,US,Desktop,2024-09-16,22617.0,27816.3,Sep,2024,22998.0,33257.72,2024-06-06
145,US,US,Desktop,2024-09-17,24549.0,32266.54,Sep,2024,25308.0,38578.52,2024-06-06
146,US,US,Desktop,2024-09-18,25309.0,28990.98,Sep,2024,26217.0,34662.2,2024-06-06
147,US,US,Desktop,2024-09-19,25205.0,26523.5,Sep,2024,26092.0,31712.03,2024-06-06
148,US,US,Desktop,2024-09-20,21411.0,21592.09,Sep,2024,21557.0,25815.93,2024-06-06
149,US,US,Desktop,2024-09-21,3695.0,4478.55,Sep,2024,3334.0,5354.65,2024-06-06
150,US,US,Desktop,2024-09-22,3887.0,4037.14,Sep,2024,3564.0,4826.89,2024-06-06
151,US,US,Desktop,2024-09-23,26694.0,29478.16,Sep,2024,27873.0,35244.68,2024-06-06
152,US,US,Desktop,2024-09-24,29009.0,33031.32,Sep,2024,30641.0,39492.91,2024-06-06
153,US,US,Desktop,2024-09-25,29029.0,29042.11,Sep,2024,30665.0,34723.33,2024-06-06
154,US,US,Desktop,2024-09-26,28726.0,27577.82,Sep,2024,30303.0,32972.6,2024-06-06
155,US,US,Desktop,2024-09-27,23713.0,20734.35,Sep,2024,24309.0,24790.41,2024-06-06
156,US,US,Desktop,2024-09-28,5407.0,430.26,Sep,2024,5380.0,514.43,2024-06-06
157,US,US,Desktop,2024-09-29,4373.0,3652.36,Sep,2024,4145.0,4366.84,2024-06-06
158,US,US,Desktop,2024-09-30,28433.0,27650.49,Sep,2024,29952.0,33059.49,2024-06-06
159,US,US,Desktop,2024-10-01,34005.0,42390.5,Oct,2024,31679.0,34996.6,2024-06-06
160,US,US,Desktop,2024-10-02,33267.0,37596.37,Oct,2024,31069.0,31038.68,2024-06-06
161,US,US,Desktop,2024-10-03,32094.0,35235.04,Oct,2024,30101.0,29089.22,2024-06-06
162,US,US,Desktop,2024-10-04,25783.0,31200.15,Oct,2024,24891.0,25758.11,2024-06-06
163,US,US,Desktop,2024-10-05,3638.0,6186.84,Oct,2024,3970.0,5107.71,2024-06-06
164,US,US,Desktop,2024-10-06,4008.0,4633.72,Oct,2024,4275.0,3825.49,2024-06-06
165,US,US,Desktop,2024-10-07,29699.0,35113.2,Oct,2024,28123.0,28988.63,2024-06-06
166,US,US,Desktop,2024-10-08,32440.0,42063.45,Oct,2024,30386.0,34726.59,2024-06-06
167,US,US,Desktop,2024-10-09,30686.0,34449.89,Oct,2024,28939.0,28441.02,2024-06-06
168,US,US,Desktop,2024-10-10,30769.0,37099.34,Oct,2024,29007.0,30628.35,2024-06-06
169,US,US,Desktop,2024-10-11,23683.0,28403.98,Oct,2024,23157.0,23449.66,2024-06-06
170,US,US,Desktop,2024-10-12,3614.0,5219.4,Oct,2024,3950.0,4309.01,2024-06-06
171,US,US,Desktop,2024-10-13,3948.0,4038.84,Oct,2024,4226.0,3334.37,2024-06-06
172,US,US,Desktop,2024-10-14,24282.0,28945.77,Oct,2024,23651.0,23896.95,2024-06-06
173,US,US,Desktop,2024-10-15,28575.0,36215.3,Oct,2024,27196.0,29898.5,2024-06-06
174,US,US,Desktop,2024-10-16,28817.0,35001.24,Oct,2024,27395.0,28896.2,2024-06-06
