,market,account_type,funnel,ds,region,X,y,key_0
0,US,Desktop,-,2022-01-01,US,18044.17,1407.0,
1,US,Desktop,-,2022-01-02,US,21460.410000000003,3097.0,
2,US,Desktop,-,2022-01-03,US,51050.139999999985,28360.0,
3,US,Desktop,-,2022-01-04,US,43550.340000000004,31224.0,
4,US,Desktop,-,2022-01-05,US,32687.429999999997,30762.0,
5,US,Desktop,-,2022-01-06,US,29611.049999999996,29776.0,
6,US,Desktop,-,2022-01-07,US,26849.52,24992.0,
7,US,Desktop,-,2022-01-08,US,9186.720000000001,3881.0,
8,US,Desktop,-,2022-01-09,US,7520.95,3417.0,
9,US,Desktop,-,2022-01-10,US,38848.49,32034.0,
10,US,Desktop,-,2022-01-11,US,32723.329999999994,30944.0,
11,US,Desktop,-,2022-01-12,US,23199.219999999994,30908.0,
12,US,Desktop,-,2022-01-13,US,24227.270000000004,30566.0,
13,US,Desktop,-,2022-01-14,US,21819.98,26299.0,
14,US,Desktop,-,2022-01-15,US,6796.86,3355.0,
15,US,Desktop,-,2022-01-16,US,5677.93,2612.0,
16,US,Desktop,-,2022-01-17,US,26230.999999999993,23309.0,
17,US,Desktop,-,2022-01-18,US,32641.080000000005,31035.0,
18,US,Desktop,-,2022-01-19,US,28745.480000000003,30989.0,
19,US,Desktop,-,2022-01-20,US,27600.639999999996,28831.0,
20,US,Desktop,-,2022-01-21,US,24320.91,26006.0,
21,US,Desktop,-,2022-01-22,US,7455.74,3057.0,
22,US,Desktop,-,2022-01-23,US,6786.2300000000005,2906.0,
23,US,Desktop,-,2022-01-24,US,32711.96,30778.0,
24,US,Desktop,-,2022-01-25,US,27414.160000000003,31000.0,
25,US,Desktop,-,2022-01-26,US,25292.749999999996,31194.0,
26,US,Desktop,-,2022-01-27,US,28883.120000000003,30602.0,
27,US,Desktop,-,2022-01-28,US,30816.079999999998,26223.0,
28,US,Desktop,-,2022-01-29,US,9720.990000000002,3125.0,
29,US,Desktop,-,2022-01-30,US,7173.32,3133.0,
30,US,Desktop,-,2022-01-31,US,16759.25,27947.0,
31,US,Desktop,-,2022-02-01,US,38876.39000000001,30603.0,
32,US,Desktop,-,2022-02-02,US,24695.309999999998,28791.0,
33,US,Desktop,-,2022-02-03,US,25516.149999999998,26028.0,
34,US,Desktop,-,2022-02-04,US,22563.509999999995,22403.0,
35,US,Desktop,-,2022-02-05,US,7694.799999999998,3073.0,
36,US,Desktop,-,2022-02-06,US,5692.04,3095.0,
37,US,Desktop,-,2022-02-07,US,30834.479999999996,28405.0,
38,US,Desktop,-,2022-02-08,US,29384.72,31170.0,
39,US,Desktop,-,2022-02-09,US,23249.340000000004,31319.0,
40,US,Desktop,-,2022-02-10,US,24674.309999999998,30883.0,
41,US,Desktop,-,2022-02-11,US,21971.059999999998,26558.0,
42,US,Desktop,-,2022-02-12,US,5449.779999999999,2916.0,
43,US,Desktop,-,2022-02-13,US,4461.989999999999,2493.0,
44,US,Desktop,-,2022-02-14,US,24160.46,28981.0,
45,US,Desktop,-,2022-02-15,US,28698.57,30192.0,
46,US,Desktop,-,2022-02-16,US,26023.130000000005,30131.0,
47,US,Desktop,-,2022-02-17,US,24357.24,29244.0,
48,US,Desktop,-,2022-02-18,US,18668.269999999997,26154.0,
49,US,Desktop,-,2022-02-19,US,6344.789999999997,2782.0,
50,US,Desktop,-,2022-02-20,US,3611.64,2253.0,
51,US,Desktop,-,2022-02-21,US,23378.640000000003,24769.0,
52,US,Desktop,-,2022-02-22,US,29406.420000000006,31032.0,
53,US,Desktop,-,2022-02-23,US,29778.020000000004,30705.0,
54,US,Desktop,-,2022-02-24,US,36458.2,28999.0,
55,US,Desktop,-,2022-02-25,US,18110.76,25711.0,
56,US,Desktop,-,2022-02-26,US,7493.740000000001,2912.0,
57,US,Desktop,-,2022-02-27,US,5778.540000000002,2416.0,
58,US,Desktop,-,2022-02-28,US,29267.66,32977.0,
59,US,Desktop,-,2022-03-01,US,26386.980000000003,31664.0,
60,US,Desktop,-,2022-03-02,US,25780.800000000003,31181.0,
61,US,Desktop,-,2022-03-03,US,28526.36,31225.0,
62,US,Desktop,-,2022-03-04,US,35055.829999999994,27675.0,
63,US,Desktop,-,2022-03-05,US,15049.679999999998,2822.0,
64,US,Desktop,-,2022-03-06,US,13390.999999999998,2630.0,
65,US,Desktop,-,2022-03-07,US,29388.010000000002,31790.0,
66,US,Desktop,-,2022-03-08,US,25447.349999999995,32136.0,
67,US,Desktop,-,2022-03-09,US,24353.079999999994,31286.0,
68,US,Desktop,-,2022-03-10,US,25842.87,31495.0,
69,US,Desktop,-,2022-03-11,US,24522.870000000003,27277.0,
70,US,Desktop,-,2022-03-12,US,9535.439999999999,3125.0,
71,US,Desktop,-,2022-03-13,US,8622.6,2697.0,
72,US,Desktop,-,2022-03-14,US,33279.130000000005,33013.0,
73,US,Desktop,-,2022-03-15,US,31556.78,32632.0,
74,US,Desktop,-,2022-03-16,US,24026.349999999995,31640.0,
75,US,Desktop,-,2022-03-17,US,24763.150000000005,29825.0,
76,US,Desktop,-,2022-03-18,US,25247.85,26885.0,
77,US,Desktop,-,2022-03-19,US,9559.649999999998,3439.0,
78,US,Desktop,-,2022-03-20,US,7604.679999999999,2689.0,
79,US,Desktop,-,2022-03-21,US,29966.769999999997,33540.0,
80,US,Desktop,-,2022-03-22,US,23167.910000000003,31413.0,
81,US,Desktop,-,2022-03-23,US,24034.309999999998,32171.0,
82,US,Desktop,-,2022-03-24,US,32910.079999999994,31745.0,
83,US,Desktop,-,2022-03-25,US,33523.149999999994,28706.0,
84,US,Desktop,-,2022-03-26,US,10837.880000000001,3145.0,
85,US,Desktop,-,2022-03-27,US,10593.07,2602.0,
86,US,Desktop,-,2022-03-28,US,53230.68,34138.0,
87,US,Desktop,-,2022-03-29,US,41012.6,34388.0,
88,US,Desktop,-,2022-03-30,US,27588.219999999998,33899.0,
89,US,Desktop,-,2022-03-31,US,25201.41999999999,33039.0,
90,US,Desktop,-,2022-04-01,US,29020.6,28472.0,
91,US,Desktop,-,2022-04-02,US,9943.81,3537.0,
92,US,Desktop,-,2022-04-03,US,8623.300000000001,2714.0,
93,US,Desktop,-,2022-04-04,US,45981.76,34472.0,
94,US,Desktop,-,2022-04-05,US,41423.19,33737.0,
95,US,Desktop,-,2022-04-06,US,29921.520000000004,33198.0,
96,US,Desktop,-,2022-04-07,US,27107.760000000002,33218.0,
97,US,Desktop,-,2022-04-08,US,25433.21,28805.0,
98,US,Desktop,-,2022-04-09,US,7715.17,3130.0,
99,US,Desktop,-,2022-04-10,US,6435.02,2926.0,
100,US,Desktop,-,2022-04-11,US,34616.14000000001,34520.0,
101,US,Desktop,-,2022-04-12,US,24099.61,33299.0,
102,US,Desktop,-,2022-04-13,US,22878.95,33947.0,
103,US,Desktop,-,2022-04-14,US,25590.42,32570.0,
104,US,Desktop,-,2022-04-15,US,20620.87,21505.0,
105,US,Desktop,-,2022-04-16,US,10325.31,2652.0,
106,US,Desktop,-,2022-04-17,US,8071.350000000001,1941.0,
107,US,Desktop,-,2022-04-18,US,32061.55,29888.0,
108,US,Desktop,-,2022-04-19,US,30207.449999999997,31486.0,
109,US,Desktop,-,2022-04-20,US,30428.519999999993,31239.0,
110,US,Desktop,-,2022-04-21,US,28601.510000000002,30636.0,
111,US,Desktop,-,2022-04-22,US,23285.35,26062.0,
112,US,Desktop,-,2022-04-23,US,10884.95,2861.0,
113,US,Desktop,-,2022-04-24,US,10650.489999999998,2397.0,
114,US,Desktop,-,2022-04-25,US,27641.80999999999,31400.0,
115,US,Desktop,-,2022-04-26,US,30153.160000000003,32105.0,
116,US,Desktop,-,2022-04-27,US,22639.639999999996,31319.0,
117,US,Desktop,-,2022-04-28,US,27198.809999999998,30701.0,
118,US,Desktop,-,2022-04-29,US,26188.559999999994,26313.0,
119,US,Desktop,-,2022-04-30,US,11694.919999999998,2853.0,
120,US,Desktop,-,2022-05-01,US,11804.589999999998,2431.0,
121,US,Desktop,-,2022-05-02,US,27669.850000000006,31382.0,
122,US,Desktop,-,2022-05-03,US,27746.000000000004,30877.0,
123,US,Desktop,-,2022-05-04,US,28791.710000000003,30851.0,
124,US,Desktop,-,2022-05-05,US,25140.929999999997,30512.0,
125,US,Desktop,-,2022-05-06,US,24711.49,25565.0,
126,US,Desktop,-,2022-05-07,US,12777.539999999999,2492.0,
127,US,Desktop,-,2022-05-08,US,10903.940000000004,1811.0,
128,US,Desktop,-,2022-05-09,US,25770.339999999997,31156.0,
129,US,Desktop,-,2022-05-10,US,27106.070000000003,31313.0,
130,US,Desktop,-,2022-05-11,US,26365.13000000001,30576.0,
131,US,Desktop,-,2022-05-12,US,27804.310000000005,29941.0,
132,US,Desktop,-,2022-05-13,US,24274.55,25931.0,
133,US,Desktop,-,2022-05-14,US,9728.089999999997,2485.0,
